"Date","BKLN.Open","BKLN.High","BKLN.Low","BKLN.Close","BKLN.Volume","BKLN.Adjusted"
2011-03-03,31.91,32.024,31.885,25.129999,1509700,19.759073
2011-03-04,31.961,31.961,31.808,25.08,189100,19.719753
2011-03-07,32.088,32.088,31.808,25.059999,58100,19.704037
2011-03-08,31.859,31.885,31.808,25.01,178600,19.664717
2011-03-09,31.834,31.872,31.796,25.059999,263200,19.704037
2011-03-10,31.846,31.859,31.808,25.030001,373800,19.680447
2011-03-11,31.834,31.846,31.757,24.99,52700,19.648993
2011-03-14,31.783,31.796,31.694,24.92,65000,19.593958
2011-03-15,31.528,31.77,31.249,24.59,177700,19.334482
2011-03-16,31.35,31.376,31.096,24.530001,66100,19.28731
2011-03-17,31.376,31.401,31.287,24.67,79900,19.397387
2011-03-18,31.427,31.592,31.376,24.83,94500,19.52319
2011-03-21,31.668,31.668,31.541,24.879999,48900,19.56251
2011-03-22,31.656,31.668,31.592,24.9,61900,19.578232
2011-03-23,31.732,31.745,31.516,24.940001,43500,19.609682
2011-03-24,31.745,31.77,31.706,24.969999,37400,19.633278
2011-03-25,31.77,31.834,31.757,25.02,40700,19.672581
2011-03-28,31.846,31.859,31.808,25.040001,146600,19.688311
2011-03-29,31.846,31.872,31.796,25.059999,43900,19.704037
2011-03-30,31.923,31.935,31.872,25.110001,75900,19.743345
2011-03-31,31.986,31.986,31.846,25.120001,238500,19.751213
2011-04-01,31.935,31.935,31.859,25.1,83400,19.735483
2011-04-04,32.05,32.05,31.935,25.190001,70300,19.80625
2011-04-05,32.075,32.075,31.974,25.190001,108700,19.80625
2011-04-06,31.999,32.113,31.999,25.24,91900,19.84556
2011-04-07,32.152,32.177,32.101,25.280001,128800,19.877008
2011-04-08,32.177,32.19,32.126,25.290001,158500,19.88488
2011-04-11,32.177,32.215,32.139,25.309999,213300,19.9006
2011-04-12,32.139,32.203,32.139,25.280001,71400,19.877008
2011-04-13,32.177,32.19,32.126,25.309999,240700,19.9006
2011-04-14,32.152,32.19,32.113,25.299999,181400,19.89274
2011-04-15,32.083,32.083,32.007,25.27,182000,19.927433
2011-04-18,31.905,32.159,31.88,25.219999,196800,19.88801
2011-04-19,32.02,32.032,31.994,25.25,153400,19.911671
2011-04-20,32.058,32.058,31.981,25.280001,136000,19.935326
2011-04-21,32.045,32.058,32.02,25.280001,113900,19.935326
2011-04-25,32.058,32.058,32.02,25.27,65200,19.927433
2011-04-26,32.045,32.058,31.982,25.26,117500,19.91955
2011-04-27,32.058,32.058,32.02,25.26,99800,19.91955
2011-04-28,32.045,32.058,32.032,25.280001,232900,19.935326
2011-04-29,32.045,32.07,32.032,25.280001,101000,19.935326
2011-05-02,32.032,32.07,32.02,25.280001,103000,19.935326
2011-05-03,32.083,32.083,32.007,25.27,130000,19.927433
2011-05-04,32.058,32.058,32.02,25.27,58000,19.927433
2011-05-05,32.045,32.045,32.007,25.25,61700,19.911671
2011-05-06,32.007,32.045,32.007,25.27,66300,19.927433
2011-05-09,32.096,32.096,32.02,25.280001,72000,19.935326
2011-05-10,32.07,32.07,32.02,25.280001,265300,19.935326
2011-05-11,32.083,32.083,32.02,25.27,83700,19.927433
2011-05-12,32.058,32.058,32.02,25.25,71000,19.911671
2011-05-13,31.885,31.885,31.822,25.209999,340400,19.940138
2011-05-16,31.885,31.885,31.835,25.200001,150900,19.93224
2011-05-17,31.873,31.873,31.835,25.200001,138600,19.93224
2011-05-18,31.847,31.847,31.822,25.190001,112500,19.924326
2011-05-19,31.847,31.847,31.797,25.17,111500,19.908504
2011-05-20,31.835,31.835,31.784,25.16,101000,19.900593
2011-05-23,31.746,31.809,31.734,25.139999,95900,19.884771
2011-05-24,31.734,31.771,31.721,25.129999,189900,19.876867
2011-05-25,31.746,31.759,31.683,25.09,210200,19.845222
