"Date","BNDX.Open","BNDX.High","BNDX.Low","BNDX.Close","BNDX.Volume","BNDX.Adjusted"
2013-06-04,53.974,53.974,53.59,50.299999,44300,47.155651
2013-06-05,53.761,53.761,53.654,50.360001,62500,47.211903
2013-06-06,53.697,53.707,53.622,50.290001,106800,47.146282
2013-06-07,53.686,53.686,53.537,50.189999,70800,47.052536
2013-06-10,53.611,53.611,53.121,49.830002,128800,46.715042
2013-06-11,53.441,53.441,53.121,49.82,50800,46.705662
2013-06-12,53.334,53.547,53.206,50.02,196200,46.893166
2013-06-13,53.345,53.377,53.174,49.849998,105400,46.733788
2013-06-14,53.473,53.473,53.302,49.970001,99900,46.846294
2013-06-17,53.441,53.441,53.227,50.009998,99400,46.883778
2013-06-18,53.387,53.387,53.163,49.93,138400,46.808788
2013-06-19,53.451,53.451,53.014,49.810001,86100,46.696297
2013-06-20,53.014,53.014,52.747,49.650002,125300,46.546291
2013-06-21,53.334,53.334,52.705,49.549999,217900,46.452534
2013-06-24,52.79,52.854,52.395,49.529999,312900,46.433804
2013-06-25,52.897,52.897,52.63,49.369999,262900,46.283791
2013-06-26,52.758,52.822,52.63,49.349998,1223000,46.265026
2013-06-27,52.939,52.939,52.587,49.470001,2004500,46.377529
2013-06-28,52.747,52.747,52.587,49.41,2443200,46.321293
2013-07-01,52.775,52.775,52.69,49.459999,2231000,46.418903
2013-07-02,52.541,52.754,52.541,49.419998,90000,46.381363
2013-07-03,52.871,52.881,52.636,49.580002,37200,46.531528
2013-07-05,52.658,52.658,52.285,49.34,139400,46.306278
2013-07-08,52.839,52.839,52.69,49.490002,202800,46.447048
2013-07-09,52.881,52.881,52.69,49.529999,62400,46.484589
2013-07-10,53.063,53.063,52.722,49.549999,57000,46.503372
2013-07-11,52.956,53.009,52.764,49.619999,89000,46.569065
2013-07-12,52.903,52.956,52.786,49.57,423300,46.522144
2013-07-15,52.935,53.052,52.743,49.549999,1037900,46.503372
