"Date","CMF.Open","CMF.High","CMF.Low","CMF.Close","CMF.Volume","CMF.Adjusted"
2007-10-11,139.819,139.886,139.751,103.400002,5400,76.430405
2007-10-12,139.751,139.886,139.643,103.220001,2100,76.297348
2007-10-15,139.616,139.737,139.48,103.279999,4100,76.341667
2007-10-16,139.9,139.9,139.832,103.370003,3300,76.408226
2007-10-17,139.886,140.36,139.886,103.690002,2500,76.644722
2007-10-18,140.4,140.549,140.4,103.889999,3800,76.792557
2007-10-19,140.779,141.158,140.766,104.199997,64000,77.021751
2007-10-22,141.036,141.036,140.833,104.110001,11800,76.9552
2007-10-23,140.942,141.104,140.942,104.300003,1300,77.095634
2007-10-24,141.171,141.374,141.171,104.5,2100,77.243469
2007-10-25,141.104,141.104,141.023,104.239998,1500,77.0513
2007-10-26,140.495,140.901,140.495,104.099998,5600,76.947807
2007-10-29,140.576,140.86,140.536,103.879997,6900,76.785194
2007-10-30,140.847,140.847,140.657,104.099998,8100,76.947807
2007-10-31,140.684,140.684,140.576,103.910004,1200,76.807358
2007-11-01,140.137,140.312,139.975,103.730003,6900,76.870399
2007-11-02,140.002,140.137,139.934,103.730003,37300,76.870399
2007-11-05,139.961,139.961,139.638,103.550003,2200,76.736938
2007-11-06,139.435,139.53,139.192,103.150002,2000,76.440536
2007-11-07,139.192,139.26,138.99,103.169998,15900,76.455338
2007-11-08,139.138,139.327,139.084,103.220001,4500,76.492416
2007-11-09,139.395,139.395,139.395,103.300003,3000,76.55172
2007-11-12,139.395,139.395,139.26,103.199997,700,76.477577
2007-11-13,139.26,139.354,139.26,103.199997,4800,76.477577
2007-11-14,139.26,139.26,139.26,103.199997,0,76.477577
2007-11-15,139.529,139.664,139.529,103.5,1200,76.699913
2007-11-16,140.002,140.002,139.664,103.5,4200,76.699913
2007-11-19,140.002,140.002,138.639,103.480003,37700,76.685097
2007-11-20,140.204,140.204,139.543,103.410004,1600,76.633232
2007-11-21,139.718,139.934,139.529,103.400002,15300,76.625839
2007-11-23,139.529,139.529,139.529,103.400002,0,76.625839
2007-11-26,140.299,141.257,140.299,104.68,6300,77.574364
2007-11-27,140.299,140.771,140.299,104.260002,7400,77.263153
2007-11-28,141.014,141.203,141.014,104.639999,1600,77.544731
2007-11-29,141.419,141.419,141.419,104.800003,500,77.663315
2007-11-30,141.419,141.419,141.419,104.800003,0,77.663315
2007-12-03,140.531,140.544,140.477,104.400002,6100,77.588226
2007-12-04,139.966,140.477,136.306,104.400002,77900,77.588226
2007-12-05,140.221,140.221,140.221,104.209999,200,77.447029
2007-12-06,139.723,139.791,139.199,103.580002,4200,76.978836
2007-12-07,139.427,139.427,138.593,103.440002,3300,76.874779
2007-12-10,138.822,139.333,138.822,103.550003,1200,76.95652
2007-12-11,139.266,139.939,139.266,104,100,77.290977
2007-12-12,139.468,140.369,139.468,104.32,1200,77.528763
2007-12-13,139.939,140.262,139.804,104.029999,6600,77.313248
2007-12-14,139.454,139.454,139.347,103.559998,700,76.963936
2007-12-17,139.723,139.723,139.723,103.839996,200,77.172066
2007-12-18,140.41,140.41,140.369,104.32,15600,77.528763
2007-12-19,140.383,140.477,140.383,104.330002,19300,77.536201
2007-12-20,140.383,140.383,140.208,104.199997,2000,77.439613
2007-12-21,140.383,140.383,139.441,103.93,9800,77.238937
2007-12-24,139.723,139.723,139.683,103.809998,1300,77.149765
2007-12-26,139.643,140.141,139.643,104.150002,25200,77.402443
2007-12-27,139.687,139.687,139.513,103.970001,400,77.482193
2007-12-28,140.023,140.023,139.821,104.199997,500,77.653595
2007-12-31,140.224,140.895,139.996,104.339996,16100,77.757935
2008-01-02,139.996,140.036,139.285,104.330002,10200,77.750443
2008-01-03,139.996,140.761,139.996,104.900002,5700,78.175255
2008-01-04,141.485,141.485,141.485,105.440002,100,78.577652
2008-01-07,141.23,141.23,141.23,105.25,49700,78.436104
2008-01-08,141.23,141.539,141.23,105.480003,14700,78.607483
2008-01-09,141.606,141.74,141.311,105.309998,3600,78.480797
2008-01-10,141.566,141.579,141.298,105.300003,32600,78.473335
2008-01-11,141.673,141.821,141.096,105.690002,6200,78.764
2008-01-14,141.459,142.049,141.432,105.860001,1900,78.890656
2008-01-15,142.331,142.559,141.942,106.239998,9200,79.173882
2008-01-16,142.492,142.559,142.197,105.970001,13700,78.972641
2008-01-17,142.197,142.868,142.103,106.470001,16200,79.345238
2008-01-18,142.371,142.814,141.848,106.43,9400,79.315445
2008-01-22,142.854,143.297,142.854,106.790001,1600,79.583687
2008-01-23,144.169,144.169,142.237,106,12100,78.994957
2008-01-24,142.156,142.237,142.036,105.970001,1100,78.972641
2008-01-25,141.928,142.385,141.821,105.839996,3800,78.875717
2008-01-28,142.559,142.559,142.25,106.089996,14800,79.06205
2008-01-29,142.183,142.264,141.781,105.900002,12100,78.920479
2008-01-30,142.384,142.384,141.66,105.57,8000,78.674545
2008-01-31,142.411,142.411,141.821,106.029999,3200,79.017334
2008-02-01,141.891,141.891,141.382,106.010002,10300,79.24012
2008-02-04,141.583,141.65,141.476,105.82,5100,79.098061
2008-02-05,142.359,142.359,141.864,106.040001,7900,79.262497
2008-02-06,141.57,141.877,141.57,105.949997,12900,79.19519
2008-02-07,141.743,141.931,141.008,105.410004,13100,78.791603
2008-02-08,141.409,141.69,141.409,105.879997,12000,79.142944
2008-02-11,141.797,141.797,141.663,105.970001,20300,79.210243
2008-02-12,141.128,141.717,141.128,105.889999,14700,79.150421
2008-02-13,141.422,141.422,141.155,105.709999,3600,79.015846
2008-02-14,140.58,140.58,139.884,104.779999,3500,78.320679
2008-02-15,140.205,140.513,140.205,105.029999,3900,78.507568
2008-02-19,139.67,139.817,138.814,103.760002,9100,77.55822
