"Date","FNDA.Open","FNDA.High","FNDA.Low","FNDA.Close","FNDA.Volume","FNDA.Adjusted"
2013-08-15,25.783,25.783,25.564,24.559999,15800,23.50931
2013-08-16,25.679,25.679,25.49,24.450001,25400,23.404018
2013-08-19,25.501,25.511,25.282,24.209999,7700,23.174282
2013-08-20,25.323,25.647,25.323,24.51,14800,23.461451
2013-08-21,25.49,25.616,25.396,24.33,9900,23.289148
2013-08-22,25.679,25.814,25.679,24.68,7500,23.624172
2013-08-23,25.741,25.804,25.72,24.700001,2800,23.643322
2013-08-26,25.867,25.94,25.741,24.68,8600,23.624172
2013-08-27,25.449,25.522,25.177,24.120001,6700,23.088135
2013-08-28,25.177,25.334,25.177,24.17,24200,23.135996
2013-08-29,25.24,25.543,25.24,24.35,10200,23.30829
2013-08-30,25.365,25.365,25.02,23.950001,7200,22.925409
2013-09-03,25.48,25.48,24.968,24.01,3400,22.98284
2013-09-04,25.271,25.386,25.271,24.25,1500,23.212572
2013-09-05,25.428,25.511,25.428,24.379999,7400,23.337008
2013-09-06,25.574,25.616,25.292,24.379999,21600,23.337008
2013-09-09,25.522,25.898,25.522,24.790001,36300,23.729471
2013-09-10,26.055,26.17,26.034,25.049999,22100,23.978342
2013-09-11,26.138,26.222,26.096,25.1,17600,24.026209
2013-09-12,26.201,26.201,26.055,24.940001,20700,23.873051
2013-09-13,26.138,26.17,25.982,25.040001,16700,23.968775
2013-09-16,26.546,26.546,26.117,25.139999,51300,24.064497
2013-09-17,26.295,26.483,26.295,25.35,19300,24.265511
2013-09-18,26.473,26.849,26.253,25.57,79500,24.476101
2013-09-19,26.869,26.869,26.681,25.58,26900,24.485672
2013-09-20,26.786,26.786,26.567,25.450001,16600,24.361235
2013-09-23,26.598,26.598,26.378,25.360001,12300,24.275085
2013-09-24,26.64,26.765,26.525,25.41,10400,24.322947
2013-09-25,26.629,26.734,26.504,25.450001,13700,24.361235
2013-09-26,26.64,26.765,26.567,25.49,12900,24.399527
2013-09-27,26.535,26.64,26.493,25.459999,23500,24.370806
2013-09-30,26.347,26.608,26.274,25.42,6800,24.332514
2013-10-01,26.743,27.808,26.743,25.709999,10800,24.630457
2013-10-02,26.659,26.795,26.618,25.65,6100,24.572973
2013-10-03,26.722,26.722,26.325,25.43,11600,24.362219
2013-10-04,26.565,26.795,26.503,25.620001,35400,24.544239
2013-10-07,26.44,26.607,26.409,25.32,29100,24.256836
2013-10-08,26.43,26.43,26.033,24.969999,35000,23.92153
2013-10-09,26.137,26.137,25.887,24.9,51300,23.854471
2013-10-10,26.712,26.712,26.367,25.48,49800,24.410116
2013-10-11,26.555,26.931,26.555,25.799999,28200,24.716677
2013-10-14,26.806,27.066,26.607,25.93,51700,24.841221
2013-10-15,27.004,27.025,26.732,25.690001,28500,24.611298
2013-10-16,26.92,27.223,26.91,25.959999,49500,24.869959
2013-10-17,27.035,27.359,27.035,26.209999,56400,25.109467
2013-10-18,27.515,27.641,27.411,26.469999,39700,25.358547
2013-10-21,27.693,27.787,27.536,26.450001,31600,25.339382
2013-10-22,27.766,27.891,27.641,26.530001,53200,25.416029
2013-10-23,27.599,27.641,27.536,26.450001,26700,25.339382
2013-10-24,27.609,27.745,27.568,26.559999,25300,25.444765
2013-10-25,27.828,27.828,27.714,26.639999,19200,25.521408
2013-10-28,27.87,27.87,27.661,26.58,23900,25.463926
2013-10-29,27.912,27.943,27.735,26.73,18200,25.607628
2013-10-30,27.902,27.912,27.536,26.51,45400,25.396866
2013-10-31,27.609,27.787,27.505,26.440001,41600,25.329809
2013-11-01,27.682,27.745,27.411,26.49,30600,25.377708
2013-11-04,27.766,27.902,27.682,26.73,93500,25.607628
2013-11-05,27.818,27.87,27.661,26.610001,9100,25.492666
2013-11-06,27.996,27.996,27.63,26.57,26000,25.454346
2013-11-07,27.828,27.839,27.223,26.1,19400,25.00408
2013-11-08,27.213,27.672,26.973,26.5,42900,25.387285
2013-11-11,27.62,27.766,27.609,26.59,12400,25.473509
