"Date","FNDC.Open","FNDC.High","FNDC.Low","FNDC.Close","FNDC.Volume","FNDC.Adjusted"
2013-08-15,26.525,26.525,26.24,24.940001,11400,23.599955
2013-08-16,26.684,26.684,26.409,24.99,9000,23.647266
2013-08-19,26.641,26.641,26.43,25.049999,3900,23.704042
2013-08-20,26.641,26.641,26.324,25.02,5200,23.675655
2013-08-21,26.409,26.409,26.208,24.91,3400,23.571566
2013-08-22,26.377,26.441,26.356,24.99,16300,23.647266
2013-08-23,26.515,26.652,26.504,25.209999,5400,23.855444
2013-08-26,26.483,26.483,26.377,24.959999,15500,23.618877
2013-08-27,26.113,26.134,25.87,24.49,7500,23.174131
2013-08-28,25.912,25.997,25.902,24.52,10300,23.20252
2013-08-29,25.933,25.986,25.891,24.549999,4800,23.230907
2013-08-30,25.754,25.754,25.616,24.24,1900,22.937565
2013-09-03,26.145,26.145,25.976,24.59,10200,23.268761
2013-09-04,26.05,26.261,26.05,24.84,7100,23.505325
2013-09-05,26.24,26.282,26.176,24.77,16100,23.439089
2013-09-06,26.388,26.388,26.261,24.85,12800,23.51479
2013-09-09,26.652,26.768,26.61,25.33,11700,23.969
2013-09-10,27.128,27.128,27.054,25.65,5900,24.271805
2013-09-11,27.075,27.075,27.001,25.620001,12700,24.243418
2013-09-12,27.043,27.075,26.842,25.43,61900,24.063625
2013-09-13,27.011,27.011,26.959,25.540001,6200,24.167715
2013-09-16,27.476,27.476,27.318,25.85,15000,24.46106
2013-09-17,27.318,27.392,27.265,25.860001,14200,24.470522
2013-09-18,27.297,28.11,27.297,26.549999,43400,25.123446
2013-09-19,28.11,28.713,27.814,26.440001,4900,25.01936
2013-09-20,27.793,27.793,27.645,26.18,3900,24.773327
2013-09-23,27.667,27.688,27.561,26.139999,6700,24.735476
2013-09-24,27.645,27.783,27.645,26.280001,13400,24.867954
2013-09-25,27.667,27.688,27.667,26.200001,2000,24.792253
2013-09-26,27.846,27.867,27.772,26.360001,9700,24.943655
2013-09-27,27.751,27.836,27.73,26.309999,2100,24.896341
2013-09-30,27.92,27.92,27.624,26.299999,4400,24.886881
2013-10-01,27.931,27.931,27.804,26.309999,600,24.896341
2013-10-02,27.73,27.783,27.73,26.290001,900,24.877419
2013-10-03,27.582,27.645,27.529,26.08,33400,24.678701
2013-10-04,27.54,27.635,27.519,26.08,6900,24.678701
2013-10-07,27.476,27.487,27.223,25.799999,12600,24.413746
2013-10-08,27.286,27.286,27.138,25.700001,5900,24.31912
2013-10-09,27.413,27.423,27.159,25.85,19500,24.46106
2013-10-10,27.688,27.846,27.624,26.35,19300,24.934195
2013-10-11,27.941,27.952,27.846,26.440001,7000,25.01936
2013-10-14,27.91,28.079,27.867,26.530001,4000,25.104523
2013-10-15,28.332,28.332,27.92,26.42,9400,25.000431
