"Date","FNDE.Open","FNDE.High","FNDE.Low","FNDE.Close","FNDE.Volume","FNDE.Adjusted"
2013-08-15,26.633,26.633,26.337,25.110001,10400,23.759016
2013-08-16,26.633,26.633,26.369,25.040001,13000,23.692783
2013-08-19,26.337,26.686,26.126,24.74,9600,23.408922
2013-08-20,26.094,26.2,25.988,24.75,4600,23.418383
2013-08-21,25.861,25.861,25.629,24.26,7000,22.954746
2013-08-22,25.914,26.052,25.914,24.65,3400,23.323765
2013-08-23,26.21,26.4,26.157,24.98,7100,23.636009
2013-08-26,26.422,26.422,26.031,24.629999,8500,23.30484
2013-08-27,25.787,25.798,25.639,24.26,5300,22.954746
2013-08-28,25.777,26.242,25.724,24.34,21700,23.030443
2013-08-29,26.02,26.094,25.83,24.440001,13300,23.125063
2013-08-30,26.104,26.295,25.935,24.540001,1400,23.219685
2013-09-03,26.591,26.686,26.104,24.700001,10200,23.371078
2013-09-04,26.316,26.496,26.316,25.059999,3800,23.711704
2013-09-05,26.612,26.95,26.612,25.360001,13600,23.995565
2013-09-06,27.246,27.32,27.14,25.68,20800,24.298349
2013-09-09,27.5,27.69,27.436,26.18,119200,24.771446
2013-09-10,27.996,27.996,27.785,26.370001,37100,24.951225
2013-09-11,27.869,28.081,27.838,26.540001,12600,25.112078
2013-09-12,27.774,27.817,27.721,26.24,5600,24.828218
2013-09-13,27.817,27.848,27.32,26.35,5500,24.932301
2013-09-16,28.218,28.377,28.102,26.59,22500,25.159389
2013-09-17,28.187,28.187,28.091,26.610001,19300,25.178312
2013-09-18,28.144,29.56,27.954,27.85,49800,26.351599
2013-09-19,29.497,29.497,28.324,27.58,16200,26.096123
2013-09-20,28.947,28.947,28.535,27.1,12000,25.641949
2013-09-23,28.514,28.62,28.43,27.08,5200,25.623026
2013-09-24,28.535,28.567,28.43,26.9,21700,25.452709
2013-09-25,28.419,28.44,28.271,26.780001,22100,25.339167
2013-09-26,28.461,28.461,28.123,26.75,29800,25.31078
2013-09-27,28.208,28.208,28.081,26.639999,12900,25.206699
2013-09-30,27.933,27.933,27.785,26.43,5500,25.007996
2013-10-01,28.028,28.208,28.028,26.690001,3500,25.254009
2013-10-02,28.091,28.345,28.049,26.73,6400,25.291855
2013-10-03,28.271,28.292,28.134,26.66,15700,25.225622
2013-10-04,28.239,28.43,28.239,26.9,3300,25.452709
2013-10-07,28.187,28.514,28.187,26.73,4600,25.291855
2013-10-08,28.514,28.514,28.165,26.66,6200,25.225622
2013-10-09,28.303,28.356,28.123,26.809999,7500,25.36755
2013-10-10,28.694,28.863,28.652,27.309999,12500,25.840649
2013-10-11,28.916,29,28.842,27.42,4100,25.944733
2013-10-14,28.905,29.169,28.778,27.559999,11900,26.077198
2013-10-15,29.412,29.412,28.969,27.41,35000,25.935268
2013-10-16,29.233,29.381,29.18,27.73,16200,26.238052
2013-10-17,29.307,29.37,29.191,27.790001,9900,26.294827
2013-10-18,29.444,29.539,29.444,27.92,16600,26.417831
2013-10-21,29.719,29.719,29.381,27.809999,22300,26.313749
2013-10-22,29.624,29.793,29.613,28.07,14700,26.559761
2013-10-23,29.307,29.307,29.043,27.48,14400,26.001503
2013-10-24,29.117,29.117,29.021,27.459999,3600,25.98258
2013-10-25,29.011,29.106,28.979,27.540001,13300,26.058277
2013-10-28,29.265,29.265,29.191,27.68,6100,26.190742
2013-10-29,29.624,29.624,29.064,27.709999,25100,26.21913
2013-10-30,29.719,29.719,29.138,27.65,3600,26.162357
2013-10-31,29.338,29.338,29.053,27.49,5100,26.010965
2013-11-01,29.127,29.127,28.863,27.43,6000,25.954195
2013-11-04,29.159,29.159,29.021,27.49,11500,26.010965
