"Date","FNDF.Open","FNDF.High","FNDF.Low","FNDF.Close","FNDF.Volume","FNDF.Adjusted"
2013-08-15,26.915,29.237,26.658,25.120001,26600,23.473007
2013-08-16,27.353,27.353,26.979,25.280001,27700,23.622517
2013-08-19,27.022,27.022,26.754,25,14200,23.360872
2013-08-20,26.711,26.743,26.615,24.969999,15400,23.33284
2013-08-21,26.85,26.85,26.433,24.799999,21700,23.173986
2013-08-22,26.658,26.99,26.647,24.98,7000,23.342184
2013-08-23,26.84,27.022,26.754,25.209999,50100,23.557104
2013-08-26,26.776,26.786,26.711,25.030001,16500,23.388908
2013-08-27,26.433,26.487,26.166,24.48,15800,22.874968
2013-08-28,26.166,26.347,26.133,24.51,28400,22.903002
2013-08-29,26.208,26.315,26.133,24.43,23700,22.828243
2013-08-30,26.123,26.273,25.909,24.209999,9000,22.622669
2013-09-03,26.529,26.529,26.358,24.67,17300,23.052511
2013-09-04,26.412,26.711,26.412,24.84,20000,23.211363
2013-09-05,26.669,26.818,26.615,24.870001,25700,23.239395
2013-09-06,27.129,27.129,26.754,25,21200,23.360872
2013-09-09,27,27.182,27,25.379999,26900,23.715958
2013-09-10,27.45,27.482,27.386,25.68,18600,23.996292
2013-09-11,27.482,27.803,27.439,25.719999,26400,24.033667
2013-09-12,27.567,27.6,27.45,25.67,17700,23.986946
2013-09-13,27.846,27.846,27.471,25.73,41500,24.043011
2013-09-16,27.953,27.953,27.824,26.02,11400,24.313997
2013-09-17,28.862,28.862,27.771,26,13500,24.295309
2013-09-18,27.856,28.894,27.771,26.84,98900,25.080233
2013-09-19,28.959,28.959,28.413,26.66,36500,24.912037
2013-09-20,28.552,28.563,28.242,26.389999,20700,24.659739
2013-09-23,28.167,28.22,28.06,26.370001,10900,24.641052
2013-09-24,28.349,28.349,28.145,26.360001,28100,24.631708
2013-09-25,28.359,28.359,28.156,26.42,14400,24.687773
2013-09-26,28.434,28.948,28.21,26.549999,37200,24.809246
2013-09-27,28.22,28.338,28.167,26.469999,12900,24.734491
2013-09-30,28.584,28.584,27.974,26.23,9700,24.510227
2013-10-01,28.242,28.317,28.124,26.450001,54300,24.715805
2013-10-02,28.167,28.306,28.092,26.450001,31900,24.715805
2013-10-03,28.327,28.327,28.092,26.360001,28700,24.631708
2013-10-04,28.081,28.242,28.038,26.389999,11000,24.659739
2013-10-07,27.867,28.135,27.867,26.200001,13700,24.482195
2013-10-08,28.167,28.167,27.792,25.98,15400,24.276621
2013-10-09,28.017,28.017,27.76,26.1,18600,24.388752
2013-10-10,28.327,28.552,28.242,26.66,63600,24.912037
2013-10-11,28.563,28.563,28.381,26.67,20500,24.921381
2013-10-14,28.606,28.68,28.445,26.76,24500,25.005478
2013-10-15,29.034,29.034,28.552,26.68,20300,24.930725
2013-10-16,28.862,28.862,28.659,26.940001,55200,25.173677
2013-10-17,29.001,29.183,28.916,27.27,58700,25.48204
2013-10-18,29.676,29.676,29.183,27.4,41500,25.603518
2013-10-21,29.89,29.89,29.216,27.389999,67400,25.594173
2013-10-22,29.515,29.611,29.408,27.629999,22500,25.818438
2013-10-23,29.355,29.355,29.183,27.34,60500,25.547451
2013-10-24,29.365,29.504,29.355,27.559999,17700,25.753027
2013-10-25,29.462,29.462,29.29,27.42,32500,25.622206
2013-10-28,29.43,29.43,29.162,27.34,34400,25.547451
2013-10-29,29.601,29.601,29.376,27.5,29900,25.69696
2013-10-30,29.665,29.665,29.301,27.440001,15600,25.640896
2013-10-31,29.323,29.323,29.087,27.290001,11900,25.500731
2013-11-01,29.151,29.151,28.894,27.1,10500,25.323189
2013-11-04,29.13,29.194,29.066,27.280001,19100,25.491385
2013-11-05,28.927,28.991,28.852,27.07,28000,25.295155
2013-11-06,29.28,29.28,29.183,27.32,104400,25.528763
2013-11-07,29.183,29.183,28.713,26.84,20100,25.080233
2013-11-08,28.702,28.894,28.638,27,44900,25.229746
2013-11-11,28.948,29.001,28.927,27.08,22400,25.304499
2013-11-12,28.937,28.937,28.809,26.93,33200,25.164333
2013-11-13,28.67,29.044,28.627,27.139999,22600,25.360565
2013-11-14,29.034,29.13,28.98,27.219999,19100,25.435318
2013-11-15,29.301,29.312,29.216,27.389999,12700,25.594173
2013-11-18,29.558,29.569,29.333,27.42,24100,25.622206
2013-11-19,29.323,29.333,29.162,27.32,18500,25.528763
2013-11-20,29.29,29.29,28.937,27.1,11600,25.323189
2013-11-21,29.258,29.269,29.076,27.35,22600,25.556795
2013-11-22,29.323,29.419,29.216,27.48,16400,25.678272
2013-11-25,29.462,29.462,29.269,27.35,14000,25.556795
2013-11-26,29.248,29.301,29.183,27.360001,22000,25.566141
2013-11-27,29.483,29.483,29.333,27.41,16500,25.612862
2013-11-29,29.547,29.633,29.462,27.530001,21600,25.724995
2013-12-02,29.365,29.365,29.205,27.290001,24900,25.500731
2013-12-03,29.087,29.087,28.948,27.07,18100,25.295155
2013-12-04,28.852,28.873,28.606,26.959999,34300,25.192368
2013-12-05,28.723,28.745,28.627,26.75,23500,24.996134
2013-12-06,28.98,29.023,28.841,27.120001,18300,25.341877
2013-12-09,29.001,29.034,28.937,27.120001,22100,25.341877
2013-12-10,29.023,29.023,28.905,27.08,20500,25.304499
2013-12-11,28.991,28.991,28.691,26.83,20900,25.070889
2013-12-12,28.595,28.595,28.434,26.629999,29200,24.884003
2013-12-13,28.595,28.595,28.327,26.58,17000,24.83728
2013-12-16,28.691,28.723,28.638,26.82,22600,25.061544
2013-12-17,28.552,28.584,28.488,26.68,44400,24.930725
2013-12-18,28.723,29.644,28.659,27.15,27200,25.369909
2013-12-19,28.894,29.034,28.82,27.129999,21600,25.351219
2013-12-20,29.023,29.162,29.023,27.24,27000,25.454008
2013-12-23,29.06,29.209,28.996,27.42,67800,25.749821
2013-12-24,29.124,29.241,29.06,27.459999,17500,25.787384
2013-12-26,29.305,29.39,29.284,27.6,11900,25.918858
2013-12-27,29.624,29.624,29.465,27.709999,16500,26.022156
2013-12-30,29.688,29.688,29.55,27.870001,26900,26.172411
2013-12-31,29.656,29.859,29.656,27.950001,43000,26.24754
2014-01-02,29.411,29.411,29.06,27.299999,124900,25.637131
2014-01-03,29.252,29.284,29.177,27.450001,31000,25.777994
2014-01-06,29.273,29.305,29.177,27.48,33000,25.806166
2014-01-07,29.369,29.497,29.369,27.68,38300,25.993986
2014-01-08,29.465,29.529,29.401,27.639999,71700,25.956421
2014-01-09,29.454,29.539,29.326,27.66,35900,25.975203
2014-01-10,29.539,29.731,29.518,27.91,17500,26.209974
2014-01-13,29.688,29.688,29.443,27.700001,34400,26.012768
2014-01-14,29.656,29.774,29.571,27.93,26600,26.228758
2014-01-15,29.742,29.944,29.742,28.1,27700,26.388403
2014-01-16,29.997,29.997,29.774,28.09,25600,26.379009
2014-01-17,29.827,29.88,29.805,27.99,26400,26.285103
2014-01-21,29.976,29.987,29.795,28.08,42000,26.369621
2014-01-22,29.88,29.912,29.784,28.08,29100,26.369621
2014-01-23,29.869,29.869,29.646,27.9,17900,26.200584
2014-01-24,29.348,29.348,28.964,27.200001,28600,25.543222
2014-01-27,28.911,28.975,28.645,27.07,43400,25.421141
2014-01-28,28.868,29.049,28.868,27.24,50300,25.580786
2014-01-29,28.719,28.911,28.655,26.92,31400,25.280277
2014-01-30,28.879,28.879,28.56,27.02,59800,25.374186
2014-01-31,28.325,28.528,28.198,26.690001,32800,25.064287
2014-02-03,28.379,28.379,27.889,26.23,82700,24.632305
2014-02-04,28.006,28.134,27.953,26.389999,23200,24.78256
2014-02-05,28.134,28.219,28.059,26.48,33500,24.867079
2014-02-06,28.421,28.709,28.389,26.950001,38100,25.308449
2014-02-07,28.879,29.124,28.847,27.34,20600,25.674696
2014-02-10,28.986,29.007,28.954,27.24,36500,25.580786
2014-02-11,29.092,29.486,29.092,27.639999,31900,25.956421
2014-02-12,29.507,29.539,29.411,27.700001,22700,26.012768
2014-02-13,29.241,29.667,29.241,27.82,61000,26.125456
2014-02-14,29.571,29.752,29.571,27.940001,25100,26.238148
2014-02-18,29.912,30.061,29.912,28.190001,57400,26.472919
2014-02-19,29.944,30.04,29.827,28.01,27300,26.303885
2014-02-20,29.955,29.955,29.784,28.129999,17200,26.416573
2014-02-21,30.221,30.221,30.029,28.219999,27600,26.501093
2014-02-24,30.125,30.444,30.125,28.49,37900,26.754644
2014-02-25,30.327,30.412,30.157,28.41,30600,26.67952
2014-02-26,30.231,30.231,30.018,28.280001,43600,26.557438
2014-02-27,29.923,30.178,29.923,28.309999,18300,26.585609
2014-02-28,30.178,30.434,30.178,28.41,21400,26.67952
2014-03-03,30.029,30.029,29.582,27.82,23400,26.125456
2014-03-04,30.231,30.253,30.157,28.389999,50900,26.660738
2014-03-05,30.338,30.338,30.199,28.42,19800,26.688911
2014-03-06,30.562,30.615,30.498,28.68,28800,26.933073
2014-03-07,30.615,30.615,30.295,28.51,35800,26.773428
2014-03-10,30.274,30.295,30.072,28.360001,261100,26.632566
2014-03-11,30.199,30.231,30.029,28.24,39900,26.519873
2014-03-12,29.944,30.04,29.742,28.209999,169500,26.491699
2014-03-13,30.104,30.263,29.38,27.620001,17600,25.937641
2014-03-14,29.316,29.507,29.167,27.549999,27900,25.871902
2014-03-17,29.678,29.731,29.582,27.91,27800,26.209974
2014-03-18,29.869,29.933,29.752,28.09,18900,26.379009
2014-03-19,29.901,29.901,29.422,27.76,39400,26.069113
2014-03-20,29.39,29.529,29.22,27.690001,30400,26.003374
2014-03-21,29.635,29.635,29.369,27.58,13400,25.900076
2014-03-24,29.582,29.582,29.22,27.66,32900,25.975203
2014-03-25,29.688,29.752,29.539,27.91,26000,26.209974
2014-03-26,30.018,30.018,29.742,27.93,39200,26.228758
2014-03-27,29.869,29.869,29.72,28.01,22200,26.303885
2014-03-28,30.072,30.168,30.072,28.299999,28700,26.576218
2014-03-31,30.412,30.412,30.263,28.469999,34700,26.735863
2014-04-01,30.54,30.54,30.37,28.58,27200,26.839165
2014-04-02,30.551,30.551,30.402,28.66,23800,26.914291
2014-04-03,30.508,30.508,30.327,28.610001,21200,26.867336
2014-04-04,30.615,30.615,30.317,28.51,32900,26.773428
2014-04-07,30.221,30.338,30.189,28.41,83400,26.67952
2014-04-08,30.253,30.274,30.093,28.41,26600,26.67952
2014-04-09,30.519,30.572,30.327,28.709999,27700,26.961245
2014-04-10,30.519,30.519,29.933,28.129999,42800,26.416573
2014-04-11,29.891,29.997,29.795,28,17900,26.294493
2014-04-14,29.997,30.018,29.848,28.15,23200,26.435354
2014-04-15,29.965,29.965,29.603,28.02,27900,26.313276
2014-04-16,30.05,30.189,30.018,28.33,39300,26.604393
2014-04-17,30.263,30.381,30.263,28.51,16500,26.773428
2014-04-21,30.53,30.53,30.381,28.620001,72500,26.87673
2014-04-22,30.604,30.604,30.53,28.719999,37500,26.970636
2014-04-23,30.338,30.53,30.338,28.67,55700,26.923681
2014-04-24,30.593,30.593,30.338,28.65,29500,26.9049
2014-04-25,30.455,30.455,30.327,28.540001,34700,26.801603
2014-04-28,30.54,30.54,30.338,28.67,45400,26.923681
2014-04-29,30.743,30.796,30.636,28.870001,61900,27.1115
2014-04-30,30.775,31.019,30.689,29.049999,22300,27.280535
2014-05-01,31.009,31.009,30.892,29.040001,17600,27.271145
2014-05-02,31.009,31.009,30.86,29.049999,23600,27.280535
2014-05-05,30.902,30.902,30.615,29.01,38600,27.242971
2014-05-06,30.956,30.956,30.775,28.959999,13100,27.196018
2014-05-07,30.934,30.934,30.753,29.040001,48100,27.271145
2014-05-08,30.977,31.105,30.838,29.01,77900,27.242971
2014-05-09,30.934,30.934,30.711,28.91,36600,27.149063
2014-05-12,30.838,31.009,30.785,29.110001,21800,27.336882
2014-05-13,31.073,31.073,30.934,29.110001,13300,27.336882
2014-05-14,30.987,31.041,30.902,29.07,35200,27.299316
2014-05-15,30.913,30.913,30.615,28.879999,31700,27.120892
2014-05-16,30.796,30.796,30.7,28.9,19500,27.139673
2014-05-19,30.721,30.785,30.636,28.91,16400,27.149063
2014-05-20,30.647,30.657,30.498,28.709999,27100,26.961245
2014-05-21,30.721,30.838,30.689,28.950001,15900,27.186626
2014-05-22,30.87,30.881,30.817,28.98,26300,27.2148
2014-05-23,30.881,30.966,30.838,29.07,22100,27.299316
2014-05-27,31.094,31.19,31.094,29.280001,20800,27.496529
2014-05-28,31.115,31.115,31.009,29.17,19600,27.393227
2014-05-29,31.169,31.232,31.126,29.32,41500,27.53409
2014-05-30,31.243,31.254,31.179,29.34,50300,27.552874
2014-06-02,31.36,31.36,31.222,29.42,28200,27.628
2014-06-03,31.2,31.232,31.169,29.32,32900,27.53409
2014-06-04,31.211,31.211,31.083,29.299999,20900,27.515308
2014-06-05,31.339,31.477,31.264,29.549999,64500,27.75008
2014-06-06,31.594,31.658,31.52,29.73,33100,27.919115
2014-06-09,31.573,31.658,31.531,29.719999,26400,27.909725
2014-06-10,31.52,31.584,31.467,29.65,31100,27.843988
2014-06-11,31.509,31.509,31.36,29.49,20200,27.693735
2014-06-12,31.531,31.541,31.381,29.530001,33900,27.731298
2014-06-13,31.499,31.52,31.435,29.530001,25200,27.731298
2014-06-16,31.445,31.488,31.392,29.549999,19800,27.75008
2014-06-17,31.328,31.435,31.328,29.52,29900,27.721909
2014-06-18,31.52,31.754,31.467,29.82,17500,28.003635
2014-06-19,31.978,31.978,31.893,29.98,91800,28.153889
2014-06-20,31.925,31.935,31.786,29.91,53900,28.088152
2014-06-23,31.818,31.818,31.658,29.84,51600,28.022417
2014-06-24,31.85,31.85,31.563,29.67,95300,27.86277
2014-06-25,31.488,31.584,31.435,29.65,34000,27.843988
2014-06-26,31.594,31.594,31.371,29.66,24600,27.85338
2014-06-27,31.531,31.616,31.456,29.68,18700,27.872164
2014-06-30,31.626,31.648,31.531,29.700001,22700,27.890945
2014-07-01,31.797,31.946,31.797,29.950001,40100,28.125717
2014-07-02,31.967,31.967,31.829,29.98,28300,28.153889
2014-07-03,32.02,32.031,31.946,30.07,15100,28.238407
2014-07-07,31.871,31.871,31.669,29.75,21900,27.937897
2014-07-08,31.584,31.584,31.286,29.469999,33200,27.674952
2014-07-09,31.328,31.531,31.328,29.57,54900,27.768862
2014-07-10,31.041,31.147,30.892,29.24,25800,27.458963
2014-07-11,31.137,31.158,31.073,29.25,19100,27.468353
2014-07-14,31.467,31.467,31.339,29.450001,30900,27.656172
2014-07-15,31.467,31.467,31.105,29.360001,22600,27.571655
2014-07-16,31.509,31.541,31.456,29.59,21800,27.787643
2014-07-17,31.371,31.392,31.094,29.209999,11100,27.43079
2014-07-18,31.137,31.371,31.137,29.450001,61800,27.656172
2014-07-21,31.094,31.232,31.083,29.32,20400,27.53409
2014-07-22,31.318,31.403,31.318,29.459999,16900,27.665562
2014-07-23,31.477,31.477,31.392,29.49,26500,27.693735
2014-07-24,31.541,31.541,31.456,29.59,19900,27.787643
2014-07-25,31.52,31.52,31.318,29.48,20800,27.684343
2014-07-28,31.403,31.435,31.211,29.48,13900,27.684343
2014-07-29,31.541,31.541,31.275,29.389999,47300,27.599825
2014-07-30,31.318,31.35,31.094,29.33,30200,27.54348
2014-07-31,30.998,30.998,30.711,28.85,55000,27.092718
2014-08-01,30.625,30.679,30.434,28.65,46600,26.9049
2014-08-04,30.668,30.689,30.476,28.799999,23400,27.045763
2014-08-05,30.54,30.54,30.168,28.389999,23200,26.660738
2014-08-06,30.05,30.221,29.955,28.32,28600,26.595001
2014-08-07,30.253,30.253,29.795,28.040001,18900,26.332058
2014-08-08,29.901,30.082,29.805,28.25,27200,26.529264
2014-08-11,30.253,30.253,30.114,28.32,53500,26.595001
2014-08-12,30.082,30.114,30.061,28.27,35500,26.548046
2014-08-13,30.242,30.263,30.178,28.4,24000,26.670128
2014-08-14,30.466,30.466,30.306,28.52,24800,26.78282
2014-08-15,30.54,30.572,30.178,28.540001,37400,26.801603
2014-08-18,30.487,30.583,30.487,28.690001,37200,26.942465
2014-08-19,30.647,30.647,30.562,28.77,20000,27.017591
2014-08-20,30.562,30.572,30.444,28.68,45900,26.933073
2014-08-21,30.711,30.732,30.625,28.83,30200,27.073936
2014-08-22,30.732,30.732,30.455,28.66,37500,26.914291
2014-08-25,30.711,30.796,30.615,28.860001,102000,27.10211
2014-08-26,30.87,30.892,30.775,28.950001,148400,27.186626
2014-08-27,30.966,30.966,30.838,28.98,20400,27.2148
2014-08-28,30.753,30.753,30.625,28.860001,20700,27.10211
2014-08-29,30.743,30.743,30.583,28.809999,24100,27.055155
2014-09-02,30.817,30.817,30.625,28.83,33500,27.073936
2014-09-03,31.03,31.03,30.902,29.040001,39000,27.271145
2014-09-04,30.924,30.987,30.721,28.889999,14100,27.13028
2014-09-05,30.785,30.806,30.689,28.93,10400,27.167845
2014-09-08,30.689,30.721,30.434,28.629999,28300,26.886118
2014-09-09,30.487,30.487,30.327,28.52,19500,26.78282
