"Date","FNDX.Open","FNDX.High","FNDX.Low","FNDX.Close","FNDX.Volume","FNDX.Adjusted"
2013-08-15,26.713,26.713,26.264,24.6,12900,23.004305
2013-08-16,26.413,26.413,26.135,24.5,23500,22.910788
2013-08-19,26.178,26.178,26.028,24.34,10100,22.761169
2013-08-20,26.018,26.199,25.986,24.42,24400,22.835978
2013-08-21,26.05,26.103,25.932,24.25,18300,22.677008
2013-08-22,25.953,26.157,25.953,24.42,14700,22.835978
2013-08-23,26.178,26.221,26.167,24.52,10900,22.929489
2013-08-26,26.264,26.285,26.135,24.440001,5700,22.854681
2013-08-27,25.921,25.943,25.697,24.08,49800,22.518032
2013-08-28,25.729,25.911,25.729,24.16,20800,22.59284
2013-08-29,25.814,25.975,25.772,24.190001,5300,22.620895
2013-08-30,25.9,25.9,25.708,24.129999,15500,22.564787
2013-09-03,26.082,26.082,25.782,24.120001,23800,22.555443
2013-09-04,25.975,26.093,25.975,24.360001,12000,22.779871
2013-09-05,26.028,26.157,26.028,24.4,6000,22.817274
2013-09-06,26.178,26.221,25.932,24.41,40200,22.826626
2013-09-09,26.135,26.349,26.093,24.620001,9700,23.023006
2013-09-10,26.477,26.52,26.424,24.799999,28800,23.19133
2013-09-11,26.542,26.649,26.51,24.92,8000,23.303547
2013-09-12,26.638,26.681,26.542,24.83,16600,23.219381
2013-09-13,26.627,26.67,26.584,24.940001,24600,23.32225
2013-09-16,26.959,26.959,26.766,25.030001,135700,23.406412
2013-09-17,26.873,26.948,26.873,25.200001,12000,23.565382
2013-09-18,26.937,27.29,26.798,25.459999,184700,23.808514
2013-09-19,27.29,27.29,27.14,25.389999,52400,23.743055
2013-09-20,27.215,27.536,26.948,25.219999,10100,23.584084
2013-09-23,26.873,27.055,26.734,25.07,20000,23.443815
2013-09-24,26.798,26.927,26.723,25.030001,38300,23.406412
2013-09-25,26.734,26.83,26.649,24.959999,19000,23.340952
2013-09-26,26.852,26.852,26.681,25.02,15500,23.397062
2013-09-27,26.649,26.67,26.563,24.91,25200,23.294191
2013-09-30,26.424,26.531,26.306,24.77,15600,23.163279
2013-10-01,26.65,27.408,26.575,24.879999,5100,23.283998
2013-10-02,26.521,26.65,26.468,24.940001,7400,23.340151
2013-10-03,26.457,26.489,26.297,24.77,16100,23.181055
2013-10-04,26.436,26.628,26.404,24.889999,30900,23.293356
2013-10-07,26.382,26.532,26.382,24.719999,31100,23.134266
2013-10-08,26.318,26.382,26.094,24.450001,22000,22.881584
2013-10-09,26.158,26.308,26.008,24.5,39700,22.928379
2013-10-10,26.585,26.714,26.425,25,72300,23.396303
2013-10-11,26.671,26.927,26.671,25.17,43400,23.555395
2013-10-14,26.746,27.045,26.746,25.27,25100,23.648981
2013-10-15,26.938,27.194,26.767,25.1,54300,23.489887
2013-10-16,27.002,27.28,26.938,25.43,52400,23.798719
2013-10-17,27.259,27.376,27.077,25.6,59400,23.957813
2013-10-18,27.675,27.675,27.355,25.690001,54400,24.04204
2013-10-21,27.462,27.504,27.397,25.68,22800,24.032682
2013-10-22,27.547,27.665,27.515,25.860001,32400,24.201139
2013-10-23,27.579,27.579,27.419,25.75,48700,24.09819
2013-10-24,27.579,27.59,27.483,25.799999,48700,24.144981
2013-10-25,27.601,27.707,27.558,25.93,35600,24.266644
2013-10-28,27.729,27.804,27.665,25.959999,26100,24.294718
2013-10-29,27.836,27.9,27.793,26.110001,28000,24.435101
2013-10-30,27.921,27.921,27.654,26.02,31700,24.350874
2013-10-31,27.793,27.889,27.675,25.969999,27900,24.304077
2013-11-01,27.793,27.825,27.643,26.040001,9900,24.369593
2013-11-04,27.91,27.953,27.814,26.15,39000,24.47253
2013-11-05,27.868,27.91,27.782,26.07,12500,24.397665
2013-11-06,28.007,28.028,27.91,26.200001,19400,24.519325
2013-11-07,28.113,28.113,27.633,25.870001,31800,24.210493
2013-11-08,27.665,27.985,27.643,26.190001,122000,24.509962
2013-11-11,28.017,28.06,27.996,26.24,16900,24.556759
2013-11-12,27.996,28.028,27.921,26.200001,41300,24.519325
2013-11-13,27.878,28.21,27.878,26.4,24700,24.706493
2013-11-14,28.242,28.348,28.167,26.52,28200,24.818798
2013-11-15,28.391,28.413,28.316,26.57,30300,24.865589
2013-11-18,28.498,28.498,28.284,26.49,28000,24.79072
2013-11-19,28.284,28.391,28.242,26.49,14200,24.79072
2013-11-20,28.295,28.37,28.113,26.360001,37300,24.669062
2013-11-21,28.295,28.434,28.295,26.610001,22600,24.903027
2013-11-22,28.423,28.562,28.381,26.709999,37700,24.996609
2013-11-25,28.626,28.626,28.498,26.67,26300,24.959177
2013-11-26,28.541,28.594,28.498,26.690001,23300,24.97789
2013-11-27,28.552,28.616,28.509,26.74,58600,25.024685
2013-11-29,28.616,28.658,28.487,26.67,23800,24.959177
2013-12-02,28.53,28.637,28.466,26.65,15200,24.940456
2013-12-03,28.413,28.455,28.284,26.559999,17400,24.856232
2013-12-04,28.295,28.509,28.199,26.57,21500,24.865589
2013-12-05,28.316,28.316,28.156,26.370001,28700,24.678419
2013-12-06,28.413,28.53,28.402,26.59,18400,24.884308
2013-12-09,28.68,28.68,28.541,26.73,18700,25.015329
2013-12-10,28.53,28.552,28.455,26.67,16000,24.959177
2013-12-11,28.498,28.648,28.135,26.35,11000,24.659702
2013-12-12,28.113,28.156,28.017,26.27,27100,24.584837
2013-12-13,28.124,28.156,27.985,26.290001,9100,24.60355
2013-12-16,28.199,28.284,28.199,26.42,16100,24.72521
2013-12-17,28.22,28.22,28.071,26.34,9900,24.650343
2013-12-18,28.21,28.626,28.06,26.790001,15300,25.071476
2013-12-19,28.562,28.626,28.53,26.780001,22300,25.062117
2013-12-20,28.658,28.819,28.658,26.91,17700,25.183779
2013-12-23,28.705,28.705,28.577,26.92,39300,25.292767
2013-12-24,28.62,28.748,28.62,27,23400,25.367931
2013-12-26,28.812,28.929,28.812,27.16,49000,25.518259
2013-12-27,28.95,28.95,28.865,27.17,17600,25.527657
2013-12-30,28.939,28.939,28.854,27.18,14500,25.53705
2013-12-31,28.971,29.056,28.961,27.24,32000,25.593424
2014-01-02,28.939,28.939,28.737,27.040001,27100,25.40551
2014-01-03,28.801,28.865,28.726,26.99,57700,25.358534
2014-01-06,28.886,28.886,28.652,26.969999,25100,25.339745
2014-01-07,28.812,28.897,28.812,27.1,53000,25.461887
2014-01-08,28.854,28.854,28.737,27.08,98400,25.44309
2014-01-09,28.886,28.886,28.705,27.110001,58200,25.471281
2014-01-10,28.907,28.907,28.748,27.15,33400,25.508862
2014-01-13,28.844,28.875,28.482,26.799999,27000,25.180021
2014-01-14,28.62,28.801,28.62,27.040001,29400,25.40551
2014-01-15,28.865,28.939,28.854,27.15,31100,25.508862
2014-01-16,28.844,28.844,28.758,27.1,20500,25.461887
2014-01-17,28.833,28.854,28.684,26.969999,31500,25.339745
2014-01-21,28.875,28.875,28.631,27.01,37000,25.377327
2014-01-22,28.833,28.833,28.694,27.049999,26700,25.414909
2014-01-23,28.641,28.641,28.386,26.799999,25300,25.180021
2014-01-24,28.375,28.375,27.992,26.33,53500,24.738426
2014-01-27,27.971,28.173,27.705,26.17,64900,24.5881
2014-01-28,27.918,28.088,27.918,26.360001,159500,24.766617
2014-01-29,27.832,27.992,27.747,26.110001,25400,24.531731
2014-01-30,27.981,28.109,27.875,26.34,45900,24.747824
2014-01-31,27.705,28.013,27.683,26.17,36200,24.5881
2014-02-03,27.811,27.811,27.151,25.549999,73600,24.005581
2014-02-04,27.322,27.364,27.172,25.67,42100,24.118328
2014-02-05,27.236,27.332,27.141,25.639999,31300,24.090139
2014-02-06,27.343,27.641,27.343,25.959999,34200,24.390797
2014-02-07,27.758,27.949,27.641,26.25,36200,24.663265
2014-02-10,27.928,27.949,27.822,26.25,49400,24.663265
2014-02-11,27.981,28.311,27.981,26.51,62100,24.907549
2014-02-12,28.322,28.407,28.237,26.58,39800,24.97332
2014-02-13,28.098,28.46,28.098,26.719999,39400,25.104856
2014-02-14,28.407,28.663,28.375,26.91,32500,25.283369
2014-02-18,28.684,28.694,28.599,26.93,80900,25.30216
2014-02-19,28.577,28.78,28.503,26.790001,42400,25.170624
2014-02-20,28.545,28.748,28.514,27.01,36500,25.377327
2014-02-21,28.748,28.79,28.694,26.959999,15700,25.330349
2014-02-24,28.737,29.024,28.737,27.110001,26000,25.471281
2014-02-25,28.822,28.897,28.726,27.059999,23700,25.424305
2014-02-26,28.854,28.907,28.769,27.09,45100,25.452486
2014-02-27,28.78,28.939,28.748,27.18,32500,25.53705
2014-02-28,28.929,29.173,28.929,27.26,28600,25.612217
2014-03-03,28.769,28.875,28.673,27.07,34400,25.433704
2014-03-04,29.12,29.333,29.12,27.49,75600,25.828316
2014-03-05,29.493,29.493,29.173,27.440001,32200,25.781336
2014-03-06,29.28,29.322,29.269,27.52,7400,25.856497
2014-03-07,29.429,29.429,29.259,27.540001,285500,25.875294
2014-03-10,29.291,29.312,29.173,27.540001,18400,25.875294
2014-03-11,29.365,29.376,29.12,27.41,14900,25.753151
2014-03-12,29.024,29.163,29.024,27.309999,19300,25.659195
2014-03-13,29.269,29.269,28.833,27.15,35800,25.508862
2014-03-14,28.844,28.971,28.822,27.110001,15600,25.471281
2014-03-17,28.971,29.131,28.971,27.32,18900,25.668589
2014-03-18,29.173,29.333,29.173,27.540001,29600,25.875294
2014-03-19,29.333,29.376,29.024,27.450001,39700,25.790731
2014-03-20,29.12,29.386,29.12,27.610001,20900,25.941059
2014-03-21,29.514,29.578,29.333,27.57,31700,25.903473
2014-03-24,29.429,29.44,29.142,27.540001,18900,25.875294
2014-03-25,29.312,29.418,29.248,27.620001,33000,25.950451
2014-03-26,29.514,29.514,29.248,27.48,38200,25.818916
2014-03-27,29.216,29.269,29.078,27.440001,34700,25.781336
2014-03-28,29.28,29.45,29.28,27.6,22100,25.931665
2014-03-31,29.47,29.48,29.311,27.73,56600,26.149496
2014-04-01,29.501,29.533,29.427,27.85,21200,26.262655
2014-04-02,29.597,29.682,29.544,27.99,40100,26.394678
2014-04-03,29.714,29.724,29.608,27.99,42200,26.394678
2014-04-04,29.83,29.841,29.353,27.75,40300,26.168356
2014-04-07,29.374,29.374,29.056,27.48,52300,25.913748
2014-04-08,29.067,29.215,29.067,27.52,22700,25.951468
2014-04-09,29.289,29.438,29.173,27.73,22600,26.149496
2014-04-10,29.448,29.47,28.908,27.299999,50600,25.744005
2014-04-11,28.833,28.939,28.643,27.07,31000,25.527117
2014-04-14,29.173,29.173,28.717,27.27,44300,25.715717
2014-04-15,28.982,29.12,28.759,27.4,17900,25.838305
2014-04-16,29.236,29.353,29.205,27.68,26200,26.102348
2014-04-17,29.353,29.459,29.321,27.77,33000,26.187218
2014-04-21,29.448,29.501,29.364,27.799999,25200,26.215509
2014-04-22,29.533,29.65,29.448,27.9,69800,26.309813
2014-04-23,29.491,29.597,29.491,27.889999,29800,26.300377
2014-04-24,29.629,29.639,29.491,27.889999,18700,26.300377
2014-04-25,29.544,29.544,29.342,27.74,70600,26.158928
2014-04-28,29.533,29.586,29.279,27.860001,72100,26.272089
2014-04-29,29.65,29.65,29.565,27.940001,25900,26.347528
2014-04-30,29.618,29.724,29.565,28.02,48600,26.42297
2014-05-01,29.703,29.714,29.629,27.98,25900,26.385246
2014-05-02,29.671,29.788,29.661,27.99,26400,26.394678
2014-05-05,29.565,29.703,29.459,28.01,26800,26.413536
2014-05-06,29.576,29.618,29.491,27.83,35400,26.243795
2014-05-07,29.629,29.714,29.448,28.01,35900,26.413536
2014-05-08,29.692,29.873,29.565,27.93,24300,26.338097
2014-05-09,29.671,29.703,29.554,27.959999,44300,26.36639
2014-05-12,29.777,29.968,29.777,28.26,20700,26.64929
2014-05-13,30,30.042,29.947,28.280001,30700,26.668148
2014-05-14,29.989,29.989,29.82,28.15,49300,26.545555
2014-05-15,29.798,29.798,29.448,27.9,41200,26.309813
