"Date","GLTR.Open","GLTR.High","GLTR.Low","GLTR.Close","GLTR.Volume","GLTR.Adjusted"
2010-10-22,75.73,75.8,75.3,75.699997,124200,75.699997
2010-10-25,76.93,77.03,76.29,76.639999,82600,76.639999
2010-10-26,76.21,77.2,75.8,77.040001,52300,77.040001
2010-10-27,76.54,76.62,75.75,76.169998,40600,76.169998
2010-10-28,76.73,77.31,76.36,77.230003,39900,77.230003
2010-10-29,77.56,78.64,77.36,78.620003,60800,78.620003
2010-11-01,79.03,79.11,78.15,78.349998,73200,78.349998
2010-11-02,78.81,78.87,78.41,78.809998,55200,78.809998
2010-11-03,78.62,78.65,76.72,78.309998,60000,78.309998
2010-11-04,80.46,81.94,80.21,81.839996,136000,81.839996
2010-11-05,81.36,82.81,81.24,82.559998,93400,82.559998
2010-11-08,82.44,84.12,82.18,84.059998,81000,84.059998
2010-11-09,85.44,86.9,81.7,82.349998,801300,82.349998
2010-11-10,83.92,83.94,81.81,83.43,207500,83.43
2010-11-11,83.74,84.06,82.75,84.050003,135200,84.050003
2010-11-12,82.73,83,80.02,80.589996,168300,80.589996
2010-11-15,80.69,81.2,79.39,79.449997,73300,79.449997
2010-11-16,79.18,79.34,77.71,78.480003,245400,78.480003
2010-11-17,78.7,79.31,78.41,78.720001,64900,78.720001
2010-11-18,80.27,81.32,80.13,81.07,160400,81.07
2010-11-19,80.49,81.64,80.05,81.610001,57100,81.610001
2010-11-22,81.41,82.43,81.12,82.389999,62000,82.389999
2010-11-23,82.03,82.7,81.75,82.239998,79300,82.239998
2010-11-24,82.22,82.49,81.76,82.330002,33600,82.330002
2010-11-26,80.57,81.11,80.28,80.900002,30900,80.900002
2010-11-29,81.12,81.8,80.5,81.629997,55600,81.629997
2010-11-30,82.64,83.69,82.42,83.290001,71300,83.290001
2010-12-01,83.97,84.47,83.42,84.029999,87700,84.029999
2010-12-02,84.21,85.33,84.2,84.449997,52200,84.449997
2010-12-03,85.27,86.24,85.27,86.129997,128400,86.129997
2010-12-06,86.49,87.55,86.2,87.400002,139000,87.400002
2010-12-07,88.07,88.11,84.62,84.620003,138300,84.620003
2010-12-08,84.73,85.02,82.91,83.709999,109200,83.709999
2010-12-09,84.54,84.94,83.98,84.059998,61700,84.059998
2010-12-10,83.84,84.27,83,84.220001,34800,84.220001
2010-12-13,85.65,85.97,85.28,85.550003,89900,85.550003
2010-12-14,85.46,87.2,85.24,85.639999,49700,85.639999
2010-12-15,84.81,85.49,84.25,84.300003,37600,84.300003
2010-12-16,84.24,84.24,83.12,84.07,53600,84.07
2010-12-17,84.16,84.71,83.64,84.57,37400,84.57
2010-12-20,84.9,85.27,84.19,85.120003,34100,85.120003
2010-12-21,84.98,85.31,84.65,85.160004,37400,85.160004
2010-12-22,85.34,85.34,84.99,85,13200,85
2010-12-23,84.62,85.08,84.23,84.910004,19900,84.910004
2010-12-27,85.04,85.21,84.84,85.150002,12800,85.150002
2010-12-28,86.41,87.22,86.24,87.139999,43000,87.139999
2010-12-29,87.45,87.88,87.33,87.68,52500,87.68
2010-12-30,87.8,87.81,87.11,87.25,47300,87.25
2010-12-31,87.73,88.48,87.73,88.400002,30600,88.400002
2011-01-03,88.52,88.82,87.74,87.870003,60300,87.870003
2011-01-04,86.89,86.91,84.91,85.760002,91900,85.760002
2011-01-05,84.44,85.2,83.67,85.010002,42600,85.010002
2011-01-06,84.95,84.95,84.16,84.57,37100,84.57
2011-01-07,84.11,84.99,83.88,84.040001,35700,84.040001
2011-01-10,84.39,84.59,84,84.559998,16600,84.559998
2011-01-11,85.54,85.76,85,85.620003,35400,85.620003
2011-01-12,85.94,86.26,85.5,86.230003,26100,86.230003
2011-01-13,86.46,86.46,84.46,84.730003,31300,84.730003
2011-01-14,84.3,84.56,83.47,83.949997,46800,83.949997
2011-01-18,84.75,85.13,84.63,84.809998,29000,84.809998
2011-01-19,85.92,85.93,84.61,84.769997,25000,84.769997
2011-01-20,83.13,83.2,82.39,82.620003,61100,82.620003
2011-01-21,82.19,82.77,81.98,82.589996,67600,82.589996
2011-01-24,82.3,82.83,81.54,81.709999,43800,81.709999
2011-01-25,81.21,81.38,80.75,81.239998,49600,81.239998
2011-01-26,81.19,82.56,80.88,82.540001,40200,82.540001
2011-01-27,82.37,82.62,80.67,80.75,31300,80.75
2011-01-28,80.58,83.19,80.58,82.68,30600,82.68
2011-01-31,82.12,83.27,82.12,82.709999,29100,82.709999
2011-02-01,83.4,83.85,82.55,83.760002,23300,83.760002
2011-02-02,83.35,83.75,82.84,83.370003,13300,83.370003
2011-02-03,83.22,84.62,82.59,84.620003,24900,84.620003
2011-02-04,84.9,85.13,84.26,84.599998,9500,84.599998
2011-02-07,84.75,85.1,84.48,84.940002,19900,84.940002
2011-02-08,85.77,86.66,85.65,86.620003,62900,86.620003
2011-02-09,86.77,86.82,86.05,86.360001,27400,86.360001
2011-02-10,85.66,86.42,85.52,86.160004,12600,86.160004
2011-02-11,86.12,86.41,85.39,85.580002,28200,85.580002
2011-02-14,86.33,86.88,86.33,86.790001,19200,86.790001
2011-02-15,87.28,87.4,87,87.199997,20800,87.199997
