"Date","IEMG.Open","IEMG.High","IEMG.Low","IEMG.Close","IEMG.Volume","IEMG.Adjusted"
2012-10-24,53.506,53.572,53.131,48.220001,149500,43.762993
2012-10-25,53.726,53.814,53.34,48.540001,9800,44.053417
2012-10-26,53.153,53.285,52.933,48.189999,618700,43.735764
2012-10-31,53.561,53.561,52.933,48.23,17500,43.772064
2012-11-01,53.539,53.99,53.539,49,217200,44.470894
2012-11-02,54.2,54.2,53.506,48.560001,112600,44.071568
2012-11-05,53.539,53.935,53.495,48.93,45600,44.407364
2012-11-06,54.178,54.42,53.979,49.27,24700,44.715939
2012-11-07,53.77,53.88,53.23,48.549999,121200,44.062489
2012-11-08,53.638,53.759,52.944,48.060001,101800,43.617775
2012-11-09,52.944,53.517,52.944,48.259998,28100,43.799301
2012-11-12,53.318,53.406,53.175,48.32,9400,43.853748
2012-11-13,52.624,52.933,52.602,47.830002,87300,43.409042
2012-11-14,52.866,52.866,52.04,47.23,36100,42.864498
2012-11-15,52.128,52.316,52.04,47.400002,53400,43.01878
2012-11-16,52.227,52.349,51.787,47.509998,92500,43.118618
2012-11-19,52.822,53.142,52.822,48.23,7000,43.772064
2012-11-20,52.811,53.01,52.723,48.099998,24900,43.654076
2012-11-21,52.767,52.922,52.668,47.990002,11000,43.554253
2012-11-23,53.605,53.748,53.484,48.779999,81700,44.271229
2012-11-26,53.682,53.715,53.506,48.75,84800,44.244003
2012-11-27,53.605,53.726,53.318,48.389999,21500,43.917278
2012-11-28,53.109,53.693,52.889,48.709999,119200,44.207699
2012-11-29,53.979,54.134,53.836,49.080002,72700,44.543503
2012-11-30,54.056,54.101,53.99,49,7000,44.470894
2012-12-03,54.31,54.31,54.045,49.07,26900,44.534424
2012-12-04,54.321,54.42,54.189,49.209999,40500,44.661488
2012-12-05,54.729,54.971,54.596,49.669998,25000,45.078968
2012-12-06,54.927,55.07,54.795,49.959999,17500,45.342155
2012-12-07,55.39,55.39,55.004,50.16,52700,45.523678
2012-12-10,55.213,55.599,55.213,50.450001,12100,45.786873
2012-12-11,55.577,55.83,55.566,50.599998,20300,45.923008
2012-12-12,55.941,56.26,55.786,50.709999,133200,46.022839
2012-12-13,55.875,56.007,55.555,50.549999,99000,45.877632
2012-12-14,55.886,56.029,55.764,50.77,64600,46.07729
2012-12-17,55.952,56.095,55.886,50.82,55300,46.122669
2012-12-18,55.784,56.323,55.564,51.189999,44500,46.561085
2012-12-19,56.444,56.543,56.213,51.189999,703200,46.561085
2012-12-20,56.367,56.576,56.103,51.450001,352900,46.797577
2012-12-21,55.784,55.949,55.586,50.68,219800,46.097202
2012-12-24,55.938,55.938,55.597,50.66,32100,46.07901
2012-12-26,56.246,56.301,56.081,51.049999,236000,46.433739
2012-12-27,56.116,56.468,55.963,51.299999,81300,46.668446
2012-12-28,56.809,56.809,56.336,51.400002,157100,46.75943
2012-12-31,56.809,57.512,56.644,52.200001,106900,47.487198
2013-01-02,58.161,58.546,58.117,53.259998,91800,48.4515
2013-01-03,58.095,58.557,58.029,52.919998,311900,48.142189
2013-01-04,58.007,58.249,57.82,52.950001,48700,48.169487
2013-01-07,57.952,57.952,57.699,52.650002,413200,47.896572
2013-01-08,57.589,57.644,57.238,52.279999,150100,47.559971
2013-01-09,57.787,57.787,57.578,52.540001,201200,47.796501
2013-01-10,58.205,58.81,57.809,52.919998,263700,48.142189
2013-01-11,57.82,57.82,57.556,52.490002,117000,47.751015
2013-01-14,58.106,58.106,57.688,52.700001,968100,47.942055
2013-01-15,57.71,57.71,57.479,52.41,210300,47.678238
2013-01-16,57.403,57.655,57.227,52.400002,303700,47.669144
2013-01-17,57.875,58.128,57.754,52.759998,110500,47.996635
2013-01-18,57.985,58.084,57.787,52.77,372700,48.005733
2013-01-22,57.985,57.985,57.743,52.700001,131600,47.942055
2013-01-23,57.864,57.864,57.501,52.43,247400,47.696434
2013-01-24,57.677,57.831,57.392,52.279999,309800,47.559971
2013-01-25,57.381,57.381,57.029,52.130001,217600,47.423519
2013-01-28,57.205,57.205,56.743,51.720001,241000,47.050537
2013-01-29,57.095,57.6,57.095,52.32,208800,47.596359
2013-01-30,57.403,57.413,57.194,52.029999,124100,47.332542
2013-01-31,57.348,57.348,57.128,52.080002,293500,47.378033
2013-02-01,57.633,57.798,57.413,52.450001,251000,47.714626
2013-02-04,57.348,57.424,56.776,51.779999,173100,47.105114
2013-02-05,57.326,57.348,57.073,52.029999,205300,47.332542
2013-02-06,56.897,57.095,56.721,51.93,114400,47.241577
2013-02-07,57.062,57.062,56.435,51.540001,136600,46.886787
2013-02-08,56.908,57.084,56.853,51.93,327400,47.241577
2013-02-11,56.952,57.029,56.743,51.830002,79200,47.150604
2013-02-12,57.04,57.249,56.776,51.900002,159500,47.214283
2013-02-13,57.512,57.512,57.216,52.169998,138100,47.4599
2013-02-14,57.216,57.392,57.128,52.200001,125100,47.487198
2013-02-15,57.49,57.49,57.117,52.049999,261100,47.350739
2013-02-19,57.315,57.435,57.183,52.02,172600,47.323448
2013-02-20,57.435,57.501,56.732,51.639999,335900,46.977757
2013-02-21,56.523,56.589,55.973,51.150002,651300,46.531994
2013-02-22,56.358,56.6,56.303,51.43,756700,46.786713
2013-02-25,56.886,56.941,55.721,50.689999,694800,46.113518
2013-02-26,56.138,56.193,55.765,51.07,821000,46.459213
2013-02-27,56.171,56.743,56.149,51.549999,153800,46.895882
2013-02-28,56.655,56.798,56.369,51.279999,602900,46.650249
2013-03-01,56.49,56.611,56.105,51.41,402400,46.768517
2013-03-04,56.193,56.193,55.809,51.060001,1063900,46.450123
2013-03-05,56.699,56.886,56.611,51.560001,527600,46.904984
2013-03-06,57.029,57.029,56.743,51.790001,93300,47.114212
2013-03-07,57.04,57.15,56.853,51.93,1010300,47.241577
2013-03-08,57.457,57.589,57.161,52.32,416600,47.596359
2013-03-11,57.304,57.315,57.084,52.080002,483700,47.378033
2013-03-12,57.018,57.062,56.556,51.549999,792100,46.895882
2013-03-13,56.622,56.622,56.193,51.139999,241200,46.5229
2013-03-14,56.512,56.578,56.281,51.369999,452200,46.732128
2013-03-15,56.215,56.215,55.952,50.93,368800,46.331856
2013-03-18,55.501,55.644,55.292,50.360001,411900,45.813324
2013-03-19,55.281,55.424,54.643,49.970001,302600,45.458527
2013-03-20,55.457,55.457,55.237,50.330002,776100,45.78603
2013-03-21,55.083,55.127,54.709,49.810001,739900,45.312977
2013-03-22,54.973,54.984,54.764,49.970001,356500,45.458527
2013-03-25,55.237,55.336,54.709,49.91,1073900,45.403946
2013-03-26,55.347,55.6,55.347,50.57,214100,46.004356
2013-03-27,55.127,55.721,55.127,50.669998,260000,46.095325
2013-03-28,55.655,55.831,55.49,50.759998,205300,46.177204
2013-04-01,55.831,55.831,55.237,50.290001,360900,45.749638
2013-04-02,55.523,55.567,55.27,50.330002,128800,45.78603
2013-04-03,55.325,55.325,54.588,49.790001,499900,45.294781
2013-04-04,54.687,54.808,54.281,49.66,122700,45.176517
2013-04-05,53.819,54.555,53.61,49.540001,271000,45.067352
2013-04-08,54.105,54.511,54.05,49.560001,289600,45.085548
2013-04-09,54.643,55.226,54.446,50,249900,45.485817
2013-04-10,55.402,55.721,55.303,50.490002,388800,45.931583
2013-04-11,55.578,55.655,55.358,50.490002,281200,45.931583
