"Date","IFGL.Open","IFGL.High","IFGL.Low","IFGL.Close","IFGL.Volume","IFGL.Adjusted"
2007-12-27,84.17,84.515,80.755,46.990002,14400,27.243828
2007-12-28,81.117,81.117,79.806,46.860001,24100,27.168447
2007-12-31,83.653,83.653,81.065,47.299999,11400,27.423559
2008-01-02,82.445,82.445,81.169,47.099998,20200,27.3076
2008-01-03,83.204,83.204,80.237,46.830002,15000,27.15106
2008-01-04,81.359,81.859,80.203,47.130001,6400,27.324997
2008-01-07,79.341,79.513,77.961,45.389999,19700,26.316172
2008-01-08,78.323,78.478,77.461,44.91,5300,26.037888
2008-01-09,79.151,79.341,77.512,44.950001,4700,26.061069
2008-01-10,79.203,79.203,76.495,44.360001,3300,25.719009
2008-01-11,74.873,75.339,74.873,43.52,3900,25.231983
2008-01-14,71.579,76.236,71.579,44.130001,4100,25.585657
2008-01-15,75.546,75.546,72.752,42.299999,5300,24.524654
2008-01-16,73.976,75.839,72.441,42.049999,5200,24.379709
2008-01-17,75.011,75.529,70.975,41.16,12200,23.863708
2008-01-18,78.081,78.081,71.631,42.509998,12000,24.646414
2008-01-22,70.216,72.597,70.182,41.970001,7400,24.333326
2008-01-23,70.078,70.803,69.406,40.889999,16400,23.707167
2008-01-24,73.907,74.563,73.873,43.220001,8000,25.058056
2008-01-25,81.876,86.24,75.218,44,15100,25.510286
2008-01-28,70.372,76.081,70.372,44.080002,2800,25.556671
2008-01-29,83.791,83.791,75.805,44.029999,9500,25.527678
2008-01-30,75.477,78.633,74.96,43.759998,4600,25.371136
2008-01-31,77.599,77.599,76.495,44.82,3100,25.985706
2008-02-01,84.17,84.17,76.926,45.169998,3900,26.188622
2008-02-04,80.858,86.999,79.306,46.169998,95300,26.768404
2008-02-05,80.513,81.048,75.546,43.970001,31500,25.492901
2008-02-06,80.082,80.082,76.305,44.77,9600,25.956717
2008-02-07,75.96,75.994,74.908,44.049999,9100,25.539276
2008-02-08,81.29,81.29,73.373,43.060001,13700,24.96529
2008-02-11,70.682,76.926,70.682,43.630001,4300,25.295767
2008-02-12,79.22,79.22,70.889,42.459999,8500,24.61743
2008-02-13,75.96,75.96,74.114,43.439999,12300,25.185616
2008-02-14,79.875,79.875,74.166,43.07,17300,24.971094
2008-02-15,74.373,74.804,74.373,43.369999,300,25.145025
