"Date","IGOV.Open","IGOV.High","IGOV.Low","IGOV.Close","IGOV.Volume","IGOV.Adjusted"
2009-01-30,109.282,109.282,109.282,94.949997,100,82.497238
2009-02-02,109.052,109.052,109.052,94.75,700,82.323509
2009-02-03,110.031,110.031,109.915,95.5,700,82.975105
2009-02-04,109.34,109.34,109.294,95,700,82.540688
2009-02-05,108.937,108.937,108.937,94.650002,200,82.236595
2009-02-06,108.995,109.34,108.995,95,3600,82.540688
2009-02-09,110.261,110.399,110.238,95.919998,4400,83.34005
2009-02-10,109.973,109.973,109.973,95.550003,800,83.01857
2009-02-11,109.915,109.915,109.915,95.5,400,82.975105
2009-02-12,109.858,109.858,109.858,95.449997,100,82.931656
2009-02-13,109.743,109.743,109.743,95.349998,700,82.844765
2009-02-17,107.959,108.189,107.372,93.300003,4500,81.063637
2009-02-18,107.901,107.901,107.556,93.449997,300,81.19397
2009-02-19,107.844,107.959,107.844,93.699997,2600,81.411194
2009-02-20,107.383,109.225,107.383,94.900002,400,82.453812
2009-02-23,108.649,108.649,108.649,94.400002,200,82.019394
2009-02-24,107.786,108.189,107.786,93.949997,900,81.628441
2009-02-25,107.614,107.614,107.614,93.5,600,81.237427
2009-02-26,107.153,107.153,107.153,93.099998,100,80.889862
2009-02-27,106.232,106.29,105.542,92.300003,7300,80.194786
2009-03-02,105.891,105.891,105.891,92.199997,200,80.279297
2009-03-03,106.006,106.006,106.006,92.300003,2600,80.366318
2009-03-04,104.972,104.972,104.972,91.400002,200,79.582703
2009-03-05,104.972,104.972,104.972,91.400002,0,79.582703
2009-03-06,106.58,106.58,106.58,92.800003,2200,80.801682
2009-03-09,105.431,105.431,104.972,91.400002,2600,79.582703
2009-03-10,106.063,106.637,106.063,92.349998,1800,80.409836
2009-03-11,106.408,106.408,106.35,92.599998,1000,80.627586
2009-03-12,106.523,106.523,106.523,92.75,100,80.758156
2009-03-13,106.523,106.523,106.523,92.75,0,80.758156
2009-03-16,107.786,107.786,107.487,93.589996,1900,81.489525
2009-03-17,107.212,107.384,107.212,93.5,21200,81.411186
2009-03-18,110.255,110.255,110.255,96,300,83.587914
2009-03-19,112.885,113.069,112.885,98.449997,1200,85.721184
2009-03-20,111.404,111.404,111.404,97,300,84.458649
2009-03-23,112.173,112.38,112.173,97.849998,600,85.198784
2009-03-24,111.174,111.174,110.714,96.400002,1400,83.936264
2009-03-25,110.714,110.714,110.714,96.400002,100,83.936264
2009-03-26,111.404,111.461,111.002,96.650002,2100,84.153923
2009-03-27,110.025,110.025,109.968,95.75,1300,83.370239
2009-03-30,109.451,109.451,109.336,95.199997,800,82.891403
2009-03-31,109.336,109.336,109.267,95.139999,300,82.839111
2009-04-01,109.571,109.743,108.78,95.550003,42400,83.323135
2009-04-02,110.087,110.087,110.03,95.949997,2200,83.671967
2009-04-03,110.03,110.03,110.03,95.949997,0,83.671967
2009-04-06,109.686,109.686,109.261,95.300003,800,83.105118
2009-04-07,108.596,108.596,108.023,94.699997,2900,82.581909
2009-04-08,108.08,108.998,108.08,95.050003,1900,82.887123
2009-04-09,108.482,108.482,108.252,94.400002,900,82.320313
2009-04-13,109.055,109.055,109.055,95.099998,500,82.930695
2009-04-14,109.055,109.055,109.055,95.099998,0,82.930695
2009-04-15,109.055,109.342,109.055,95.330002,5300,83.131271
2009-04-16,108.998,108.998,108.998,95.050003,1000,82.887123
2009-04-17,108.252,108.252,108.138,94.300003,8200,82.233078
2009-04-20,107.794,107.908,107.748,94.099998,1700,82.058701
2009-04-21,107.908,107.908,107.908,94.099998,0,82.058701
2009-04-22,107.989,108.482,107.989,94.43,1800,82.346428
2009-04-23,108.424,108.883,108.424,94.949997,1300,82.799942
2009-04-24,109.72,110.431,109.72,95.949997,15700,83.671967
2009-04-27,109.938,109.984,109.227,95.300003,1400,83.105118
2009-04-28,109.823,109.823,109.812,95.769997,700,83.514954
2009-04-29,112.495,112.495,111.119,96.900002,400,84.500366
2009-04-30,110.225,110.511,110.225,96.370003,1200,84.0382
2009-05-01,110.491,110.491,110.491,96.370003,0,84.053909
2009-05-04,114.572,114.572,110.319,96.839996,700,84.463829
2009-05-05,111.225,111.225,110.651,96.709999,3400,84.350441
2009-05-06,110.984,111.328,110.949,97.099998,1900,84.69059
2009-05-07,110.926,110.949,110.766,96.620003,1500,84.271912
2009-05-08,111.442,112.36,111.442,98,900,85.475578
2009-05-11,112.589,112.589,112.474,98.199997,2700,85.650009
2009-05-12,112.933,112.933,112.646,98.25,2800,85.693596
2009-05-13,112.91,113.025,112.91,98.580002,700,85.981483
2009-05-14,113.174,113.357,113.174,98.870003,1100,86.234428
2009-05-15,112.405,113.219,112.405,98.150002,1900,85.606422
2009-05-18,112.818,112.818,112.36,98.339996,500,85.772156
2009-05-19,112.876,113.334,112.876,98.849998,2800,86.216927
2009-05-20,113.735,114.63,113.713,99.800003,2300,87.045517
2009-05-21,114.526,115.157,114.469,100.440002,1000,87.603775
2009-05-22,115.616,115.834,115.157,101.029999,1800,88.11834
2009-05-26,114.676,115.111,114.676,100.309998,800,87.490364
2009-05-27,114.779,114.779,114.423,99.940002,3900,87.167633
2009-05-28,113.793,113.988,113.793,99.419998,1700,86.714104
2009-05-29,115.581,115.868,115.581,101.050003,1800,88.135788
2009-06-01,115.177,115.383,115.177,100.760002,400,88.007362
2009-06-02,115.807,116.254,115.807,101.540001,600,88.688652
2009-06-03,115.921,115.921,114.845,100.889999,800,88.120949
2009-06-04,114.983,115.28,114.284,99.900002,2400,87.256226
2009-06-05,113.357,113.357,112.785,98.510002,1400,86.042145
2009-06-08,112.567,112.739,112.109,98.470001,600,86.007233
2009-06-09,113.735,113.895,113.735,99.480003,500,86.889412
2009-06-10,114.021,114.021,113.094,98.779999,3600,86.277977
2009-06-11,113.54,114.616,113.54,99.800003,2700,87.1689
2009-06-12,113.54,113.884,113.185,99.349998,6200,86.77581
2009-06-15,113.231,113.231,112.762,98.589996,700,86.11203
2009-06-16,113.677,113.746,113.666,99.279999,2000,86.714722
2009-06-17,114.09,114.731,113.54,100.190002,4100,87.509544
2009-06-18,114.513,114.513,113.712,99.419998,6200,86.83699
2009-06-19,114.17,114.742,114.17,100.160004,700,87.483337
2009-06-22,113.998,114.227,113.998,99.709999,800,87.090286
2009-06-23,115.544,115.544,115.429,100.82,700,88.059799
2009-06-24,115.04,115.04,114.811,100.279999,700,87.588165
2009-06-25,114.616,115.12,114.616,100.550003,1000,87.823975
2009-06-26,115.91,116.059,115.841,101.370003,3400,88.540207
2009-06-29,115.979,115.99,115.532,100.910004,1100,88.138397
2009-06-30,115.589,115.704,115.589,101.059998,300,88.269432
2009-07-01,115.648,115.99,115.648,101.400002,1300,88.73233
2009-07-02,115.362,115.602,115.362,101.160004,5400,88.522316
2009-07-06,115.385,115.613,115.156,100.769997,6400,88.181053
2009-07-07,115.796,115.796,115.293,100.889999,1500,88.286018
2009-07-08,115.579,115.579,115.065,100.690002,300,88.111053
2009-07-09,116.253,116.756,116.253,102.029999,6900,89.283607
2009-07-10,116.196,116.539,115.739,101.93,7700,89.196114
2009-07-13,116.562,116.608,116.436,102.040001,2100,89.292381
2009-07-14,116.345,116.345,115.853,101.540001,3800,88.854851
2009-07-15,116.813,116.813,116.665,102.089996,6800,89.336212
2009-07-16,117.076,117.305,117.076,102.650002,2600,89.826141
2009-07-17,116.687,116.687,116.31,102,4200,89.257385
2009-07-20,117.122,117.35,116.665,102.639999,1600,89.817413
2009-07-21,117.762,117.762,117.625,102.93,1200,90.071182
2009-07-22,117.522,117.887,117.522,103.089996,2100,90.211189
2009-07-23,117.385,117.59,117.007,102.389999,13700,89.598663
2009-07-24,117.27,117.385,116.722,102.610001,10100,89.791191
2009-07-27,116.927,117.27,116.905,102.620003,900,89.799911
2009-07-28,117.327,117.556,116.985,102.82,4500,89.974937
2009-07-29,117.133,117.133,116.39,101.849998,1800,89.126137
2009-07-30,116.768,117.019,116.402,102.300003,16600,89.519875
2009-07-31,117.579,118.767,117.579,103.93,20800,90.946266
2009-08-03,118.387,118.752,118.387,104.110001,14400,91.334908
2009-08-04,118.9,118.9,118.398,103.870003,1500,91.124344
2009-08-05,118.455,119.082,118.364,104.269997,11300,91.475296
2009-08-06,118.398,118.398,118.125,103.639999,1700,90.922592
2009-08-07,117.464,117.464,115.685,101.889999,15500,89.387329
2009-08-10,116.415,116.415,115.731,101.940002,2900,89.431221
2009-08-11,116.666,116.7,116.461,102.25,7600,89.703125
2009-08-12,116.939,117.281,116.837,102.779999,3700,90.168106
2009-08-13,117.714,117.942,117.293,103.370003,4000,90.68573
2009-08-14,118.216,118.216,117.692,103.269997,5600,90.597977
2009-08-17,128.794,128.794,116.324,103.099998,2800,90.448837
2009-08-18,117.635,117.749,117.407,103.269997,2900,90.597977
2009-08-19,126.514,126.514,118.205,104.099998,3100,91.326126
2009-08-20,118.604,118.661,118.547,104.080002,5200,91.308563
2009-08-21,121.727,121.727,118.832,104.25,6600,91.457726
2009-08-24,118.832,118.832,118.444,104.199997,3500,91.413864
2009-08-25,119.185,119.231,118.558,104.190002,15300,91.405067
2009-08-26,118.547,118.547,117.863,104,7300,91.238335
2009-08-27,118.376,119.287,118.034,104.629997,6300,91.79113
2009-08-28,119.231,119.288,119.174,104.57,27500,91.738441
2009-08-31,119.299,119.458,119.23,104.75,9300,91.896385
2009-09-01,118.331,118.501,117.796,103.599998,11900,91.114517
2009-09-02,118.047,118.615,118.047,104.32,7600,91.747749
2009-09-03,118.433,118.433,117.978,103.93,3500,91.404739
2009-09-04,117.91,118.547,117.569,104.260002,6400,91.694992
2009-09-08,119.616,119.843,119.434,105.269997,18600,92.583282
2009-09-09,119.934,120.218,119.786,105.349998,5600,92.653572
2009-09-10,120.173,120.559,119.991,106.029999,6500,93.251694
2009-09-11,121.173,121.458,120.707,106.620003,4000,93.770569
2009-09-14,121.014,121.355,120.889,106.57,5600,93.726593
2009-09-15,120.673,121.367,120.673,106.739998,7600,93.876083
2009-09-16,121.412,121.662,121.344,107,7400,94.104774
2009-09-17,121.378,121.549,121.321,106.830002,6100,93.955254
2009-09-18,121.48,122.515,121.48,107.309998,9300,94.377419
2009-09-21,120.264,120.719,120.264,106.120003,3200,93.330841
2009-09-22,121.492,121.685,121.264,106.919998,9100,94.034424
2009-09-23,121.56,124.016,121.48,107.080002,15700,94.175133
2009-09-24,122.003,122.003,120.878,106.559998,9800,93.717804
2009-09-25,121.64,121.981,121.583,107.230003,7700,94.307045
2009-09-28,121.901,122.026,121.48,106.870003,5200,93.990425
2009-09-29,121.276,121.469,120.991,106.709999,5900,93.849663
2009-09-30,121.446,122.015,121.446,107.129997,16600,94.219101
2009-10-01,121.21,121.21,120.756,106.370003,8400,93.697647
2009-10-02,121.278,122.073,121.278,107.089996,8300,94.331871
2009-10-05,121.733,122.096,121.642,107.550003,10800,94.737045
2009-10-06,122.448,122.936,122.402,108,4700,95.133423
2009-10-07,122.13,122.754,122.13,108.129997,10000,95.247948
2009-10-08,123.118,123.526,122.981,108.720001,12900,95.767632
2009-10-09,122.527,122.527,121.676,107.459999,12300,94.657768
2009-10-12,122.436,122.618,122.243,108.010002,8800,95.142281
2009-10-13,122.868,122.868,122.675,108.160004,13100,95.274376
2009-10-14,123.106,123.22,122.732,108.540001,4900,95.609123
2009-10-15,122.459,122.913,122.391,107.970001,8400,95.10704
2009-10-16,122.119,122.448,121.994,107.720001,7900,94.886818
2009-10-19,122.493,122.811,122.357,108.18,6800,95.292
2009-10-20,123.152,123.152,122.527,108.160004,22900,95.274376
2009-10-21,122.573,123.072,122.493,108.260002,8000,95.362442
2009-10-22,122.402,123.038,122.402,108.379997,12700,95.468178
2009-10-23,122.607,122.607,122.062,107.790001,6200,94.948448
2009-10-26,122.312,122.312,121.086,106.940002,19800,94.199707
2009-10-27,121.551,121.551,120.915,106.610001,8300,93.909027
2009-10-28,121.244,121.801,120.779,107,13000,94.252625
2009-10-29,121.517,121.517,120.79,106.650002,11300,93.944267
2009-10-30,121.188,121.63,121.006,106.629997,18300,93.926636
2009-11-02,121.802,121.802,120.611,106.919998,18500,94.286453
2009-11-03,121.031,121.031,120.305,106.110001,22600,93.572136
2009-11-04,120.747,121.405,120.487,106.559998,33500,93.968994
2009-11-05,121.099,121.178,120.657,106.410004,14000,93.836723
2009-11-06,120.815,121.269,120.248,106.809998,63300,94.189423
