"Date","IQDF.Open","IQDF.High","IQDF.Low","IQDF.Close","IQDF.Volume","IQDF.Adjusted"
2013-04-16,28.845,29.031,28.845,24.870001,1200,21.348043
2013-04-17,28.624,28.624,28.472,24.440001,200,20.978931
2013-04-18,28.402,28.705,28.402,24.540001,14400,21.064775
2013-04-19,28.589,28.589,28.589,24.540001,0,21.064775
2013-04-22,28.589,28.589,28.589,24.540001,0,21.064775
2013-04-23,28.589,28.589,28.589,24.540001,0,21.064775
2013-04-24,29.369,29.416,29.369,25.24,1400,21.665644
2013-04-25,29.404,29.404,29.404,25.24,0,21.665644
2013-04-26,29.462,29.462,29.462,25.290001,40900,21.708563
2013-04-29,29.928,29.928,29.928,25.690001,200,22.051914
2013-04-30,30.511,30.511,29.963,25.719999,700,22.077665
2013-05-01,29.87,29.87,29.87,25.639999,1000,22.008999
2013-05-02,29.94,30.208,29.94,25.74,7500,22.094833
2013-05-03,30.266,30.336,30.266,26.030001,21000,22.343767
2013-05-06,30.208,30.266,30.196,25.969999,94800,22.292263
2013-05-07,30.243,30.243,30.08,25.940001,36800,22.266516
2013-05-08,30.453,30.464,30.429,26.139999,11900,22.438187
2013-05-09,30.371,30.371,30.196,25.92,800,22.249342
2013-05-10,30.138,30.161,30.045,25.889999,13900,22.223593
2013-05-13,30.208,30.278,30.068,25.91,19300,22.240761
2013-05-14,30.231,30.278,30.173,25.9,17500,22.232176
2013-05-15,30.15,30.196,30.15,25.92,17400,22.249342
2013-05-16,30.196,30.231,30.173,25.9,11100,22.232176
2013-05-17,30.185,30.185,30.185,25.91,10500,22.240761
2013-05-20,30.383,30.383,30.371,26.07,200,22.378101
2013-05-21,30.511,30.72,30.511,26.23,16500,22.515446
2013-05-22,30.522,30.522,30.313,26.02,4000,22.335188
2013-05-23,29.649,30.103,29.614,25.65,13800,22.01758
2013-05-24,30.324,30.324,29.637,25.51,20600,21.897408
2013-05-28,29.975,30.033,29.975,25.74,9900,22.094833
2013-05-29,29.719,30.196,29.649,25.629999,39600,22.000414
2013-05-30,29.905,29.905,29.905,25.67,1400,22.03475
2013-05-31,30.359,30.359,29.416,25.25,1800,21.674227
2013-06-03,29.934,29.934,28.972,25.15,8300,21.693203
2013-06-04,29.192,29.308,29.042,25.049999,6300,21.606949
2013-06-05,28.81,28.856,28.624,24.700001,64200,21.305054
2013-06-06,29.192,29.192,28.474,24.709999,6400,21.313681
2013-06-07,28.926,29.39,28.833,24.959999,36100,21.52932
2013-06-10,29.621,29.621,28.775,24.889999,31400,21.468937
2013-06-11,28.555,28.624,28.555,24.66,2400,21.270552
2013-06-12,28.694,28.694,28.404,24.5,67100,21.132544
2013-06-13,28.578,28.926,28.578,24.950001,12400,21.520695
2013-06-14,28.752,28.845,28.613,24.68,10400,21.287804
2013-06-17,29.03,29.03,28.798,24.84,7700,21.425812
2013-06-18,28.984,29.065,28.984,25.07,700,21.624201
2013-06-19,28.474,28.578,28.474,24.65,3000,21.261929
2013-06-20,27.848,28.659,27.372,23.620001,72800,20.373499
2013-06-21,27.361,27.419,27.361,23.65,10000,20.399372
2013-06-24,26.978,26.978,26.793,23.110001,8500,19.933594
2013-06-25,27.164,27.314,27.152,23.559999,27700,20.321743
2013-06-26,27.558,27.569,27.477,23.780001,6200,20.511507
2013-06-27,27.778,27.778,27.778,23.959999,900,20.666767
2013-06-28,27.674,28.079,27.674,24.030001,21700,20.727146
2013-07-01,28.114,28.149,28.114,24.27,16900,20.934158
2013-07-02,27.824,28.033,27.569,24.08,20500,20.770267
2013-07-03,27.639,27.848,27.616,23.959999,18600,20.666767
2013-07-05,27.732,27.79,27.685,23.92,12100,20.632265
2013-07-08,27.836,28.126,27.755,23.99,26500,20.692644
2013-07-09,28.23,28.23,27.859,24.23,37700,20.899654
2013-07-10,28.103,28.311,28.021,24.17,28900,20.847902
2013-07-11,28.775,28.833,28.439,24.870001,25900,21.451689
2013-07-12,28.613,28.659,28.543,24.719999,15600,21.322302
2013-07-15,28.752,28.879,28.717,24.879999,33700,21.460316
2013-07-16,29.053,29.053,28.752,24.91,126900,21.486189
2013-07-17,29.03,29.03,28.914,24.959999,10000,21.52932
2013-07-18,29.227,29.227,28.972,25.09,6300,21.641453
2013-07-19,30.143,30.143,28.972,24.99,900,21.555195
2013-07-22,29.274,29.274,29.111,25.209999,11400,21.744953
2013-07-23,29.911,29.911,29.274,25.25,1400,21.779461
2013-07-24,29.378,29.378,29.216,25.200001,11100,21.73633
2013-07-25,29.123,29.332,29.123,25.299999,35600,21.822586
2013-07-26,29.007,29.25,29.007,25.219999,13700,21.753582
2013-07-29,29.03,29.088,29.007,25.09,30000,21.641453
2013-07-30,29.019,29.042,28.937,24.959999,18400,21.52932
2013-07-31,28.879,29.1,28.879,25.1,43300,21.650076
2013-08-01,29.1,29.216,29.076,25.18,36800,21.719076
2013-08-02,29.274,29.32,29.262,25.290001,32300,21.813959
2013-08-05,29.239,29.355,29.239,25.32,8600,21.83984
2013-08-06,29.795,29.795,29.158,25.23,10200,21.762209
2013-08-07,28.995,29.158,28.995,25.139999,10100,21.684576
2013-08-08,29.134,29.459,29.134,25.41,33700,21.917469
2013-08-09,29.308,29.447,29.308,25.4,8000,21.908842
2013-08-12,29.32,29.447,29.32,25.4,25300,21.908842
2013-08-13,29.424,29.61,29.424,25.540001,12400,22.0296
2013-08-14,29.436,29.552,29.436,25.49,1300,21.986473
2013-08-15,29.749,29.749,29.158,25.41,11900,21.917469
2013-08-16,29.9,29.9,29.355,25.459999,48800,21.96059
2013-08-19,29.343,29.482,29.192,25.18,4900,21.719076
2013-08-20,29.181,29.192,29.169,25.16,15700,21.701828
2013-08-21,29.668,29.668,28.648,24.709999,10300,21.313681
2013-08-22,29.285,29.285,29.042,25.049999,14900,21.606949
2013-08-23,29.216,29.297,29.216,25.27,22100,21.796709
2013-08-26,29.146,29.239,29.111,25.16,17800,21.701828
2013-08-27,29.216,29.216,28.648,24.73,46200,21.330931
2013-08-28,28.392,29.111,28.392,24.809999,65100,21.399933
2013-08-29,28.59,28.671,28.555,24.73,9500,21.330931
2013-08-30,28.671,28.671,28.671,24.73,0,21.330931
2013-09-03,28.385,28.535,28.385,24.75,13100,21.484573
2013-09-04,28.811,28.811,28.5,24.969999,20300,21.67555
2013-09-05,28.615,28.88,28.615,25.01,10000,21.710276
2013-09-06,28.915,29.007,28.915,25.17,15000,21.849163
2013-09-09,29.33,29.364,29.33,25.49,24100,22.126944
2013-09-10,29.606,29.664,29.514,25.700001,32000,22.309238
2013-09-11,29.572,29.883,29.549,25.940001,24200,22.517574
2013-09-12,29.721,29.744,29.525,25.700001,9500,22.309238
2013-09-13,29.537,29.618,29.445,25.68,59600,22.291876
2013-09-16,30.47,30.47,29.94,26,70200,22.56966
2013-09-17,29.986,30.032,29.837,26.07,22100,22.630419
2013-09-18,30.009,30.919,29.894,26.84,19000,23.298834
2013-09-19,30.597,30.597,30.366,26.360001,27500,22.882158
2013-09-20,30.436,30.516,30.309,26.32,44700,22.847439
2013-09-23,31.76,31.76,30.148,26.309999,34900,22.838758
2013-09-24,30.217,30.401,30.148,26.379999,75400,22.899519
2013-09-25,30.021,30.205,29.998,26.219999,23300,22.760628
2013-09-26,30.159,30.332,30.159,26.33,33400,22.856117
2013-09-27,30.263,30.413,30.159,26.23,19000,22.76931
2013-09-30,30.159,30.194,29.883,26.18,89700,22.72591
2013-10-01,30.228,30.332,29.998,26.23,10900,22.76931
2013-10-02,30.251,30.343,30.021,26.25,35000,22.786674
2013-10-03,30.101,30.182,30.101,26.190001,8200,22.734592
2013-10-04,31.415,31.415,30.125,26.209999,43200,22.751947
2013-10-07,30.067,30.067,30.067,26.1,14800,22.656464
2013-10-08,29.94,29.94,29.767,25.84,21200,22.430765
2013-10-09,29.802,30.182,29.71,26.059999,9700,22.621742
2013-10-10,31.173,31.173,30.309,26.549999,35800,23.047092
2013-10-11,30.447,30.643,30.332,26.440001,40600,22.951605
2013-10-14,30.528,30.747,30.447,26.6,25400,23.090492
2013-10-15,30.701,30.758,30.47,26.450001,23900,22.960287
2013-10-16,30.758,30.85,30.747,26.76,40700,23.229383
2013-10-17,30.989,31.219,30.989,27.1,36400,23.524529
2013-10-18,31.38,31.415,31.219,27.27,13500,23.672094
2013-10-21,31.369,31.449,31.173,27.27,28900,23.672094
2013-10-22,31.772,31.772,31.576,27.530001,16500,23.8978
2013-10-23,31.288,31.392,31.207,27.200001,13600,23.611334
2013-10-24,31.415,31.495,31.3,27.32,47400,23.715506
2013-10-25,31.472,31.541,31.449,27.34,36800,23.732862
2013-10-28,31.426,31.507,31.38,27.35,22500,23.741545
2013-10-29,31.53,31.53,31.426,27.360001,16600,23.750223
2013-10-30,31.576,31.576,31.311,27.24,44700,23.646051
2013-10-31,31.219,31.369,31.173,27.17,21800,23.585289
2013-11-01,31.104,31.196,31.069,27.030001,22000,23.463764
2013-11-04,30.931,31.311,30.931,27.18,5100,23.593969
2013-11-05,30.85,31.115,30.85,26.92,34400,23.368275
2013-11-06,31.23,31.3,31.161,27.139999,11400,23.559248
2013-11-07,31.184,31.196,30.666,26.620001,30600,23.107857
2013-11-08,30.839,30.919,30.758,26.84,34400,23.298834
2013-11-11,30.793,30.85,30.793,26.74,5300,23.212023
2013-11-12,30.597,30.712,30.597,26.59,4700,23.081814
2013-11-13,30.873,30.873,30.574,26.74,5900,23.212023
2013-11-14,30.816,31.069,30.712,26.969999,17100,23.411676
2013-11-15,31.184,31.323,31.184,27.190001,22500,23.602657
2013-11-18,31.426,31.553,31.323,27.24,13800,23.646051
2013-11-19,31.346,31.346,31.127,27.049999,31900,23.481125
2013-11-20,31.242,31.242,30.989,26.91,16200,23.359592
2013-11-21,31.046,31.15,31.046,27.040001,24400,23.472446
2013-11-22,31.138,31.242,31.104,27.120001,32800,23.541885
2013-11-25,31.115,31.115,30.954,26.959999,15000,23.402998
2013-11-26,30.873,31.081,30.873,26.85,10500,23.307507
2013-11-27,31.127,31.138,31.023,26.940001,33300,23.385639
2013-11-29,31.323,31.323,31.253,27.129999,5600,23.550571
2013-12-02,31.127,31.15,30.977,26.889999,21000,23.34223
2013-12-03,31.392,31.392,30.643,26.6,25200,23.090492
2013-12-04,30.47,30.608,30.436,26.5,6900,23.003687
2013-12-05,30.516,30.562,30.436,26.440001,33900,22.951605
2013-12-06,30.701,30.827,30.689,26.74,65500,23.212023
2013-12-09,30.781,30.85,30.701,26.719999,10500,23.194662
2013-12-10,30.701,30.735,30.562,26.620001,17200,23.107857
