"Date","ITR.Open","ITR.High","ITR.Low","ITR.Close","ITR.Volume","ITR.Adjusted"
2009-02-20,40.476,40.542,39.765,30.5,16800,23.163345
2009-02-23,40.384,40.384,39.897,30.309999,16800,23.019054
2009-02-24,39.937,39.937,39.502,30,12200,22.783628
2009-02-25,39.226,39.226,38.37,29.469999,5500,22.381111
2009-02-26,39.041,39.041,38.488,29.280001,18700,22.236813
2009-02-27,38.58,38.87,38.528,29.51,2000,22.411491
2009-03-02,38.749,38.762,38.552,29.34,1600,22.32929
2009-03-03,38.736,38.946,38.552,29.34,22900,22.32929
2009-03-04,38.618,38.618,38.092,29.23,20800,22.245579
2009-03-05,38.552,38.696,38.328,29.299999,14800,22.298855
2009-03-06,38.302,38.328,38.131,29.129999,3400,22.169462
2009-03-09,38.197,38.197,37.855,28.809999,4700,21.925934
2009-03-10,38.092,38.105,37.855,28.950001,2900,22.032484
2009-03-11,37.974,38.237,37.974,29.1,4800,22.146639
2009-03-12,38.368,38.447,38.289,29.17,9400,22.199909
2009-03-13,38.407,38.407,38.171,29.23,1000,22.245579
2009-03-16,38.499,38.499,38.171,29.219999,6000,22.237961
2009-03-17,38.604,38.631,38.434,29.26,5200,22.268421
2009-03-18,38.526,39.275,38.394,29.58,3300,22.51195
2009-03-19,39.629,39.629,39.288,29.93,10500,22.77832
2009-03-20,39.091,39.091,38.88,29.620001,2800,22.542389
2009-03-23,38.631,39.222,38.631,29.700001,4700,22.603281
2009-03-24,38.972,38.985,38.775,29.51,4600,22.458673
2009-03-25,38.762,38.788,38.526,29.41,13200,22.38257
2009-03-26,38.631,38.749,38.631,29.49,37000,22.443451
2009-03-27,38.841,38.907,38.263,29.52,28800,22.466288
2009-03-30,39.327,39.327,38.657,29.450001,4100,22.413008
2009-03-31,38.723,38.775,38.71,29.51,4000,22.458673
2009-04-01,38.501,38.501,38.409,29.4,3400,22.473194
2009-04-02,37.965,38.148,37.965,29.129999,2700,22.266819
2009-04-03,38.383,38.383,37.808,28.969999,4700,22.144508
2009-04-06,37.755,38.37,37.52,29.290001,5700,22.389112
2009-04-07,37.638,38.449,37.611,29.389999,8200,22.465565
2009-04-08,38.697,38.697,38.54,29.549999,1800,22.58786
2009-04-09,38.606,38.776,38.593,29.639999,138100,22.656654
2009-04-13,38.907,38.972,38.763,29.790001,5700,22.771317
2009-04-14,39.26,39.325,39.09,30.049999,9500,22.970062
2009-04-15,39.325,39.325,39.221,30.02,6500,22.947124
2009-04-16,39.364,39.417,39.247,30.08,5400,22.992981
2009-04-17,39.338,39.378,39.286,30.1,13000,23.00828
2009-04-20,39.508,39.521,39.299,30.110001,4800,23.015919
2009-04-21,39.561,39.561,39.338,30.09,4400,23.000622
2009-04-22,39.391,39.391,39.194,30.02,4500,22.947124
2009-04-23,39.155,39.181,39.116,29.940001,7700,22.885975
2009-04-24,39.364,39.613,39.168,30.18,19500,23.069437
2009-04-27,39.535,39.548,39.391,30.15,8000,23.046484
2009-04-28,39.417,41.34,39.26,30.17,57600,23.061787
2009-04-29,39.116,40.686,39.116,30.200001,4600,23.084726
2009-04-30,39.665,39.692,39.247,30.16,22100,23.054136
2009-05-01,39.052,39.052,38.752,29.950001,4300,22.992718
2009-05-04,39.052,39.208,39.052,30.1,25100,23.107878
2009-05-05,39.247,39.26,39.195,30.120001,10800,23.123232
2009-05-06,39.403,39.403,39.078,30.030001,16900,23.054138
2009-05-07,39.586,39.677,39.403,30.34,10600,23.292135
2009-05-08,39.494,40.015,39.442,30.450001,7900,23.376583
