"Date","JNK.Open","JNK.High","JNK.Low","JNK.Close","JNK.Volume","JNK.Adjusted"
2007-12-04,103.973,104.606,103.973,47.889999,1900,21.924679
2007-12-05,104.628,104.628,104.628,47.900002,6000,21.929256
2007-12-06,104.278,104.366,104.278,47.779999,3100,21.874321
2007-12-07,104.409,104.431,104.409,47.810001,12800,21.888052
2007-12-10,104.672,104.934,104.672,48.040001,7700,21.993341
2007-12-11,105.349,105.349,104.846,48,6400,21.975046
2007-12-12,105.043,105.13,104.584,47.880001,10500,21.920103
2007-12-13,104.89,104.89,104.606,47.889999,5900,21.924679
2007-12-14,104.955,104.955,104.606,47.889999,3000,21.924679
2007-12-17,104.999,104.999,104.584,47.93,900,21.942984
2007-12-18,105.108,105.108,104.977,48.060001,200,22.002508
2007-12-19,104.54,104.912,104.54,48.029999,1000,21.988775
2007-12-20,105.152,105.152,104.759,48.009998,1800,21.979622
2007-12-21,105.087,105.087,104.693,47.93,1500,21.942984
2007-12-24,104.759,104.759,104.562,47.869999,4400,21.915516
2007-12-26,104.628,104.628,104.388,47.849998,2200,21.906366
2007-12-27,104.519,104.519,104.519,47.849998,0,21.906366
2007-12-28,103.901,103.901,103.381,47.889999,7200,22.087162
2007-12-31,104.032,104.032,103.641,47.869999,3800,22.077946
2008-01-02,104.032,104.053,104.01,47.970001,2300,22.12406
2008-01-03,104.118,104.118,103.099,47.549999,4300,21.930347
2008-01-04,103.49,103.49,101.538,47.099998,20100,21.722803
2008-01-07,102.926,102.926,102.08,47.369999,3400,21.847336
2008-01-08,103.208,103.208,101.907,47.490002,4300,21.902674
2008-01-09,102.405,103.056,101.972,47.029999,4200,21.690535
2008-01-10,102.124,102.124,99.738,46.77,38100,21.570614
2008-01-11,101.581,101.712,100.302,46.580002,5000,21.482986
2008-01-14,101.603,101.603,100.953,46.599998,1700,21.492201
2008-01-15,100.779,100.779,100.562,46.380001,1400,21.390743
2008-01-16,101.451,101.451,101.104,46.630001,5300,21.506039
2008-01-17,100.367,100.367,98.871,45.900002,3400,21.169357
2008-01-18,100.129,100.129,99.587,45.93,1800,21.183186
2008-01-22,99.738,99.738,98.633,45.990002,7800,21.210873
2008-01-23,99.673,99.76,98.698,45.98,4200,21.206257
2008-01-24,99.717,100.064,99.478,45.880001,4600,21.160141
2008-01-25,100.411,100.411,96.074,45.369999,25600,20.924917
2008-01-28,99.11,99.196,98.438,45.740002,39200,21.095572
2008-01-29,99.413,99.522,98.958,45.799999,69600,21.123238
2008-01-30,100.606,101.907,100.476,46.599998,1468700,21.492201
2008-01-31,100.823,101.473,100.281,46.75,37500,21.561373
2008-02-01,101.055,103.316,100.581,46.689999,72300,21.673723
2008-02-04,101.205,101.205,98.987,46,41200,21.353416
2008-02-05,99.051,99.073,98.233,45.869999,24000,21.29307
