"Date","MBG.Open","MBG.High","MBG.Low","MBG.Close","MBG.Volume","MBG.Adjusted"
2009-01-30,33.592,33.592,33.45,25.85,1400,19.976824
2009-02-02,33.631,33.631,33.579,25.950001,3700,20.05411
2009-02-03,33.566,33.644,33.566,26,2300,20.092747
2009-02-04,33.644,33.644,33.644,26,0,20.092747
2009-02-05,33.644,33.644,33.476,25.91,2800,20.02319
2009-02-06,33.528,33.528,33.528,25.91,0,20.02319
2009-02-09,33.553,33.553,33.553,25.93,400,20.038649
2009-02-10,33.553,33.553,33.553,25.93,0,20.038649
2009-02-11,33.553,33.553,33.553,25.93,0,20.038649
2009-02-12,33.864,33.864,33.76,26.09,2200,20.162298
2009-02-13,34.705,34.705,33.929,26.290001,1800,20.316854
2009-02-17,34.019,34.019,34.019,26.290001,0,20.316854
2009-02-18,34.019,34.019,34.019,26.290001,0,20.316854
2009-02-19,33.877,33.877,33.877,26.18,300,20.231848
2009-02-20,33.877,33.877,33.877,26.18,1000,20.231848
2009-02-23,33.864,33.864,33.864,26.17,300,20.224119
2009-02-24,33.812,33.877,33.812,26.18,800,20.231848
2009-02-25,33.877,33.877,33.877,26.18,300,20.231848
2009-02-26,33.463,33.463,33.463,25.860001,100,19.984552
2009-02-27,33.67,34.058,33.67,26.1,15700,20.170021
2009-03-02,33.745,33.745,33.745,26.1,0,20.18704
2009-03-03,33.564,33.629,33.564,26.01,5700,20.11743
2009-03-04,33.693,33.719,33.693,26.08,900,20.171572
2009-03-05,33.616,33.654,33.616,26.030001,5700,20.132896
2009-03-06,33.706,33.822,33.706,26.16,6500,20.233452
2009-03-09,33.784,33.784,33.784,26.129999,1100,20.210247
2009-03-10,33.784,33.784,33.784,26.129999,0,20.210247
2009-03-11,33.641,33.874,33.641,26.200001,2200,20.264387
2009-03-12,34.133,34.133,33.887,26.209999,6100,20.272121
2009-03-13,33.887,33.991,33.887,26.280001,1600,20.32626
2009-03-16,33.81,34.029,33.758,26.23,12300,20.2876
2009-03-17,34.055,34.055,34.055,26.34,100,20.372663
2009-03-18,34.016,35.555,34.016,26.360001,3700,20.388138
2009-03-19,34.249,34.275,34.249,26.51,1600,20.504166
2009-03-20,34.223,34.223,34.184,26.469999,1700,20.47323
2009-03-23,34.921,45.51,34.21,26.530001,24500,20.519629
2009-03-24,35.038,35.038,34.133,26.469999,19900,20.47323
