"Date","PFF.Open","PFF.High","PFF.Low","PFF.Close","PFF.Volume","PFF.Adjusted"
2007-03-30,99.728,99.787,99.708,50.139999,2000,25.213879
2007-04-02,99.827,100.006,99.827,50.25,11700,25.269197
2007-04-03,99.926,100.165,99.926,50.369999,4800,25.329542
2007-04-04,100.125,100.165,99.887,50.23,7200,25.25913
2007-04-05,100.006,100.086,99.966,50.299999,7000,25.29434
2007-04-09,100.125,100.165,99.907,50.34,7200,25.314459
2007-04-10,100.165,100.265,100.026,50.380001,8400,25.334568
2007-04-11,100.245,100.245,99.907,50.290001,8100,25.289297
2007-04-12,100.046,100.046,99.907,50.259998,4200,25.274225
2007-04-13,99.907,99.986,99.429,50.25,6900,25.269197
2007-04-16,100.026,100.086,99.648,50.23,18400,25.25913
2007-04-17,99.966,100.026,99.827,50.279999,20300,25.284271
2007-04-18,99.966,100.006,99.907,50.27,9200,25.279257
2007-04-19,100.006,100.006,99.708,50.16,13900,25.223934
2007-04-20,99.927,99.986,99.827,50.279999,4800,25.284271
2007-04-23,99.966,100.105,99.429,50.240002,12400,25.264172
2007-04-24,100.046,100.066,99.907,50.27,20100,25.279257
2007-04-25,99.926,100.125,99.728,50.240002,29300,25.264172
2007-04-26,99.887,99.946,99.827,50.25,13400,25.269197
2007-04-27,100.145,100.145,99.946,50.310001,7700,25.29936
2007-04-30,100.105,100.165,100.066,50.32,7400,25.304407
2007-05-01,98.985,98.985,98.787,50.009998,13400,25.291752
2007-05-02,98.945,99.143,98.945,50.139999,11800,25.357498
2007-05-03,99.281,99.281,99.143,50.18,19600,25.377731
2007-05-04,99.262,99.262,99.183,50.169998,32900,25.372673
2007-05-07,99.301,99.341,99.202,50.200001,55400,25.38784
2007-05-08,99.4,99.42,99.222,50.27,24400,25.423237
2007-05-09,99.558,99.558,99.341,50.240002,21100,25.408066
2007-05-10,99.459,99.459,99.222,50.18,10200,25.377731
2007-05-11,99.459,99.618,99.459,50.369999,5500,25.473806
2007-05-14,99.954,99.954,99.815,50.48,14200,25.529444
2007-05-15,99.875,99.993,99.756,50.459999,9400,25.519339
2007-05-16,99.756,99.776,99.361,50.330002,13100,25.453575
2007-05-17,99.361,99.4,99.242,50.240002,10700,25.408066
2007-05-18,99.281,99.321,99.143,50.189999,20300,25.382784
2007-05-21,99.103,99.321,99.103,50.23,9800,25.403015
2007-05-22,99.281,99.875,99.262,50.299999,20500,25.438421
2007-05-23,99.459,99.618,99.42,50.299999,5500,25.438421
2007-05-24,99.341,99.38,99.084,50.220001,15100,25.397963
2007-05-25,99.064,99.242,98.945,50.130001,12400,25.35243
2007-05-29,99.202,99.321,99.143,50.139999,4500,25.357498
2007-05-30,99.242,99.459,99.242,50.27,7600,25.423237
2007-05-31,99.44,99.578,99.321,50.34,15200,25.458654
2007-06-01,99.007,99.007,98.2,49.900002,15400,25.356512
2007-06-04,98.574,98.574,98.023,49.84,19200,25.326017
2007-06-05,98.259,98.259,97.708,49.689999,47000,25.249798
2007-06-06,98.062,98.062,97.413,49.549999,36200,25.17864
2007-06-07,97.373,97.492,96.645,49.110001,14900,24.955078
2007-06-08,96.547,96.803,96.33,49.189999,15200,24.995728
2007-06-11,96.842,96.842,96.547,49.139999,12700,24.97031
2007-06-12,96.527,96.527,95.996,48.779999,16400,24.787386
2007-06-13,96.33,96.527,96.193,49.009998,23200,24.904264
2007-06-14,96.842,97,96.606,49.189999,16700,24.995728
2007-06-15,97.098,97.747,97.098,49.669998,36400,25.239637
2007-06-18,97.944,97.944,97.629,49.709999,30600,25.25996
2007-06-19,98.102,98.102,97.767,49.75,18500,25.280291
2007-06-20,98.161,98.161,97.452,49.52,6000,25.163414
2007-06-21,97.374,97.374,96.96,49.349998,14600,25.077024
2007-06-22,97.078,97.255,96.941,49.419998,4300,25.112589
2007-06-25,97.393,97.452,96.96,49.34,31200,25.071947
2007-06-26,97.216,97.255,97.059,49.389999,28500,25.097342
2007-06-27,97.196,97.196,96.744,49.369999,64200,25.087181
2007-06-28,97.393,97.747,97.393,49.52,4200,25.163414
2007-06-29,97.708,97.806,97.551,49.619999,12700,25.214216
2007-07-02,97.03,97.5,97.03,49.66,19100,25.334112
2007-07-03,97.442,97.951,97.442,49.900002,10400,25.456551
2007-07-05,97.991,97.991,97.501,49.830002,14200,25.420834
2007-07-06,97.716,97.716,97.402,49.73,13900,25.369823
2007-07-09,97.52,97.598,97.324,49.77,29700,25.39023
2007-07-10,97.148,97.814,97.03,49.560001,153100,25.283096
2007-07-11,96.971,97.246,96.971,49.48,15200,25.242285
2007-07-12,96.971,97.226,96.932,49.599998,24800,25.303497
2007-07-13,96.775,97.265,96.775,49.59,8000,25.298407
2007-07-16,97.05,97.324,97.05,49.540001,11400,25.272882
2007-07-17,97.246,97.246,96.834,49.509998,6100,25.257589
2007-07-18,97.05,97.05,96.677,49.400002,3500,25.201473
2007-07-19,96.716,96.854,96.677,49.360001,2900,25.181061
2007-07-20,96.481,96.481,96.226,49.139999,4400,25.06883
2007-07-23,96.324,96.324,96.226,49.09,1300,25.04332
2007-07-24,95.834,95.834,95.089,48.509998,6800,24.74744
2007-07-25,94.815,94.893,94.403,48.220001,33400,24.599497
2007-07-26,93.894,93.894,93.462,47.68,11900,24.32402
2007-07-27,93.502,94.09,93.502,47.919998,8600,24.446451
2007-07-30,93.619,93.796,93.188,47.799999,41100,24.385227
2007-07-31,94.266,94.541,94.149,48.099998,23800,24.538279
2007-08-01,92.914,92.914,92.368,47.419998,3800,24.30862
2007-08-02,92.661,92.992,92.426,47.57,6900,24.385513
2007-08-03,92.758,92.758,92.056,47.389999,3400,24.29324
2007-08-06,91.744,91.997,91.158,46.860001,10200,24.021544
2007-08-07,91.334,91.783,91.334,47.040001,6300,24.113827
2007-08-08,92.114,92.661,92.114,47.5,4400,24.349634
2007-08-09,92.465,92.465,92.017,47.240002,20300,24.216347
2007-08-10,91.295,91.295,90.71,46.75,6300,23.96516
2007-08-13,91.666,91.666,90.905,46.650002,3200,23.91391
2007-08-14,90.71,90.827,90.144,46.209999,3300,23.688339
2007-08-15,89.227,89.442,88.74,45.490002,23800,23.319267
2007-08-16,87.198,87.764,85.638,44.98,14600,23.057812
2007-08-17,89.266,90.125,88.759,46.169998,12600,23.667835
2007-08-20,89.734,90.476,89.734,46.380001,3400,23.775494
2007-08-21,90.339,91.256,90.339,46.779999,19900,23.980543
2007-08-22,92.056,92.056,91.334,46.830002,8800,24.00617
2007-08-23,92.66,92.66,92.173,47.34,3400,24.267626
2007-08-24,92.446,92.504,91.958,47.419998,1700,24.30862
2007-08-27,92.387,92.426,92.017,47.310001,11700,24.252224
2007-08-28,92.251,92.251,91.685,47.009998,2800,24.09844
2007-08-29,91.685,91.997,91.685,47.16,6900,24.175327
2007-08-30,92.036,92.212,91.802,47.060001,11500,24.124081
2007-08-31,92.465,92.582,92.465,47.450001,3800,24.324003
2007-09-04,91.866,91.866,91.633,47.209999,16800,24.312675
2007-09-05,91.652,91.652,91.07,46.990002,6000,24.199373
2007-09-06,91.283,91.303,91.07,46.990002,5000,24.199373
2007-09-07,91.109,91.109,90.895,46.880001,2500,24.142723
2007-09-10,91.05,91.05,90.779,46.849998,11800,24.127264
2007-09-11,90.953,90.953,90.72,46.720001,2600,24.060322
2007-09-12,90.39,90.798,90.196,46.57,87800,23.98308
2007-09-13,90.099,91.031,90.099,46.84,10300,24.122122
2007-09-14,91.031,91.419,91.031,47.080002,5900,24.245731
2007-09-17,91.303,91.575,91.303,47.16,18900,24.286922
2007-09-18,92.235,92.468,92.079,47.619999,3400,24.523817
2007-09-19,92.72,92.759,92.313,47.540001,23000,24.482615
2007-09-20,92.235,92.235,91.167,47.16,94400,24.286922
2007-09-21,91.264,91.827,91.264,47.279999,9900,24.348722
2007-09-24,91.944,92.06,91.905,47.41,3700,24.41567
2007-09-25,91.225,91.652,91.225,47.049999,54000,24.230267
2007-09-26,92.118,93.38,90.215,47.540001,16600,24.482615
2007-09-27,91.672,92.72,90.332,47.310001,30800,24.364176
2007-09-28,92.06,92.118,91.478,47.110001,3500,24.261169
