"Date","PRF.Open","PRF.High","PRF.Low","PRF.Close","PRF.Volume","PRF.Adjusted"
2007-01-03,71.01,71.205,70.181,57.880001,230500,47.495983
2007-01-04,70.412,70.754,70.193,57.950001,83100,47.55344
2007-01-05,70.388,70.425,69.901,57.43,68400,47.126724
2007-01-08,70.071,70.364,69.84,57.689999,171100,47.34008
2007-01-09,70.4,70.412,69.937,57.700001,105600,47.348278
2007-01-10,70.071,70.534,69.998,57.880001,83900,47.495983
2007-01-11,70.656,71.034,70.571,58.18,106500,47.742168
2007-01-12,70.973,71.363,70.863,58.560001,77000,48.054005
2007-01-16,71.46,73.118,71.119,58.509998,393400,48.012981
2007-01-17,71.229,71.448,71.168,58.470001,129900,47.980152
2007-01-18,71.387,71.753,71.01,58.380001,163100,47.906292
2007-01-19,71.107,71.436,71.095,58.619999,83400,48.103226
2007-01-22,71.448,71.46,71.01,58.41,133200,47.930901
2007-01-23,71.29,71.594,71.131,58.700001,108000,48.168877
2007-01-24,71.594,72.021,71.497,59.099998,114300,48.49712
2007-01-25,71.936,72.338,71.18,58.560001,214900,48.054005
2007-01-26,71.473,71.473,70.729,58.439999,118800,47.955528
2007-01-29,71.131,71.497,71.131,58.459999,139500,47.971935
2007-01-30,71.485,71.655,71.339,58.799999,110500,48.250942
2007-01-31,71.594,72.228,71.46,59.169998,144700,48.55455
2007-02-01,72.338,72.582,72.228,59.560001,119500,48.874573
2007-02-02,72.618,72.74,72.484,59.59,107100,48.899193
2007-02-05,72.594,72.752,72.508,59.700001,119300,48.989471
2007-02-06,72.777,72.898,72.569,59.82,236600,49.08794
2007-02-07,72.947,73.069,72.752,59.919998,142500,49.170002
2007-02-08,72.777,72.923,72.582,59.82,127200,49.08794
2007-02-09,73.057,73.154,72.167,59.450001,122300,48.784317
2007-02-12,72.472,72.472,72.155,59.34,76900,48.694061
2007-02-13,72.411,72.862,72.387,59.790001,115400,49.063328
2007-02-14,72.996,73.435,72.935,60.18,104500,49.383362
2007-02-15,73.361,73.422,73.24,60.25,87500,49.440804
2007-02-16,73.288,73.398,73.118,60.23,133200,49.424389
2007-02-20,73.361,73.666,73.045,60.439999,148000,49.596718
2007-02-21,73.41,73.544,73.227,60.290001,85300,49.473618
2007-02-22,73.605,73.703,73.118,60.200001,139400,49.399765
2007-02-23,73.313,73.313,72.911,60,540200,49.235638
2007-02-26,73.386,73.483,72.874,60.029999,153400,49.260273
2007-02-27,72.313,72.326,69.767,58.029999,401800,47.619076
2007-02-28,71.01,71.448,70.437,58.279999,215900,47.824226
2007-03-01,69.949,71.253,68.231,58.130001,229300,47.701145
2007-03-02,70.68,70.863,69.925,57.400002,142400,47.102112
2007-03-05,69.34,70.022,69.096,56.709999,175300,46.5359
2007-03-06,69.84,70.388,69.584,57.639999,135400,47.299046
2007-03-07,70.254,70.741,70.035,57.59,149800,47.258011
2007-03-08,70.668,71.07,70.486,58.02,218600,47.610878
2007-03-09,71.095,71.107,70.498,58.09,133600,47.668324
2007-03-12,70.595,72.411,70.498,58.240002,238000,47.791401
2007-03-13,70.449,70.766,69.535,57.099998,334000,46.855919
2007-03-14,69.767,69.937,68.719,57.389999,189100,47.093887
2007-03-15,69.84,70.327,69.803,57.540001,112800,47.21698
