"Date","PRFZ.Open","PRFZ.High","PRFZ.Low","PRFZ.Close","PRFZ.Volume","PRFZ.Adjusted"
2007-01-03,61.578,61.701,60.691,54.16,10300,48.251438
2007-01-04,60.983,61.286,60.523,54.490002,14600,48.545441
2007-01-05,60.702,60.702,60.074,53.639999,21400,47.788174
2007-01-08,60.242,60.467,60.062,53.830002,7700,47.957447
2007-01-09,60.22,60.534,59.804,53.93,9800,48.046524
2007-01-10,60.006,60.511,60.006,53.869999,3800,47.993073
2007-01-11,60.927,61.286,60.927,54.509998,9200,48.563267
2007-01-12,61.252,61.578,61.252,54.720001,9700,48.750347
2007-01-16,61.724,61.836,61.331,54.709999,9800,48.741432
2007-01-17,61.409,61.679,61.342,54.650002,7000,48.687984
2007-01-18,61.308,61.308,60.612,54,10400,48.108906
2007-01-19,60.388,61.095,60.388,54.400002,14100,48.46526
2007-01-22,60.669,60.725,60.467,54.07,5700,48.171268
2007-01-23,60.579,62.442,60.568,54.529999,27200,48.581081
2007-01-24,61.387,61.802,61.353,55.060001,8700,49.053261
2007-01-25,61.69,61.69,60.904,54.34,15300,48.411797
2007-01-26,61.264,61.443,60.949,54.73,29500,48.759254
2007-01-29,61.387,61.892,61.387,54.990002,12600,48.990898
2007-01-30,61.746,62.016,61.701,55.240002,5200,49.213619
2007-01-31,61.982,62.498,61.735,55.470001,17600,49.418533
2007-02-01,62.521,62.779,62.442,55.93,13800,49.828362
2007-02-02,63.059,63.071,62.902,56.16,11800,50.033249
2007-02-05,63.003,63.127,62.723,55.900002,25400,49.80162
2007-02-06,63.037,63.104,62.723,56.18,14400,50.05106
2007-02-07,63.16,63.508,63.104,56.549999,15700,50.380707
2007-02-08,63.464,63.542,63.239,56.59,10400,50.41634
2007-02-09,63.609,63.677,62.723,56.02,17700,49.908531
2007-02-12,63.059,63.059,62.532,55.860001,8500,49.765984
2007-02-13,62.992,63.25,62.936,56.200001,14700,50.06889
2007-02-14,63.374,63.688,63.295,56.509998,34000,50.34507
2007-02-15,63.318,63.688,63.318,56.709999,15100,50.523239
2007-02-16,63.486,63.789,63.295,56.799999,18400,50.603416
2007-02-20,63.722,64.429,63.542,57.330002,19200,51.075603
2007-02-21,64.137,64.485,64.137,57.450001,14900,51.182526
2007-02-22,64.474,64.653,64.171,57.57,14000,51.289425
2007-02-23,64.395,64.552,64.171,57.470001,18900,51.20034
2007-02-26,64.642,64.687,63.845,57.189999,21200,50.950874
2007-02-27,63.104,63.419,61.701,55.240002,65800,49.213619
2007-02-28,61.971,63.789,61.252,55.310001,35800,49.275974
2007-03-01,63.407,63.407,60.758,55.299999,26200,49.267086
2007-03-02,61.825,61.825,60.96,54.310001,14600,48.385075
2007-03-05,60.332,61.028,59.849,53.32,26500,47.503075
2007-03-06,60.354,61.387,60.354,54.549999,15500,48.598892
2007-03-07,61.23,61.331,60.714,54.290001,39700,48.367256
2007-03-08,60.612,62.689,60.612,54.610001,12800,48.652351
2007-03-09,61.881,61.881,61.342,54.869999,15500,48.883984
2007-03-12,61.623,62.027,61.567,55.189999,20100,49.169079
2007-03-13,61.712,61.712,60.478,53.880001,17600,48.001999
2007-03-14,60.298,65.664,60.018,56.990002,18700,50.772705
2007-03-15,61.095,62.296,61.073,54.799999,19000,48.821621
2007-03-16,63.082,63.082,60.972,54.450001,11100,48.509792
2007-03-19,61.432,61.937,61.432,55.02,16300,49.044651
2007-03-20,61.791,62.217,61.667,55.459999,12300,49.436863
2007-03-21,62.262,63.372,62.251,56.34,14200,50.221275
2007-03-22,63.518,63.518,63.047,56.43,13000,50.301521
2007-03-23,63.417,64.82,63.305,56.77,97500,50.604588
2007-03-26,62.845,63.541,62.43,56.529999,32400,50.390652
2007-03-27,63.013,63.013,62.812,56.049999,7300,49.962776
2007-03-28,62.632,62.834,62.307,55.759998,8700,49.704285
2007-03-29,62.8,62.8,62.239,55.880001,9200,49.811249
2007-03-30,62.879,63.272,62.34,55.75,18300,49.695354
2007-04-02,62.946,62.946,62.61,56.099998,6200,50.007351
2007-04-03,63.058,63.709,63.058,56.689999,9000,50.533268
2007-04-04,63.832,63.832,63.384,56.610001,12900,50.461964
2007-04-05,63.664,63.743,63.496,56.799999,17400,50.631325
2007-04-09,64.337,64.337,63.518,56.700001,11700,50.542194
2007-04-10,63.765,63.911,63.675,56.93,85000,50.747192
2007-04-11,63.922,63.922,63.07,56.490002,14600,50.355
2007-04-12,63.372,63.832,63.114,56.869999,18800,50.693733
2007-04-13,64.068,64.203,63.788,57.23,52900,51.014633
2007-04-16,64.562,65.066,64.562,58,14400,51.701008
2007-04-17,65.066,65.167,64.898,57.93,13700,51.638611
2007-04-18,64.898,64.954,64.606,57.889999,7600,51.602955
2007-04-19,65.055,65.055,64.203,57.369999,13800,51.13942
2007-04-20,64.898,65.1,64.752,58,13900,51.701008
2007-04-23,65.111,65.257,64.764,57.98,108400,51.683189
2007-04-24,65.044,65.369,64.449,57.82,54600,51.540546
2007-04-25,65.291,65.549,64.954,58.240002,23800,51.914932
2007-04-26,65.324,65.582,64.999,58.459999,13100,52.111038
2007-04-27,65.683,65.683,64.977,58.139999,41300,51.825794
2007-04-30,65.246,65.246,64.034,57.080002,27900,50.880928
2007-05-01,63.978,64.326,63.642,57.23,45300,51.014633
2007-05-02,64.371,65.986,64.259,58.07,67200,51.763397
2007-05-03,65.224,66.054,64.988,58.169998,42200,51.852528
2007-05-04,65.358,65.425,65.111,58.200001,44200,51.879284
2007-05-07,65.582,66.48,65.257,58.299999,31500,51.96843
2007-05-08,65.089,65.369,64.595,58.220001,49900,51.897118
2007-05-09,65.089,65.84,65.033,58.619999,31100,52.253674
2007-05-10,65.392,65.392,64.506,57.509998,28200,51.264214
2007-05-11,64.887,65.336,64.775,58.240002,45900,51.914932
2007-05-14,65.313,65.313,64.663,57.700001,26200,51.433598
2007-05-15,64.842,65.28,64.27,57.439999,12900,51.20182
2007-05-16,64.898,64.898,64.034,57.630001,79500,51.371197
2007-05-17,64.663,64.73,64.337,57.630001,11400,51.371197
2007-05-18,64.573,65.201,64.382,57.98,115000,51.683189
2007-05-21,65.302,65.953,64.954,58.610001,9000,52.244759
2007-05-22,65.841,66.794,65.706,58.959999,59400,52.55674
2007-05-23,66.143,66.659,65.908,58.759998,40000,52.378479
2007-05-24,65.986,66.368,64.842,57.880001,85300,51.594036
2007-05-25,65.448,66.312,65.223,58.459999,49700,52.111038
2007-05-29,65.762,66.143,65.504,58.77,54100,52.387375
2007-05-30,65.594,66.502,65.448,59.279999,57500,52.841988
2007-05-31,66.783,66.873,66.57,59.5,14700,53.038105
2007-06-01,67.075,67.501,67.075,59.970001,67100,53.457058
2007-06-04,67.198,67.456,67.164,60.07,29900,53.546188
2007-06-05,67.321,67.321,66.693,59.639999,35000,53.162907
2007-06-06,66.323,66.39,66.099,59.130001,31700,52.708294
2007-06-07,66.188,66.188,65.123,58.09,96900,51.781223
2007-06-08,65.19,65.953,64.954,58.700001,71000,52.324982
2007-06-11,65.65,66.009,65.414,58.52,37500,52.164516
2007-06-12,65.526,65.717,64.909,57.939999,54400,51.647511
2007-06-13,65.066,65.874,65.066,58.5,8400,52.146713
2007-06-14,65.683,66.491,65.683,59.07,26800,52.654804
2007-06-15,67.612,67.612,66.593,59.599998,24600,53.233585
2007-06-18,66.761,66.806,66.37,59.57,35400,53.206791
2007-06-19,66.493,66.817,66.179,59.639999,25700,53.26931
2007-06-20,66.974,66.974,65.787,58.799999,45800,52.519043
2007-06-21,65.743,66.235,65.384,59.099998,33800,52.786987
2007-06-22,66.347,66.392,65.463,58.549999,40500,52.29575
2007-06-25,65.541,65.933,64.97,58.16,32500,51.947403
2007-06-26,65.821,65.821,64.78,58.080002,68100,51.875957
2007-06-27,64.735,65.821,64.567,58.790001,61800,52.510117
