"Date","PSK.Open","PSK.High","PSK.Low","PSK.Close","PSK.Volume","PSK.Adjusted"
2009-09-17,65.765,65.765,65.422,40.150002,0,24.572777
2009-09-18,65.896,65.896,65.439,40.279999,0,24.652332
2009-09-21,65.439,65.765,65.357,40.169998,0,24.585022
2009-09-22,66.321,66.321,65.602,40.419998,0,24.738028
2009-09-23,66.125,66.256,65.798,40.439999,0,24.750269
2009-09-24,66.125,66.174,65.994,40.5,0,24.786985
2009-09-25,66.092,67.53,65.961,41.25,0,25.246006
2009-09-28,67.563,67.563,66.713,40.84,0,24.995077
2009-09-29,67.138,67.138,66.419,40.740002,0,24.933867
2009-09-30,66.974,66.974,66.354,40.740002,0,24.933867
2009-10-01,66.566,66.566,66.354,40.709999,0,24.91551
2009-10-02,65.929,66.19,65.667,40.450001,0,24.756388
2009-10-05,66.501,66.501,65.912,40.639999,0,24.872665
2009-10-06,66.746,66.746,66.37,40.799999,38000,24.970594
2009-10-07,66.501,66.599,66.19,40.630001,14300,24.86655
2009-10-08,66.648,66.811,66.582,40.75,10600,24.939995
2009-10-09,66.68,66.697,66.582,40.82,5500,24.982834
2009-10-12,66.991,66.991,66.697,40.869999,8200,25.013437
2009-10-13,66.974,66.974,66.582,40.849998,17500,25.001198
2009-10-14,67.301,67.301,66.893,40.959999,27300,25.06852
2009-10-15,66.795,66.909,66.746,40.93,27300,25.05015
2009-10-16,66.697,66.713,66.468,40.830002,9700,24.988958
2009-10-19,66.713,66.762,66.68,40.830002,5500,24.988958
2009-10-20,66.991,66.991,66.664,40.810001,3500,24.976713
2009-10-21,66.876,66.876,66.762,40.860001,9600,25.007318
2009-10-22,66.778,66.795,66.648,40.869999,5800,25.013437
2009-10-23,66.746,66.795,66.68,40.869999,5300,25.013437
2009-10-26,66.697,66.746,66.566,40.740002,2900,24.933867
2009-10-27,66.582,66.582,66.158,40.59,6900,24.842066
2009-10-28,66.321,66.321,65.063,39.860001,7700,24.39529
2009-10-29,65.439,65.488,65.226,40.060001,11400,24.517698
2009-10-30,65.373,65.439,65.112,40.009998,8100,24.487093
2009-11-02,65.275,65.422,64.491,39.52,29400,24.187206
2009-11-03,64.295,64.295,63.429,39.18,5700,23.979116
2009-11-04,64.131,64.573,64.131,39.48,21700,24.162722
2009-11-05,64.393,64.654,64.393,39.5,14400,24.174963
2009-11-06,64.442,65.128,64.442,39.860001,9600,24.39529
2009-11-09,65.341,65.635,65.341,40.119999,7300,24.554417
2009-11-10,65.504,65.537,65.357,40.099998,13500,24.542175
2009-11-11,65.798,65.978,65.733,40.34,8000,24.689058
2009-11-12,65.847,65.847,65.537,40.150002,7200,24.572777
2009-11-13,65.863,65.978,65.749,40.330002,6500,24.682943
2009-11-16,66.354,66.354,65.88,40.380001,7300,24.713551
2009-11-17,65.929,65.929,65.831,40.310001,19400,24.670706
2009-11-18,65.929,65.929,65.847,40.330002,11400,24.682943
2009-11-19,65.945,65.945,65.651,40.23,8000,24.621738
2009-11-20,65.798,65.798,65.667,40.220001,2400,24.61562
2009-11-23,66.092,66.092,65.863,40.43,20800,24.744152
2009-11-24,65.994,66.125,65.961,40.470001,16700,24.768627
2009-11-25,66.059,66.223,66.027,40.450001,37800,24.756388
2009-11-27,65.128,65.553,65.128,40.09,9800,24.536055
2009-11-30,65.929,66.027,65.667,40.25,10000,24.633986
2009-12-01,65.749,66.092,65.242,40.439999,20400,24.750269
2009-12-02,66.043,66.354,66.043,40.610001,7000,24.854319
2009-12-03,66.844,66.958,66.746,40.93,3600,25.05015
2009-12-04,67.073,67.187,67.04,41.110001,9400,25.160318
2009-12-07,67.252,67.726,67.252,41.450001,5300,25.368414
2009-12-08,67.726,67.889,67.726,41.549999,16300,25.429615
2009-12-09,67.889,68.069,67.808,41.650002,6900,25.490818
2009-12-10,68.282,68.282,67.987,41.66,51200,25.496933
2009-12-11,68.184,68.282,68.151,41.740002,5800,25.545897
2009-12-14,68.233,68.347,68.135,41.759998,16700,25.558134
2009-12-15,68.118,68.331,68.118,41.82,5200,25.594858
2009-12-16,68.543,68.543,68.412,41.889999,9700,25.637699
2009-12-17,68.265,68.396,68.265,41.860001,9000,25.619341
2009-12-18,65.72,65.72,65.464,41.080002,13100,25.678099
2009-12-21,65.72,66.056,65.72,41.27,4600,25.796867
2009-12-22,66.152,66.152,66.008,41.310001,26100,25.821863
2009-12-23,66.152,66.296,66.152,41.439999,12500,25.903133
2009-12-24,66.328,66.504,66.328,41.57,4000,25.984385
2009-12-28,66.568,69.224,66.408,41.580002,11600,25.990644
2009-12-29,66.52,66.52,66.312,41.470001,18600,25.921885
2009-12-30,66.376,66.52,66.312,41.580002,3100,25.990644
2009-12-31,66.552,66.616,66.472,41.549999,13200,25.971882
2010-01-04,66.712,66.76,66.6,41.720001,10400,26.078148
2010-01-05,66.744,67.16,66.648,41.900002,63400,26.190664
2010-01-06,67.96,67.992,67.128,42.029999,15500,26.271923
2010-01-07,67.352,67.352,67.24,42.09,30700,26.309431
2010-01-08,67.448,67.448,67.352,42.130001,15700,26.334421
2010-01-11,67.544,67.64,67.512,42.279999,7500,26.42819
2010-01-12,67.608,67.672,67.512,42.299999,17700,26.440697
2010-01-13,67.736,67.848,67.688,42.41,11800,26.509443
2010-01-14,67.832,68.264,67.816,42.560001,6900,26.60321
2010-01-15,67.944,68.104,67.192,42.57,52200,26.609465
2010-01-19,68.024,68.056,67.928,42.540001,27100,26.590704
2010-01-20,67.992,68.056,67.928,42.540001,16200,26.590704
2010-01-21,68.12,68.12,67.688,42.380001,20900,26.490696
2010-01-22,67.656,67.656,67.192,42.02,10600,26.265663
2010-01-25,67.864,67.864,67.112,42.07,10500,26.296925
2010-01-26,67.24,67.448,67.176,42.09,18500,26.309431
2010-01-27,67.256,67.272,67.048,41.990002,12500,26.24692
2010-01-28,67.336,67.336,66.984,41.939999,8000,26.215668
2010-01-29,67.208,67.24,66.84,41.779999,18500,26.115652
2010-02-01,67.272,67.384,66.984,42.119999,25800,26.328176
2010-02-02,67.656,67.656,67.336,42.259998,15600,26.415686
2010-02-03,67.64,67.656,67.512,42.290001,14500,26.434443
2010-02-04,67.464,67.48,67.128,41.970001,17900,26.234413
2010-02-05,67.24,67.416,66.424,41.610001,34100,26.009388
2010-02-08,66.52,66.76,66.52,41.689999,10900,26.059395
2010-02-09,67.016,67.016,66.712,41.860001,27500,26.165659
2010-02-10,67.112,67.144,66.776,41.880001,63400,26.17816
2010-02-11,67.192,67.224,67.096,42.02,12300,26.265663
2010-02-12,67.016,67.192,67.016,41.950001,17000,26.221918
2010-02-16,67.352,67.64,67.32,42.23,62200,26.396938
2010-02-17,67.768,67.944,67.576,42.470001,42800,26.546953
2010-02-18,67.912,68.2,67.912,42.59,19400,26.621971
2010-02-19,68.072,68.28,68.024,42.68,21200,26.678221
2010-02-22,68.472,68.472,68.312,42.77,9100,26.734478
2010-02-23,69.432,69.432,68.312,42.799999,11500,26.753223
2010-02-24,68.792,68.792,68.472,42.919998,33400,26.828234
2010-02-25,68.456,68.696,68.328,42.939999,49500,26.840736
