"Date","PXF.Open","PXF.High","PXF.Low","PXF.Close","PXF.Volume","PXF.Adjusted"
2007-06-25,64.608,65.052,64.399,49.369999,8300,37.848125
2007-06-26,64.778,64.869,64.569,49.509998,10600,37.955448
2007-06-27,64.647,65.026,64.608,49.849998,6500,38.216091
2007-06-28,65.13,65.43,65.13,50.009998,8100,38.338764
2007-06-29,66.539,66.539,65.417,50.189999,3000,38.476753
2007-07-02,66.147,66.265,66.147,50.799999,10500,38.944397
2007-07-03,67.217,67.217,67.191,51.509998,600,39.488693
2007-07-05,67.113,67.113,66.787,51.25,36400,39.289375
2007-07-06,66.539,66.63,65.978,51,8900,39.097713
2007-07-09,66.695,66.695,66.526,51,4000,39.097713
2007-07-10,66.513,66.617,66.382,50.939999,2100,39.051704
2007-07-11,66.682,66.734,66.682,51.16,700,39.220375
2007-07-12,67.243,67.713,67.243,51.91,3000,39.795345
2007-07-13,67.582,68.234,67.543,51.990002,23800,39.85667
2007-07-16,67.817,67.83,67.543,51.779999,3000,39.695679
2007-07-17,68.417,68.417,67.36,51.639999,3900,39.588345
2007-07-18,66.917,67.191,66.826,51.509998,10200,39.488693
2007-07-19,67.791,67.791,67.608,51.939999,10600,39.818336
2007-07-20,67.687,67.687,67.087,51.509998,2100,39.488693
2007-07-23,67.608,67.713,67.465,51.810001,5600,39.718689
2007-07-24,67.06,67.687,66.734,51.25,72000,39.289375
2007-07-25,66.956,66.956,66.526,51.27,1900,39.30471
2007-07-26,69.108,69.108,64.282,49.470001,16200,37.924782
2007-07-27,67.83,67.83,64.152,49.18,2200,37.702465
2007-07-30,69.108,69.134,64.66,49.950001,4600,38.292755
2007-07-31,65.456,65.639,64.986,49.82,4300,38.193108
2007-08-01,66.265,66.265,64.178,49.200001,6800,37.717793
2007-08-02,64.66,64.882,64.478,49.740002,3000,38.131771
2007-08-03,67.804,67.804,63.617,48.849998,6700,37.449486
2007-08-06,62.508,64.36,62.286,49.299999,7700,37.794456
2007-08-07,64.595,64.595,64.36,49.34,600,37.825115
2007-08-08,65.247,65.247,64.712,49.610001,500,38.032108
2007-08-09,63.643,66.004,63.434,48.630001,10300,37.280827
2007-08-10,62.651,65.208,56.116,48.279999,7300,37.012512
2007-08-13,63.539,63.539,63.069,48.349998,4500,37.066162
2007-08-14,63.069,63.069,62.221,47.700001,3200,36.56786
2007-08-15,61.295,61.986,60.904,46.689999,3800,35.793571
2007-08-16,60.33,60.525,59.873,46.130001,6000,35.364269
2007-08-17,61.504,61.869,60.786,47.419998,24500,36.35321
2007-08-20,61.504,63.917,60.917,47.400002,31800,36.337883
2007-08-21,61.282,61.53,61.177,46.990002,5300,36.02356
2007-08-22,62.221,62.612,62.221,48,1600,36.797859
2007-08-23,62.599,62.925,62.56,48.110001,8000,36.882168
2007-08-24,62.495,63.108,62.495,48.380001,2800,37.089172
2007-08-27,63.669,63.669,63.265,48.529999,5700,37.204151
2007-08-28,62.678,62.678,62.091,47.599998,4300,36.491196
2007-08-29,62.795,63.291,62.795,48.52,5400,37.196495
2007-08-30,62.612,63.317,62.612,48.459999,5100,37.15049
2007-08-31,64.191,64.478,63.995,49.43,5300,37.894115
2007-09-04,64.112,64.699,64.112,49.599998,14000,38.024445
2007-09-05,63.421,63.773,63.16,48.610001,11400,37.265491
2007-09-06,63.539,64.243,63.33,48.73,2500,37.357471
2007-09-07,63.108,63.343,62.886,48.439999,5000,37.135162
2007-09-10,63.304,63.786,63.304,48.610001,2600,37.265491
2007-09-11,63.538,63.734,63.538,48.779999,4500,37.395817
2007-09-12,63.617,63.76,63.395,48.779999,3200,37.395817
2007-09-13,63.63,64.465,63.63,49.200001,10100,37.717793
2007-09-14,63.265,63.682,63.265,48.82,7000,37.426479
2007-09-17,63.238,63.33,62.743,48.380001,19100,37.089172
2007-09-18,63.265,64.66,63.121,49.57,17000,38.001446
2007-09-19,65.56,65.56,64.765,49.790001,10500,38.170105
2007-09-20,66.447,66.447,64.908,49.84,4500,38.208439
2007-09-21,66.326,66.339,65.739,50.779999,1900,38.939205
2007-09-24,65.843,65.961,65.843,50.529999,1800,38.747505
2007-09-25,64.396,64.67,63.718,49.200001,5900,37.727646
2007-09-26,65.752,65.921,65.752,50.52,1600,38.739838
2007-09-27,66.508,66.626,66.326,50.860001,6700,39.000565
2007-09-28,68.138,68.138,66.482,50.98,2800,39.092575
2007-10-01,66.899,67.317,66.899,51.619999,3400,39.583347
2007-10-02,66.573,67.343,66.573,51.639999,6500,39.598694
2007-10-03,66.991,66.991,66.443,51.119999,9200,39.199932
2007-10-04,66.6,66.6,66.56,51.040001,1100,39.138588
2007-10-05,67.46,67.499,67.186,51.759998,3900,39.690708
2007-10-08,67.043,67.121,66.899,51.459999,1300,39.460655
2007-10-09,67.121,67.76,67.03,51.810001,11700,39.729046
2007-10-10,67.656,67.656,67.473,51.869999,5700,39.775047
2007-10-11,70.121,70.121,67.721,52.110001,10300,39.959084
2007-10-12,67.565,68.269,67.565,52.259998,3200,40.074116
2007-10-15,67.904,67.904,67.721,51.93,300,39.82106
2007-10-16,67.382,67.512,67.03,51.400002,10700,39.414639
