"Date","PXH.Open","PXH.High","PXH.Low","PXH.Close","PXH.Volume","PXH.Adjusted"
2007-09-28,32.29,32.315,31.774,25.889999,31200,21.047056
2007-10-01,32.204,32.917,32.192,26.690001,44200,21.697414
2007-10-02,33.2,33.828,33.2,27.33,36400,22.217695
2007-10-03,33.545,33.619,33.016,26.92,65800,21.884386
2007-10-04,33.127,33.127,32.425,26.5,36000,21.54295
2007-10-05,32.967,33.41,32.917,27.129999,19500,22.055107
2007-10-08,33.52,33.52,32.954,27.200001,28800,22.112017
2007-10-09,33.323,33.582,33.262,27.299999,47600,22.193308
2007-10-10,33.434,33.582,33.323,27.299999,26100,22.193308
2007-10-11,33.988,34.197,33.926,27.6,47800,22.437187
2007-10-12,34.111,34.32,34.037,27.9,42100,22.681068
2007-10-15,34.541,34.566,34.135,27.84,34200,22.632299
2007-10-16,33.815,33.828,33.151,27,29600,21.949425
2007-10-17,32.881,33.004,32.77,26.82,57500,21.803097
2007-10-18,33.151,33.274,32.979,27.049999,66400,21.99007
2007-10-19,33.065,33.09,32.143,26.200001,17500,21.29907
2007-10-22,32.167,32.598,32.007,26.5,55700,21.54295
2007-10-23,33.262,33.582,33.213,27.299999,32100,22.193308
2007-10-24,33.545,33.545,33.004,27.200001,15800,22.112017
2007-10-25,33.287,33.287,33.114,27,19300,21.949425
2007-10-26,34.037,34.504,34.025,28.040001,88200,22.794888
2007-10-29,35.082,35.242,34.75,28.559999,24700,23.217611
2007-10-30,35.156,35.156,34.898,28.440001,11400,23.12006
2007-10-31,34.861,35.181,34.689,28.389999,60100,23.079412
2007-11-01,34.504,34.504,33.606,27.32,31300,22.209562
2007-11-02,33.803,33.889,33.225,27.35,22700,22.233953
2007-11-05,32.167,32.229,31.663,26,75200,21.136482
2007-11-06,32.819,33.336,32.782,27.1,32700,22.030716
2007-11-07,33.385,34.32,32.856,26.709999,21900,21.713675
2007-11-08,32.352,32.548,30.716,26.190001,47900,21.290941
2007-11-09,32.216,32.216,31.712,26,15500,21.136482
2007-11-12,30.383,31.306,30.371,24.83,50400,20.185343
2007-11-13,30.753,31.306,30.703,25.32,44600,20.583685
2007-11-14,31.933,32.106,31.503,25.610001,52500,20.819433
2007-11-15,32.598,32.831,32.352,26.35,24100,21.421011
2007-11-16,32.401,32.45,31.737,26.02,20500,21.15274
2007-11-19,31.946,31.97,30.925,25.26,12000,20.534903
2007-11-20,31.614,31.983,31.281,25.77,8700,20.949507
2007-11-21,30.753,30.863,30.137,24.67,17400,20.055269
2007-11-23,30.962,31.134,30.642,25.309999,16700,20.575548
2007-11-26,31.491,31.491,30.47,24.77,16100,20.136564
2007-11-27,30.605,31.085,30.457,25.129999,22200,20.429224
2007-11-28,31.54,32.229,31.245,26.040001,12500,21.169001
2007-11-29,32.327,33.139,32.093,26.35,35700,21.421011
2007-11-30,32.696,32.721,32.475,26.48,17800,21.52669
2007-12-03,32.721,32.721,32.253,26.27,32400,21.355976
2007-12-04,33.742,33.742,32.204,26.18,30000,21.282808
2007-12-05,32.954,33.459,32.905,27.200001,63500,22.112017
2007-12-06,33.545,33.766,33.422,27.440001,56000,22.307123
2007-12-07,34.049,34.074,33.496,27.23,12500,22.136396
2007-12-10,33.668,33.914,33.533,27.57,10500,22.412809
2007-12-11,33.988,34.111,32.708,26.6,46000,21.624249
2007-12-12,33.791,33.938,33.114,27.18,16800,22.095757
2007-12-13,32.954,32.967,32.29,26.440001,26300,21.494175
2007-12-14,32.216,32.216,31.884,26.040001,29500,21.169001
2007-12-17,31.614,31.614,30.753,25.049999,30600,20.364187
2007-12-18,31.22,31.245,30.543,25.33,114200,20.591818
2007-12-19,31.737,32.02,31.675,25.969999,27000,21.112091
2007-12-20,31.946,31.946,31.687,25.959999,37800,21.103968
2007-12-21,31.963,32.245,31.841,26.129999,45200,21.336683
2007-12-24,32.392,32.821,32.355,26.76,66400,21.85112
2007-12-26,31.008,32.392,30.763,25.719999,15100,21.001896
2007-12-27,31.486,32.343,31.216,26.41,34500,21.565321
2007-12-28,32.025,32.245,31.755,26.129999,39200,21.336683
2007-12-31,32.257,32.257,31.706,26.040001,9500,21.263195
2008-01-02,32.343,32.343,31.057,25.48,18900,20.805922
2008-01-03,31.78,31.78,31.216,25.629999,23400,20.928402
2008-01-04,31.535,31.645,30.359,25,31000,20.413975
2008-01-07,30.739,30.739,30.457,25.01,12300,20.422136
2008-01-08,31.008,31.02,30.616,25.040001,10600,20.44664
2008-01-09,31.106,31.351,30.616,25.6,41600,20.903906
2008-01-10,31.29,31.78,30.947,25.870001,52300,21.124378
2008-01-11,31.388,31.498,30.31,25.030001,68600,20.438473
2008-01-14,31.167,31.167,30.457,25.16,17800,20.544619
2008-01-15,30.641,30.91,30.028,24.629999,41000,20.111851
2008-01-16,29.943,30.114,28.779,23.83,45700,19.45859
2008-01-17,29.698,29.698,28.142,23.16,60800,18.911509
2008-01-18,29.012,29.294,28.167,23.129999,81600,18.887003
2008-01-22,27.334,28.167,26.808,22.540001,82000,18.405235
2008-01-23,27.996,28.204,25.534,23.030001,57600,18.805355
2008-01-24,28.338,28.779,28.167,23.26,16600,18.993158
2008-01-25,29.061,29.759,28.045,23.07,43400,18.838015
2008-01-28,28.473,28.694,27.726,23.43,132000,19.131975
2008-01-29,28.902,30.898,28.547,23.74,244000,19.385103
2008-01-30,28.694,29.379,28.387,23.24,33800,18.97683
2008-01-31,28.253,28.534,27.922,23.280001,32500,19.009489
2008-02-01,29.049,29.698,28.828,24.25,50300,19.801561
2008-02-04,30.604,30.604,29.563,24.139999,641000,19.711727
2008-02-05,29.735,29.735,28.265,23.110001,24600,18.870678
2008-02-06,28.289,28.779,27.689,22.610001,12300,18.462399
2008-02-07,27.849,28.093,27.555,22.799999,25300,18.617546
2008-02-08,28.155,28.216,27.763,22.9,60500,18.699194
2008-02-11,30.2,30.2,27.726,23.08,19300,18.84618
2008-02-12,28.718,29.183,28.547,23.469999,23200,19.164633
2008-02-13,29.098,29.232,28.767,23.85,46300,19.474932
2008-02-14,29.637,29.637,28.89,23.65,16900,19.311617
2008-02-15,29.392,29.392,28.73,23.6,18300,19.270788
2008-02-19,29.392,29.722,29.281,23.91,11400,19.52392
2008-02-20,28.951,29.673,28.89,24.1,17800,19.679071
2008-02-21,29.882,29.882,29.134,23.790001,8300,19.425932
2008-02-22,29.82,29.82,29,23.83,78200,19.45859
2008-02-25,29.82,30.494,29.661,24.879999,25400,20.315979
2008-02-26,29.833,30.788,29.833,25.1,25100,20.495623
2008-02-27,30.335,31.118,30.335,25.299999,22300,20.658934
