"Date","SCHA.Open","SCHA.High","SCHA.Low","SCHA.Close","SCHA.Volume","SCHA.Adjusted"
2009-11-03,26.801,27.603,24.182,24.59,54900,22.066063
2009-11-04,27.692,27.804,27.113,24.379999,116800,21.877619
2009-11-05,27.492,27.915,27.38,25.02,35700,22.451933
2009-11-06,27.637,28.116,27.559,25.049999,87100,22.478849
2009-11-09,28.584,28.584,28.194,25.620001,95200,22.990347
2009-11-10,28.55,28.662,28.172,25.48,146200,22.864712
2009-11-11,28.662,28.907,28.472,25.709999,82500,23.071108
2009-11-12,28.729,28.84,28.116,25.27,70500,22.676268
2009-11-13,28.339,28.517,27.96,25.48,104600,22.864712
2009-11-16,28.628,29.253,28.628,26.110001,83100,23.430048
2009-11-17,28.996,29.152,28.829,26.09,93400,23.412102
2009-11-18,29.152,29.152,28.762,26.030001,135200,23.358259
2009-11-19,28.762,28.762,28.127,25.440001,104300,22.828815
2009-11-20,28.116,28.316,28.016,25.299999,84500,22.703186
2009-11-23,28.617,28.952,28.484,25.629999,147300,22.99931
2009-11-24,28.651,28.662,28.138,25.52,79400,22.900606
2009-11-25,28.617,28.64,28.461,25.57,92900,22.945475
2009-11-27,27.492,28.194,27.391,25.030001,129400,22.460901
2009-11-30,27.793,27.982,27.492,25.110001,137700,22.532692
2009-12-01,28.294,28.506,28.194,25.49,158100,22.873688
2009-12-02,28.439,28.896,28.439,25.75,68400,23.107002
2009-12-03,28.874,28.985,28.372,25.48,56800,22.864712
2009-12-04,28.996,29.197,28.472,26.030001,214000,23.358259
2009-12-07,29.018,29.163,28.874,26.040001,89800,23.367231
2009-12-08,28.84,28.985,28.528,25.83,185100,23.178785
2009-12-09,28.862,28.862,28.484,25.790001,165800,23.142895
2009-12-10,28.974,28.974,28.562,25.77,109400,23.124949
2009-12-11,28.907,28.996,28.673,25.98,43700,23.313391
2009-12-14,29.253,29.431,28.918,26.4,1e+05,23.690281
2009-12-15,29.386,29.587,29.275,26.33,53400,23.627468
2009-12-16,29.587,29.665,29.409,26.549999,110100,23.824884
2009-12-17,29.431,29.453,29.096,26.24,128200,23.546703
2009-12-18,29.52,29.52,29.119,26.459999,106800,23.744125
2009-12-21,29.721,29.921,29.687,26.83,111200,24.076145
2009-12-22,29.966,30.244,29.888,27.139999,155300,24.354326
2009-12-23,30.3,30.411,30.077,27.32,155500,24.570175
2009-12-24,30.522,30.533,30.444,27.450001,123000,24.687086
2009-12-28,30.667,30.667,30.366,27.4,143000,24.642118
2009-12-29,30.544,30.578,30.422,27.379999,188400,24.62413
2009-12-30,30.355,30.5,30.2,27.35,201900,24.597149
2009-12-31,30.467,30.533,29.977,26.959999,175900,24.246403
2010-01-04,30.478,30.722,30.378,27.58,193300,24.804001
2010-01-05,30.722,30.845,30.567,27.66,191100,24.875954
2010-01-06,30.789,30.911,30.745,27.700001,124400,24.911928
2010-01-07,30.856,31.045,30.578,27.91,141700,25.100786
2010-01-08,30.945,31.189,30.856,28.049999,119700,25.22669
2010-01-11,31.367,31.389,31.022,28,220100,25.181725
2010-01-12,30.922,30.989,30.589,27.620001,199700,24.839979
2010-01-13,30.833,31.134,30.522,27.959999,114100,25.145752
2010-01-14,31.022,31.256,30.956,28.059999,95000,25.235689
2010-01-15,31.212,31.245,30.622,27.690001,162100,24.902931
2010-01-19,30.911,31.256,30.878,28.1,244500,25.27166
2010-01-20,31.078,31.078,30.578,27.84,248200,25.037838
2010-01-21,30.989,31.145,30.311,27.34,124100,24.588158
2010-01-22,30.389,30.455,29.677,26.77,123800,24.075527
2010-01-25,29.988,30.011,29.644,26.83,112100,24.12949
2010-01-26,29.766,30.022,29.566,26.67,128700,23.985598
2010-01-27,29.555,29.899,29.355,26.860001,85600,24.156471
2010-01-28,29.966,29.966,29.154,26.43,114100,23.769751
2010-01-29,29.566,29.833,29.01,26.200001,73800,23.562908
2010-02-01,29.221,29.499,29.177,26.52,149200,23.850693
2010-02-02,29.577,29.922,29.455,26.879999,93200,24.174454
2010-02-03,29.788,29.911,29.477,26.68,75400,23.994585
2010-02-04,29.477,29.477,28.599,25.75,122300,23.158197
2010-02-05,28.71,28.71,28.076,25.82,253200,23.221153
2010-02-08,28.632,28.921,28.421,25.559999,169000,22.987318
2010-02-09,28.832,28.988,28.521,25.940001,143900,23.329073
2010-02-10,28.799,28.965,28.498,25.940001,87000,23.329073
2010-02-11,28.865,29.355,28.632,26.389999,70200,23.733778
2010-02-12,29.099,29.533,28.988,26.549999,107900,23.87767
2010-02-16,29.899,30.1,29.644,27.059999,76100,24.336346
2010-02-17,30.233,30.378,30.111,27.24,84700,24.498224
2010-02-18,30.311,30.533,30.244,27.450001,119700,24.687086
2010-02-19,30.433,30.733,30.389,27.52,90800,24.750042
2010-02-22,30.756,30.778,30.6,27.549999,139200,24.777023
