"Date","SCHC.Open","SCHC.High","SCHC.Low","SCHC.Close","SCHC.Volume","SCHC.Adjusted"
2010-01-14,30.624,30.745,30.492,25.48,72300,21.141579
2010-01-15,30.636,30.636,30.203,25.16,71700,20.876066
2010-01-19,30.251,30.624,30.251,25.379999,155400,21.058607
2010-01-20,30.106,30.106,29.684,24.85,125000,20.618851
2010-01-21,29.841,29.865,29.094,24.26,63800,20.129307
2010-01-22,29.13,29.25,28.563,23.700001,51000,19.664658
2010-01-25,29.214,29.238,28.925,24.120001,54900,20.013145
2010-01-26,28.768,28.985,28.624,23.780001,18100,19.731035
2010-01-27,28.72,28.78,28.431,23.879999,15100,19.814007
2010-01-28,28.684,28.684,28.322,23.59,24400,19.573387
2010-01-29,28.527,28.563,27.973,23.26,27600,19.299576
2010-02-01,28.431,28.636,28.359,23.76,33900,19.714441
2010-02-02,28.925,29.178,28.756,24.200001,55500,20.079525
2010-02-03,29.009,29.757,28.804,23.98,12200,19.896982
2010-02-04,28.491,28.491,27.768,23.07,55500,19.141926
2010-02-05,27.599,27.599,26.816,22.719999,40900,18.851521
2010-02-08,27.406,27.515,26.973,22.379999,53800,18.56941
2010-02-09,27.66,27.949,27.382,23.1,19600,19.166817
2010-02-10,27.804,27.852,27.467,23.02,43000,19.100439
2010-02-11,27.816,28.238,27.623,23.34,135300,19.365953
2010-02-12,27.696,27.852,27.491,23.1,21700,19.166817
2010-02-16,28.033,28.744,27.913,23.52,127000,19.515305
2010-02-17,28.551,28.551,28.31,23.57,47300,19.556789
2010-02-18,28.395,28.612,28.322,23.73,14100,19.689548
2010-02-19,28.274,28.419,28.033,23.559999,28200,19.548496
2010-02-22,28.648,28.648,28.371,23.620001,9800,19.59828
2010-02-23,28.407,28.407,27.973,23.23,19400,19.274681
2010-02-24,28.142,28.25,28.021,23.299999,6900,19.332764
2010-02-25,27.72,27.997,27.539,23.200001,28000,19.249792
2010-02-26,28.033,28.238,28.021,23.43,6600,19.44063
2010-03-01,28.31,28.479,28.238,23.620001,34000,19.59828
2010-03-02,28.756,28.877,28.588,23.82,29800,19.764225
2010-03-03,29.046,29.226,28.949,24.1,31200,19.99655
2010-03-04,29.178,29.178,28.877,24.08,53100,19.979958
2010-03-05,29.323,29.54,29.226,24.48,32500,20.311848
2010-03-08,29.636,29.648,29.419,24.48,41800,20.311848
2010-03-09,29.311,29.552,29.154,24.41,29600,20.253769
2010-03-10,29.516,29.732,29.491,24.57,19300,20.386524
2010-03-11,29.66,29.757,29.431,24.66,84500,20.461199
2010-03-12,30.034,30.034,29.829,24.85,24000,20.618851
2010-03-15,29.913,29.913,29.588,24.75,36300,20.535873
