"Date","SCHD.Open","SCHD.High","SCHD.Low","SCHD.Close","SCHD.Volume","SCHD.Adjusted"
2014-12-19,42.837,42.89,42.572,40.349998,481600,38.054546
2014-12-22,NA,NA,NA,0,NA,0
2014-12-23,NA,NA,NA,0,NA,0
2014-12-24,NA,NA,NA,0,NA,0
2014-12-26,NA,NA,NA,0,NA,0
2014-12-29,NA,NA,NA,0,NA,0
2014-12-30,NA,NA,NA,0,NA,0
2014-12-31,NA,NA,NA,0,NA,0
2015-01-02,NA,NA,NA,0,NA,0
2015-01-05,NA,NA,NA,0,NA,0
2015-01-06,NA,NA,NA,0,NA,0
2015-01-07,NA,NA,NA,0,NA,0
2015-01-08,NA,NA,NA,0,NA,0
2015-01-09,42.387,42.408,41.871,39.889999,1240800,37.87888
2015-01-12,NA,NA,NA,0,NA,0
2015-01-13,NA,NA,NA,0,NA,0
2015-01-14,41.25,41.534,41.081,39.389999,924400,37.404087
2015-01-15,NA,NA,NA,0,NA,0
2015-01-16,NA,NA,NA,0,NA,0
2015-01-20,NA,NA,NA,0,NA,0
2015-01-21,NA,NA,NA,0,NA,0
2015-01-22,NA,NA,NA,0,NA,0
2015-01-23,NA,NA,NA,0,NA,0
2015-01-26,NA,NA,NA,0,NA,0
2015-01-27,NA,NA,NA,0,NA,0
2015-01-28,NA,NA,NA,0,NA,0
2015-01-29,NA,NA,NA,0,NA,0
2015-01-30,NA,NA,NA,0,NA,0
2015-02-02,NA,NA,NA,0,NA,0
2015-02-03,NA,NA,NA,0,NA,0
2015-02-04,NA,NA,NA,0,NA,0
2015-02-05,NA,NA,NA,0,NA,0
2015-02-06,NA,NA,NA,0,NA,0
2015-02-09,NA,NA,NA,0,NA,0
2015-02-10,NA,NA,NA,0,NA,0
2015-02-11,NA,NA,NA,0,NA,0
2015-02-12,NA,NA,NA,0,NA,0
2015-02-13,NA,NA,NA,0,NA,0
2015-02-17,NA,NA,NA,0,NA,0
2015-02-18,NA,NA,NA,0,NA,0
2015-02-19,NA,NA,NA,0,NA,0
2015-02-20,42.566,42.819,42.366,40.650002,374100,38.600555
2015-02-23,NA,NA,NA,0,NA,0
2015-02-24,NA,NA,NA,0,NA,0
2015-02-25,NA,NA,NA,0,NA,0
2015-02-26,NA,NA,NA,0,NA,0
2015-02-27,NA,NA,NA,0,NA,0
2015-03-02,NA,NA,NA,0,NA,0
2015-03-03,NA,NA,NA,0,NA,0
2015-03-04,NA,NA,NA,0,NA,0
2015-03-05,NA,NA,NA,0,NA,0
2015-03-06,NA,NA,NA,0,NA,0
2015-03-09,NA,NA,NA,0,NA,0
2015-03-10,NA,NA,NA,0,NA,0
2015-03-11,NA,NA,NA,0,NA,0
2015-03-12,NA,NA,NA,0,NA,0
2015-03-13,NA,NA,NA,0,NA,0
2015-03-16,NA,NA,NA,0,NA,0
2015-03-17,NA,NA,NA,0,NA,0
2015-03-18,NA,NA,NA,0,NA,0
2015-03-19,NA,NA,NA,0,NA,0
2015-03-20,NA,NA,NA,0,NA,0
2015-03-23,NA,NA,NA,0,NA,0
2015-03-24,NA,NA,NA,0,NA,0
2015-03-25,NA,NA,NA,0,NA,0
2015-03-26,NA,NA,NA,0,NA,0
2015-03-27,NA,NA,NA,0,NA,0
2015-03-30,NA,NA,NA,0,NA,0
2015-03-31,41.639,41.787,41.481,39.41,398700,37.423077
2015-04-01,NA,NA,NA,0,NA,0
2015-04-02,NA,NA,NA,0,NA,0
2015-04-06,NA,NA,NA,0,NA,0
2015-04-07,NA,NA,NA,0,NA,0
2015-04-08,NA,NA,NA,0,NA,0
2015-04-09,NA,NA,NA,0,NA,0
2015-04-10,NA,NA,NA,0,NA,0
2015-04-13,NA,NA,NA,0,NA,0
2015-04-14,NA,NA,NA,0,NA,0
2015-04-15,NA,NA,NA,0,NA,0
2015-04-16,NA,NA,NA,0,NA,0
2015-04-17,NA,NA,NA,0,NA,0
2015-04-20,NA,NA,NA,0,NA,0
2015-04-21,NA,NA,NA,0,NA,0
2015-04-22,NA,NA,NA,0,NA,0
2015-04-23,NA,NA,NA,0,NA,0
2015-04-24,NA,NA,NA,0,NA,0
2015-04-27,NA,NA,NA,0,NA,0
2015-04-28,NA,NA,NA,0,NA,0
2015-04-29,NA,NA,NA,0,NA,0
2015-04-30,NA,NA,NA,0,NA,0
2015-05-01,NA,NA,NA,0,NA,0
2015-05-04,NA,NA,NA,0,NA,0
2015-05-05,NA,NA,NA,0,NA,0
2015-05-06,NA,NA,NA,0,NA,0
2015-05-07,NA,NA,NA,0,NA,0
2015-05-08,NA,NA,NA,0,NA,0
2015-05-11,NA,NA,NA,0,NA,0
2015-05-12,NA,NA,NA,0,NA,0
2015-05-13,NA,NA,NA,0,NA,0
2015-05-14,NA,NA,NA,0,NA,0
2015-05-15,NA,NA,NA,0,NA,0
2015-05-18,NA,NA,NA,0,NA,0
2015-05-19,NA,NA,NA,0,NA,0
2015-05-20,NA,NA,NA,0,NA,0
2015-05-21,NA,NA,NA,0,NA,0
2015-05-22,NA,NA,NA,0,NA,0
2015-05-26,NA,NA,NA,0,NA,0
2015-05-27,NA,NA,NA,0,NA,0
2015-05-28,NA,NA,NA,0,NA,0
2015-05-29,NA,NA,NA,0,NA,0
2015-06-01,NA,NA,NA,0,NA,0
2015-06-02,NA,NA,NA,0,NA,0
2015-06-03,NA,NA,NA,0,NA,0
2015-06-04,NA,NA,NA,0,NA,0
2015-06-05,NA,NA,NA,0,NA,0
2015-06-08,NA,NA,NA,0,NA,0
2015-06-09,41.113,41.26,41.039,39.060001,270100,37.090729
2015-06-10,NA,NA,NA,0,NA,0
2015-06-11,NA,NA,NA,0,NA,0
2015-06-12,NA,NA,NA,0,NA,0
2015-06-15,NA,NA,NA,0,NA,0
2015-06-16,NA,NA,NA,0,NA,0
2015-06-17,NA,NA,NA,0,NA,0
2015-06-18,NA,NA,NA,0,NA,0
2015-06-19,NA,NA,NA,0,NA,0
2015-06-22,NA,NA,NA,0,NA,0
2015-06-23,NA,NA,NA,0,NA,0
2015-06-24,41.502,41.534,41.25,39.169998,263100,37.195179
2015-06-25,NA,NA,NA,0,NA,0
2015-06-26,NA,NA,NA,0,NA,0
2015-06-29,NA,NA,NA,0,NA,0
2015-06-30,NA,NA,NA,0,NA,0
2015-07-01,NA,NA,NA,0,NA,0
2015-07-02,NA,NA,NA,0,NA,0
2015-07-06,NA,NA,NA,0,NA,0
2015-07-07,NA,NA,NA,0,NA,0
2015-07-08,NA,NA,NA,0,NA,0
2015-07-09,40.755,40.86,40.312,38.279999,395400,36.350048
2015-07-10,NA,NA,NA,0,NA,0
2015-07-13,NA,NA,NA,0,NA,0
2015-07-14,NA,NA,NA,0,NA,0
2015-07-15,NA,NA,NA,0,NA,0
2015-07-16,NA,NA,NA,0,NA,0
2015-07-17,NA,NA,NA,0,NA,0
2015-07-20,NA,NA,NA,0,NA,0
2015-07-21,NA,NA,NA,0,NA,0
2015-07-22,NA,NA,NA,0,NA,0
2015-07-23,NA,NA,NA,0,NA,0
2015-07-24,NA,NA,NA,0,NA,0
2015-07-27,NA,NA,NA,0,NA,0
2015-07-28,NA,NA,NA,0,NA,0
2015-07-29,NA,NA,NA,0,NA,0
2015-07-30,NA,NA,NA,0,NA,0
2015-07-31,NA,NA,NA,0,NA,0
2015-08-03,NA,NA,NA,0,NA,0
2015-08-04,NA,NA,NA,0,NA,0
2015-08-05,NA,NA,NA,0,NA,0
2015-08-06,NA,NA,NA,0,NA,0
2015-08-07,NA,NA,NA,0,NA,0
2015-08-10,NA,NA,NA,0,NA,0
2015-08-11,NA,NA,NA,0,NA,0
2015-08-12,NA,NA,NA,0,NA,0
2015-08-13,NA,NA,NA,0,NA,0
2015-08-14,NA,NA,NA,0,NA,0
2015-08-17,NA,NA,NA,0,NA,0
2015-08-18,NA,NA,NA,0,NA,0
2015-08-19,40.481,40.534,40.039,38.200001,524000,36.274086
2015-08-20,NA,NA,NA,0,NA,0
2015-08-21,NA,NA,NA,0,NA,0
2015-08-24,36.427,38.143,33.436,35.23,3011000,33.453819
2015-08-25,NA,NA,NA,0,NA,0
2015-08-26,NA,NA,NA,0,NA,0
