"Date","SCHE.Open","SCHE.High","SCHE.Low","SCHE.Close","SCHE.Volume","SCHE.Adjusted"
2010-01-14,29.622,29.692,29.47,25.33,190300,21.651318
2010-01-15,29.587,29.587,29.107,24.92,344000,21.300861
2010-01-19,29.365,29.575,29.271,25.26,231700,21.591482
2010-01-20,29.06,29.06,28.651,24.700001,198300,21.112814
2010-01-21,28.651,28.663,27.961,23.9,177100,20.428995
2010-01-22,27.902,27.902,27.364,23.459999,58400,20.052896
2010-01-25,27.914,28.008,27.575,23.629999,114200,20.198208
2010-01-26,27.259,27.551,27.037,23.299999,82800,19.916134
2010-01-27,27.072,27.212,26.756,23.200001,46400,19.830658
2010-01-28,27.458,27.458,26.756,23.129999,38200,19.770824
2010-01-29,27.411,27.516,26.791,23,50500,19.659704
2010-02-01,27.189,27.586,27.165,23.58,64200,20.15547
2010-02-02,27.586,27.762,27.376,23.719999,467500,20.275135
2010-02-03,27.809,27.844,27.54,23.639999,26300,20.206757
2010-02-04,27.2,27.2,26.393,22.559999,83200,19.283604
2010-02-05,26.288,26.908,25.492,22.379999,65800,19.129745
2010-02-08,26.171,26.229,25.89,22.129999,45900,18.916052
2010-02-09,26.405,26.849,26.311,22.73,45900,19.428917
2010-02-10,26.709,26.803,26.358,22.690001,68900,19.394728
2010-02-11,26.791,27.235,26.604,23.23,197000,19.8563
2010-02-12,26.721,26.896,26.498,22.99,50600,19.651154
2010-02-16,27.294,27.469,27.107,23.459999,63500,20.052896
2010-02-17,27.762,27.762,27.387,23.57,42800,20.146923
2010-02-18,27.446,27.774,27.411,23.709999,47700,20.266588
2010-02-19,27.481,27.657,27.317,23.5,25300,20.087088
2010-02-22,27.692,27.692,27.387,23.459999,43500,20.052896
2010-02-23,27.399,27.399,26.849,23.049999,40800,19.702442
2010-02-24,27.142,27.317,26.966,23.290001,22500,19.907587
2010-02-25,26.732,27.13,26.557,23.16,36800,19.796465
2010-02-26,27.294,27.598,27.13,23.389999,92200,19.993065
2010-03-01,27.762,27.984,27.54,23.82,93900,20.360613
2010-03-02,28.206,28.253,27.961,24.059999,158300,20.56576
2010-03-03,28.323,28.452,28.125,24.120001,51500,20.617046
2010-03-04,28.3,28.3,28.019,24.1,99700,20.599949
2010-03-05,28.335,28.768,28.3,24.540001,1013300,20.976049
2010-03-08,28.873,28.908,28.756,24.639999,169900,21.061523
2010-03-09,28.686,29.014,28.604,24.700001,86300,21.112814
2010-03-10,29.025,29.154,28.908,24.799999,55600,21.19829
2010-03-11,28.908,29.037,28.721,24.809999,368400,21.206835
2010-03-12,29.213,29.213,28.838,24.74,550400,21.147001
2010-03-15,28.838,28.838,28.546,24.59,56600,21.018787
2010-03-16,28.756,29.06,28.756,24.84,39700,21.232481
2010-03-17,29.306,29.493,29.213,25.09,136700,21.446173
2010-03-18,29.318,29.353,29.06,24.959999,91500,21.335052
2010-03-19,28.838,29.33,28.791,24.65,53100,21.070074
2010-03-22,28.78,29.002,28.347,24.75,60200,21.155552
2010-03-23,29.002,29.119,28.85,24.870001,93700,21.258123
2010-03-24,28.897,28.92,28.639,24.540001,74300,20.976049
2010-03-25,28.908,28.979,28.534,24.4,44800,20.85638
2010-03-26,28.838,28.873,28.546,24.59,45700,21.018787
2010-03-29,29.072,29.224,28.92,24.959999,66900,21.335052
2010-03-30,29.435,29.435,29.177,25.110001,65600,21.463266
2010-03-31,29.365,29.528,29.166,25.15,439700,21.497459
2010-04-01,29.903,30.031,29.797,25.67,53000,21.941938
2010-04-05,30.406,30.418,30.184,25.99,137100,22.215466
2010-04-06,30.359,30.535,30.301,26.040001,90700,22.258204
2010-04-07,30.464,30.464,30.078,25.83,70600,22.078699
2010-04-08,30.055,30.301,29.833,25.870001,40500,22.112894
2010-04-09,30.453,30.476,30.324,26.02,80700,22.241108
2010-04-12,30.464,30.464,30.254,25.92,81800,22.15563
2010-04-13,30.289,30.289,29.903,25.85,40800,22.095797
2010-04-14,30.535,30.687,30.394,26.23,61600,22.420609
2010-04-15,30.523,30.593,30.394,26.01,76900,22.232559
2010-04-16,30.16,30.16,29.435,25.360001,90800,21.67696
2010-04-19,29.365,29.54,29.072,25.209999,58200,21.548744
2010-04-20,29.704,29.914,29.704,25.52,51300,21.813723
2010-04-21,29.833,29.833,29.458,25.35,105600,21.668413
2010-04-22,29.54,29.797,29.248,25.43,58300,21.736794
2010-04-23,29.669,29.891,29.54,25.549999,84700,21.839365
2010-04-26,30.125,30.125,29.868,25.59,109500,21.873558
2010-04-27,29.774,29.774,28.826,24.690001,198100,21.104263
2010-04-28,29.084,29.236,28.745,24.889999,71700,21.275215
2010-04-29,29.411,29.61,29.33,25.27,356200,21.600029
2010-04-30,29.645,29.657,29.189,24.959999,71200,21.335052
2010-05-03,29.47,29.482,29.131,25.030001,103800,21.394888
2010-05-04,28.803,28.803,28.078,24.08,134900,20.582855
2010-05-05,27.774,28.031,27.411,23.690001,143500,20.249493
2010-05-06,27.376,27.68,25.165,22.709999,164300,19.411819
2010-05-07,27.423,27.423,26.101,22.700001,1084200,19.403275
2010-05-10,27.727,28.452,27.727,24.120001,208000,20.617046
2010-05-11,27.762,28.136,27.598,23.700001,166000,20.258043
2010-05-12,28.16,28.206,27.926,24.030001,245900,20.540113
2010-05-13,28.206,28.312,27.855,23.82,97100,20.360613
2010-05-14,27.621,27.727,27.06,23.370001,96600,19.975969
2010-05-17,27.376,27.458,26.697,23.280001,106400,19.89904
2010-05-18,27.738,27.738,26.674,22.870001,99000,19.548586
2010-05-19,26.393,26.604,25.925,22.51,96100,19.240866
2010-05-20,25.328,25.679,24.977,21.450001,236200,18.33481
2010-05-21,24.79,25.89,24.79,22.09,105100,18.881865
2010-05-24,25.843,26.065,25.621,21.92,154500,18.736553
2010-05-25,24.58,25.235,24.568,21.549999,150700,18.42029
2010-05-26,25.586,25.972,25.364,21.76,78900,18.599789
2010-05-27,26.463,26.896,26.241,22.99,65600,19.651154
2010-05-28,26.767,26.791,26.346,22.66,34000,19.36908
2010-06-01,26.323,26.732,26.112,22.32,54800,19.078459
2010-06-02,26.323,26.931,26.323,23.02,62400,19.676802
2010-06-03,27.095,27.13,26.51,22.91,87900,19.582775
2010-06-04,26.241,26.44,25.82,22.15,103100,18.933147
2010-06-07,26.089,26.089,25.633,21.92,61900,18.736553
2010-06-08,25.785,26.112,25.621,22.27,88500,19.035721
2010-06-09,26.393,26.522,25.913,22.23,40900,19.001532
2010-06-10,26.615,26.955,26.569,23.040001,61400,19.693895
2010-06-11,26.58,27.083,26.58,23.15,26100,19.787918
2010-06-14,27.423,27.493,27.048,23.120001,76800,19.76228
2010-06-15,27.387,27.867,27.364,23.780001,52000,20.326426
2010-06-16,27.621,27.937,27.493,23.76,116500,20.30933
2010-06-17,27.937,27.937,27.504,23.73,75900,20.283686
2010-06-18,27.879,27.902,27.692,23.790001,67700,20.33497
2010-06-21,28.628,28.721,28.113,24.16,85600,20.651237
2010-06-22,28.265,28.347,27.785,23.799999,123300,20.343517
2010-06-23,28.031,28.031,27.61,23.85,63300,20.386259
2010-06-24,27.797,27.82,27.411,23.540001,68600,20.121283
2010-06-25,27.54,27.844,27.376,23.73,50100,20.283686
2010-06-28,27.762,27.855,27.621,23.700001,37800,20.258043
2010-06-29,27.177,27.177,26.65,22.879999,261900,19.557125
2010-06-30,26.908,27.072,26.463,22.65,111600,19.360533
2010-07-01,26.569,26.674,26.147,22.77,82400,19.463106
2010-07-02,26.779,26.884,26.569,22.9,48100,19.574224
2010-07-06,27.633,27.633,26.92,23.139999,54800,19.779367
2010-07-07,27.025,27.867,27.025,23.780001,71100,20.326426
2010-07-08,27.914,28.019,27.54,23.809999,55400,20.352066
2010-07-09,27.937,28.206,27.926,24.110001,51600,20.6085
2010-07-12,28.16,28.206,27.832,23.91,40500,20.437544
2010-07-13,28.347,28.476,28.171,24.26,117900,20.736712
2010-07-14,28.171,28.359,28.078,24.15,75100,20.642687
2010-07-15,28.195,28.253,27.879,24.129999,59600,20.625591
2010-07-16,28.054,28.054,27.469,23.52,46400,20.104183
2010-07-19,27.82,27.902,27.61,23.790001,23000,20.33497
2010-07-20,27.68,28.288,27.68,24.18,130100,20.668333
2010-07-21,28.464,28.511,27.996,24.049999,48700,20.557209
2010-07-22,28.628,28.967,28.628,24.709999,57000,21.121357
2010-07-23,28.908,29.154,28.768,24.92,152000,21.300861
2010-07-26,29.107,29.283,28.979,25.01,1305000,21.377792
2010-07-27,29.423,29.447,29.084,24.92,86000,21.300861
2010-07-28,29.06,29.189,28.908,24.84,40300,21.232481
2010-07-29,29.435,29.458,28.955,24.92,214500,21.300861
2010-07-30,28.932,29.411,28.826,25.07,262500,21.429075
2010-08-02,29.833,30.02,29.739,25.629999,120900,21.907747
2010-08-03,29.809,29.891,29.587,25.450001,154200,21.753889
2010-08-04,29.914,29.914,29.564,25.540001,587500,21.830822
2010-08-05,29.762,29.856,29.645,25.49,380700,21.788078
2010-08-06,29.704,29.809,29.505,25.440001,65200,21.745344
2010-08-09,30.008,30.008,29.844,25.6,126900,21.882103
2010-08-10,29.447,29.692,29.294,25.280001,78800,21.608582
2010-08-11,28.943,28.943,28.522,24.41,201200,20.864929
2010-08-12,28.37,28.709,28.183,24.51,61200,20.950407
2010-08-13,28.838,28.932,28.745,24.59,48400,21.018787
2010-08-16,28.92,29.154,28.826,24.870001,46600,21.258123
2010-08-17,29.33,29.517,29.271,25.110001,52100,21.463266
2010-08-18,29.318,29.47,29.189,25.110001,36000,21.463266
2010-08-19,29.411,29.423,28.967,24.889999,34300,21.275215
2010-08-20,29.014,29.107,28.838,24.870001,19900,21.258123
2010-08-23,29.271,29.271,28.885,24.690001,32300,21.104263
2010-08-24,28.663,28.674,28.277,24.389999,66000,20.847834
2010-08-25,28.335,28.487,27.984,24.26,140500,20.736712
2010-08-26,28.663,28.663,28.253,24.200001,53700,20.685431
2010-08-27,28.651,28.897,28.288,24.690001,121100,21.104263
2010-08-30,28.721,28.78,28.394,24.280001,48800,20.753809
2010-08-31,28.37,28.721,28.37,24.370001,143400,20.830736
2010-09-01,29.049,29.33,28.967,25.049999,121300,21.41198
2010-09-02,29.447,29.482,29.259,25.200001,50900,21.540197
2010-09-03,29.903,29.903,29.669,25.450001,73500,21.753889
2010-09-07,29.564,29.727,29.411,25.16,52200,21.506004
2010-09-08,29.704,29.833,29.657,25.4,81000,21.711147
2010-09-09,30.09,30.09,29.751,25.51,51800,21.805176
2010-09-10,29.833,30.008,29.809,25.620001,85000,21.899199
2010-09-13,30.488,30.652,30.429,26.200001,101200,22.394968
2010-09-14,30.64,30.909,30.523,26.219999,148200,22.412064
2010-09-15,30.64,30.745,30.441,26.27,242800,22.454802
2010-09-16,30.523,30.581,30.418,26.120001,54200,22.326586
2010-09-17,30.827,30.827,30.418,26.049999,64000,22.266748
2010-09-20,30.827,31.003,30.663,26.48,123500,22.634302
2010-09-21,31.108,31.108,30.757,26.41,109600,22.574469
2010-09-22,31.061,31.119,30.839,26.450001,91000,22.608658
2010-09-23,30.804,31.049,30.71,26.309999,66400,22.488991
2010-09-24,31.33,31.353,31.225,26.75,111800,22.865091
2010-09-27,31.353,31.447,31.236,26.790001,249400,22.899281
2010-09-28,31.424,31.529,31.061,26.940001,85700,23.027494
2010-09-29,31.541,31.681,31.447,27,94700,23.078779
2010-09-30,31.786,31.81,31.447,27.110001,118800,23.172808
2010-10-01,32.091,32.266,31.938,27.5,150300,23.506165
2010-10-04,32.208,32.477,31.938,27.5,307900,23.506165
2010-10-05,32.383,32.769,32.36,27.959999,191800,23.899359
2010-10-06,32.699,32.734,32.547,27.879999,190200,23.830978
2010-10-07,32.687,32.699,32.172,27.66,141600,23.642931
2010-10-08,32.371,32.699,32.231,27.9,107600,23.848074
2010-10-11,32.711,32.757,32.629,27.959999,67500,23.899359
2010-10-12,32.488,32.699,32.289,27.9,87600,23.848074
2010-10-13,33.015,33.296,32.991,28.379999,118300,24.258364
2010-10-14,33.249,33.307,32.991,28.33,225100,24.215626
2010-10-15,33.331,33.342,32.816,28.26,192300,24.15579
2010-10-18,32.898,33.108,32.757,28.26,95400,24.15579
2010-10-19,32.547,32.547,32.02,27.469999,176700,23.480524
2010-10-20,32.371,32.711,32.371,27.870001,101100,23.822433
2010-10-21,32.956,32.991,32.324,27.889999,114800,23.839529
2010-10-22,32.792,32.792,32.5,27.860001,93600,23.813883
2010-10-25,32.98,33.12,32.886,28.15,153900,24.061768
2010-10-26,32.792,32.968,32.64,28.129999,78800,24.044672
2010-10-27,32.477,32.488,32.091,27.73,101300,23.702761
2010-10-28,32.757,32.816,32.465,27.889999,56300,23.839529
2010-10-29,32.675,32.769,32.523,27.969999,146800,23.907907
2010-11-01,33.085,33.19,32.886,28.24,102800,24.138699
2010-11-02,33.331,33.436,33.225,28.57,79800,24.420771
2010-11-03,33.611,33.611,33.167,28.73,70800,24.557533
2010-11-04,34.103,34.407,33.986,29.41,154600,25.138777
2010-11-05,34.384,34.454,34.22,29.42,239500,25.147324
2010-11-08,34.267,34.278,34.021,29.280001,248300,25.027655
2010-11-09,34.395,34.454,33.717,28.9,242500,24.702843
2010-11-10,34.009,34.091,33.576,29.09,147600,24.86525
2010-11-11,33.834,33.834,33.565,28.83,118500,24.643011
2010-11-12,33.342,33.413,32.851,28.280001,833100,24.172888
2010-11-15,33.167,33.272,32.851,28.110001,137800,24.027576
2010-11-16,32.699,32.699,31.892,27.450001,383900,23.46343
2010-11-17,32.219,32.371,32.114,27.6,378300,23.591644
