"Date","SCHF.Open","SCHF.High","SCHF.Low","SCHF.Close","SCHF.Volume","SCHF.Adjusted"
2009-11-03,28.902,29.427,28.878,24.629999,191500,20.631714
2009-11-04,29.833,30,29.654,24.91,115000,20.866261
2009-11-05,30.203,30.31,29.952,25.23,93300,21.134312
2009-11-06,30.084,30.907,29.845,25.35,164000,21.234835
2009-11-09,30.895,31.206,30.764,26.1,233500,21.863083
2009-11-10,30.955,31.015,30.692,25.889999,163400,21.687172
2009-11-11,31.265,31.349,30.919,25.969999,277500,21.754187
2009-11-12,31.062,31.074,30.442,25.59,132100,21.435873
2009-11-13,30.86,31.051,30.561,25.91,115700,21.703926
2009-11-16,31.242,31.624,31.194,26.34,184200,22.064121
2009-11-17,31.265,31.277,30.943,26.17,195800,21.921721
2009-11-18,31.361,31.361,31.015,26.129999,123600,21.88821
2009-11-19,30.871,30.871,30.322,25.67,157300,21.502886
2009-11-20,30.31,30.454,30.072,25.49,113400,21.352104
2009-11-23,31.134,31.301,30.871,25.950001,106800,21.737432
2009-11-24,31.015,31.015,30.609,25.799999,141700,21.61178
2009-11-25,31.098,31.289,30.907,26.190001,92800,21.938473
2009-11-27,30.131,30.513,29.845,25.42,157100,21.293468
2009-11-30,30.442,30.609,30.155,25.5,123700,21.360481
2009-12-01,31.063,31.373,30.967,26.23,101300,21.971979
2009-12-02,31.361,31.504,31.218,26.24,84800,21.980354
2009-12-03,31.588,31.624,31.134,26.1,70200,21.863083
2009-12-04,31.576,31.636,30.86,26.129999,169500,21.88821
2009-12-07,31.146,31.218,30.907,25.93,116300,21.720676
2009-12-08,30.764,30.776,30.298,25.459999,227100,21.326973
2009-12-09,30.442,30.478,30.072,25.49,127300,21.352104
2009-12-10,30.68,30.716,30.406,25.59,72300,21.435873
2009-12-11,30.716,30.716,30.442,25.6,98800,21.444248
2009-12-14,30.871,30.895,30.645,25.84,228100,21.64529
2009-12-15,30.657,30.692,30.454,25.57,150800,21.419121
2009-12-16,30.871,31.027,30.764,25.84,154300,21.64529
2009-12-17,30.466,30.466,30.012,25.18,162200,21.092426
2009-12-18,30.251,30.322,29.845,25.24,133800,21.142689
2009-12-21,30.37,30.43,30.227,25.360001,118200,21.24321
2009-12-22,30.513,30.573,30.346,25.58,150000,21.427496
2009-12-23,30.644,30.668,30.406,25.709999,88600,21.570122
2009-12-24,30.871,30.871,30.692,25.870001,59200,21.704359
2009-12-28,31.05,31.515,30.823,25.959999,121100,21.779865
2009-12-29,31.228,31.228,30.871,25.969999,186200,21.788256
2009-12-30,30.835,30.847,30.644,25.879999,180700,21.712748
2009-12-31,31.157,31.193,30.692,25.780001,143500,21.628849
2010-01-04,31.443,31.586,31.336,26.459999,218100,22.199354
2010-01-05,31.681,31.705,31.467,26.559999,205900,22.283255
2010-01-06,31.753,31.789,31.479,26.6,130500,22.316813
2010-01-07,31.669,31.669,31.312,26.440001,180600,22.182575
2010-01-08,31.634,31.86,31.515,26.719999,155100,22.41749
2010-01-11,32.206,32.206,31.908,26.879999,281400,22.551725
2010-01-12,31.705,31.836,31.515,26.52,192600,22.249695
2010-01-13,31.801,31.991,31.526,26.809999,197600,22.492996
2010-01-14,31.991,32.134,31.884,26.93,113900,22.593676
2010-01-15,32.027,32.027,31.467,26.51,212500,22.241302
2010-01-19,31.669,31.932,31.538,26.790001,318500,22.476219
2010-01-20,31.395,31.395,30.811,26.08,334600,21.880545
2010-01-21,31.169,31.169,30.227,25.51,226800,21.402328
2010-01-22,30.382,30.394,29.691,24.969999,165800,20.94928
2010-01-25,30.358,30.43,30.06,25.34,283800,21.259699
2010-01-26,29.929,30.203,29.739,25.08,94000,21.041565
2010-01-27,29.858,29.917,29.548,25.059999,124200,21.024786
2010-01-28,30.013,30.013,29.155,24.700001,188600,20.722754
2010-01-29,29.536,29.631,28.904,24.33,165400,20.412329
2010-02-01,29.405,29.607,29.345,24.83,156500,20.831821
2010-02-02,29.87,30.108,29.667,25.200001,137100,21.142244
2010-02-03,29.894,29.989,29.619,24.98,89700,20.957666
2010-02-04,29.274,29.274,28.499,23.959999,182800,20.10191
2010-02-05,28.356,28.451,27.617,23.700001,264400,19.883778
2010-02-08,28.368,28.499,27.963,23.459999,139700,19.682423
2010-02-09,28.618,29.095,28.356,24.200001,104500,20.303267
2010-02-10,28.773,28.809,28.356,24.030001,130800,20.160641
2010-02-11,28.69,29.083,28.416,24.4,165400,20.471062
2010-02-12,28.63,28.785,28.368,24.1,77600,20.219368
2010-02-16,29.035,29.464,28.845,24.67,161200,20.697586
2010-02-17,29.584,29.584,29.333,24.690001,73200,20.714365
2010-02-18,29.405,29.655,29.369,24.860001,101700,20.856991
2010-02-19,29.357,29.512,29.119,24.700001,70300,20.722754
2010-02-22,29.667,29.667,29.417,24.76,573800,20.773092
2010-02-23,29.512,29.512,29.011,24.370001,114400,20.445894
2010-02-24,29.155,29.369,29.047,24.540001,70000,20.588518
2010-02-25,28.821,29.083,28.559,24.389999,132300,20.462667
2010-02-26,29.119,29.369,28.868,24.58,128700,20.622078
2010-03-01,29.357,29.596,29.262,24.82,89900,20.823431
2010-03-02,29.846,29.953,29.631,24.98,263500,20.957666
2010-03-03,30.072,30.287,29.953,25.219999,176200,21.159023
2010-03-04,30.156,30.18,29.846,25.17,192000,21.117077
2010-03-05,30.275,30.644,30.215,25.65,165800,21.519783
2010-03-08,30.692,30.74,30.513,25.68,164300,21.544954
2010-03-09,30.406,30.704,30.323,25.559999,283100,21.444273
2010-03-10,30.537,30.811,30.525,25.77,110800,21.620462
2010-03-11,30.728,30.799,30.525,25.84,80000,21.67919
2010-03-12,31.097,31.097,30.847,25.940001,125800,21.763086
2010-03-15,30.823,30.823,30.513,25.799999,114600,21.645628
2010-03-16,30.93,31.181,30.811,26.120001,120200,21.914104
2010-03-17,31.312,31.443,31.252,26.27,119700,22.039948
2010-03-18,31.324,31.324,30.942,26.129999,91700,21.922493
2010-03-19,30.787,31.217,30.692,25.83,93200,21.670799
