"Date","SCHH.Open","SCHH.High","SCHH.Low","SCHH.Close","SCHH.Volume","SCHH.Adjusted"
2011-01-13,29.182,29.344,29.135,25.16,13100,21.675346
2011-01-14,29.263,29.472,29.205,25.389999,179800,21.873491
2011-01-18,29.507,29.692,29.367,25.58,60800,22.037174
2011-01-19,29.739,29.739,29.228,25.25,53900,21.752876
2011-01-20,29.309,29.576,29.263,25.280001,21300,21.778725
2011-01-21,29.483,29.6,29.333,25.34,26000,21.83042
2011-01-24,29.472,29.646,29.356,25.469999,58600,21.942408
2011-01-25,29.6,29.913,29.414,25.77,98800,22.200867
2011-01-26,29.994,30.052,29.774,25.82,76400,22.243937
2011-01-27,30.215,30.458,30.099,26.23,131800,22.597151
2011-01-28,30.528,30.54,29.832,25.76,134900,22.192245
2011-01-31,30.122,30.377,30.029,26.120001,76100,22.502382
2011-02-01,30.609,30.609,30.133,26.200001,151300,22.571304
2011-02-02,30.435,30.575,30.366,26.17,617800,22.545467
2011-02-03,30.354,30.517,30.25,26.280001,156300,22.64023
2011-02-04,30.575,30.575,30.11,26,181400,22.399008
2011-02-07,30.308,30.563,30.25,26.299999,117000,22.657457
2011-02-08,30.656,30.702,30.517,26.389999,213800,22.734985
2011-02-09,30.644,30.667,30.505,26.42,152800,22.760836
2011-02-10,30.633,30.853,30.586,26.51,86900,22.838369
2011-02-11,30.795,31.027,30.644,26.709999,124200,23.010672
2011-02-14,31.143,31.143,30.784,26.709999,108400,23.010672
2011-02-15,30.911,31.004,30.737,26.58,117100,22.89868
2011-02-16,31.039,31.201,30.818,26.700001,107200,23.00206
2011-02-17,30.958,31.109,30.934,26.709999,70800,23.010672
2011-02-18,31.109,31.201,30.981,26.799999,133100,23.088205
2011-02-22,30.992,31.19,30.76,26.559999,119800,22.881445
2011-02-23,30.876,30.9,30.366,26.34,64100,22.691914
2011-02-24,30.551,30.598,30.087,26.15,64800,22.528231
2011-02-25,30.528,30.958,30.528,26.67,37700,22.976213
2011-02-28,31.259,31.701,31.132,27.299999,81200,23.518953
2011-03-01,31.817,31.817,30.772,26.51,60100,22.838369
2011-03-02,30.784,30.784,30.377,26.190001,397800,22.562693
2011-03-03,30.772,30.911,30.691,26.610001,64600,22.92452
2011-03-04,30.946,30.946,30.458,26.35,58000,22.700531
2011-03-07,30.923,30.923,30.261,26.17,110300,22.545467
2011-03-08,30.447,30.958,30.447,26.559999,49100,22.881445
2011-03-09,30.853,30.934,30.586,26.530001,78700,22.855604
2011-03-10,30.586,30.621,30.296,26.120001,74000,22.502382
2011-03-11,30.18,30.667,30.18,26.389999,62800,22.734985
2011-03-14,30.528,30.528,30.203,26.129999,94600,22.511002
2011-03-15,29.843,30.366,29.634,25.99,90600,22.390394
2011-03-16,30.168,30.168,29.518,25.6,58700,22.054403
2011-03-17,30.099,30.192,29.774,25.83,42700,22.252554
2011-03-18,30.25,30.366,30.157,26.049999,66000,22.442081
2011-03-21,30.215,30.4,30.181,26.23,107900,22.71837
2011-03-22,30.308,30.308,29.973,26.02,70000,22.536484
2011-03-23,30.03,30.03,29.534,25.73,58200,22.285316
2011-03-24,29.903,29.915,29.534,25.84,92500,22.380587
2011-03-25,29.961,30.204,29.903,26.040001,56500,22.553814
2011-03-28,30.227,30.227,29.996,26.01,116400,22.527824
2011-03-29,30.088,30.238,29.753,26.139999,54100,22.640419
