"Date","SCHP.Open","SCHP.High","SCHP.Low","SCHP.Close","SCHP.Volume","SCHP.Adjusted"
2010-08-05,54.643,54.72,54.611,50.110001,4600,45.925117
2010-08-06,54.829,54.862,54.753,50.220001,9800,46.025928
2010-08-09,54.84,54.84,54.654,50.189999,23200,45.998428
2010-08-10,54.753,55.102,54.731,50.48,21900,46.264217
2010-08-11,55.145,55.178,55.058,50.48,22400,46.264217
2010-08-12,55.102,55.102,54.687,50.169998,104000,45.980091
2010-08-13,54.807,55.004,54.753,50.34,129700,46.135902
2010-08-16,55.244,55.244,55.058,50.5,60200,46.282551
2010-08-17,55.036,55.058,54.894,50.360001,81300,46.154232
2010-08-18,55.069,55.069,54.884,50.299999,28000,46.099255
2010-08-19,54.884,55.036,54.862,50.360001,16800,46.154232
2010-08-20,54.971,54.971,54.829,50.25,19700,46.053425
2010-08-23,54.785,54.927,54.687,50.34,15600,46.135902
2010-08-24,55.156,56.902,54.96,50.48,26200,46.264217
2010-08-25,55.222,55.222,54.993,50.470001,34500,46.255054
2010-08-26,55.2,55.407,55.156,50.779999,15200,46.539165
2010-08-27,55.407,55.407,55.014,50.419998,48200,46.209244
2010-08-30,55.265,55.32,55.156,50.650002,25400,46.420033
2010-08-31,55.462,55.462,55.331,50.759998,20800,46.52084
2010-09-01,55.222,55.222,54.884,50.57,35500,46.346706
2010-09-02,55.124,55.145,54.993,50.48,12400,46.264217
2010-09-03,54.927,55.036,54.905,50.389999,13300,46.181728
2010-09-07,55.255,55.353,55.167,50.73,17700,46.493328
2010-09-08,55.298,55.298,55.113,50.580002,17400,46.35585
2010-09-09,55.124,55.124,54.938,50.41,23500,46.200069
2010-09-10,55.058,55.167,55.036,50.450001,15500,46.236725
2010-09-13,55.08,55.396,55.08,50.73,10200,46.493328
2010-09-14,55.516,55.516,55.429,50.830002,26700,46.584999
2010-09-15,55.353,55.418,55.211,50.630001,21700,46.401691
2010-09-16,55.156,55.156,54.949,50.459999,26800,46.245884
2010-09-17,55.102,55.167,55.004,50.43,11200,46.218395
