"Date","SCHR.Open","SCHR.High","SCHR.Low","SCHR.Close","SCHR.Volume","SCHR.Adjusted"
2010-08-05,54.651,54.728,54.651,50,5400,45.689789
2010-08-06,55.089,55.089,54.87,50.200001,16600,45.872536
2010-08-09,54.914,54.925,54.903,50.18,14700,45.854267
2010-08-10,54.881,55.133,54.837,50.380001,20600,46.037029
2010-08-11,55.253,55.319,55.209,50.509998,31900,46.155804
2010-08-12,55.297,55.297,55.144,50.389999,26200,46.046165
2010-08-13,55.209,55.264,55.187,50.5,20300,46.146683
2010-08-16,55.647,55.658,55.428,50.75,35500,46.37513
2010-08-17,55.439,55.439,55.319,50.599998,22200,46.238049
2010-08-18,55.483,55.494,55.341,50.57,10200,46.210632
2010-08-19,55.33,55.527,55.33,50.720001,160100,46.347713
2010-08-20,55.472,55.483,55.319,50.560001,36500,46.201508
2010-08-23,55.33,55.417,55.319,50.619999,37100,46.256348
2010-08-24,55.581,55.745,55.559,50.849998,29100,46.466522
2010-08-25,55.811,55.811,55.505,50.720001,21800,46.347713
2010-08-26,55.516,55.592,55.483,50.790001,11200,46.411682
2010-08-27,55.483,55.581,55.209,50.450001,25300,46.100979
2010-08-30,55.45,55.581,55.406,50.790001,7500,46.411682
2010-08-31,55.724,55.735,55.658,50.93,8500,46.539612
2010-09-01,55.569,55.569,55.296,50.630001,19100,46.293655
2010-09-02,55.34,55.34,55.285,50.549999,2600,46.220501
2010-09-03,55.034,55.165,55.001,50.380001,13900,46.065056
2010-09-07,55.296,55.394,55.274,50.650002,14300,46.311932
2010-09-08,55.285,55.318,55.208,50.529999,35100,46.202229
2010-09-09,55.11,55.11,54.924,50.220001,32400,45.918774
2010-09-10,54.869,54.891,54.782,50.169998,4700,45.873039
2010-09-13,54.869,55.088,54.869,50.369999,17300,46.05592
2010-09-14,55.165,55.318,55.165,50.580002,14500,46.247952
2010-09-15,55.285,55.351,55.154,50.450001,13100,46.12907
2010-09-16,55.154,55.154,55.055,50.380001,5600,46.065056
2010-09-17,55.154,55.187,55.143,50.439999,2600,46.119942
2010-09-20,55.252,55.296,55.187,50.560001,7500,46.229641
2010-09-21,55.416,55.624,55.362,50.860001,13900,46.503944
2010-09-22,55.733,55.81,55.668,50.900002,4700,46.540543
2010-09-23,55.799,55.821,55.635,50.880001,20800,46.522251
2010-09-24,55.569,55.602,55.526,50.810001,10400,46.458229
2010-09-27,55.646,55.799,55.646,51.02,5900,46.650242
2010-09-28,55.908,55.985,55.908,51.18,2000,46.796543
2010-09-29,55.963,55.963,55.865,51.080002,13100,46.705116
2010-09-30,55.777,55.865,55.613,51.080002,4900,46.705116
2010-10-01,55.593,55.767,55.582,51.029999,9100,46.713352
2010-10-04,55.789,55.898,55.789,51.169998,6400,46.841499
2010-10-05,55.931,55.953,55.909,51.200001,6600,46.868961
2010-10-06,56.183,56.215,56.106,51.360001,9000,47.01543
2010-10-07,56.172,56.172,56.128,51.41,3000,47.061218
2010-10-08,56.259,56.314,56.204,51.450001,10600,47.097809
2010-10-11,56.346,56.346,56.248,51.5,3000,47.143604
2010-10-12,56.281,56.281,56.117,51.400002,13000,47.052074
2010-10-13,56.03,56.117,56.008,51.369999,6300,47.02459
2010-10-14,56.095,56.106,55.931,51.279999,11100,46.942188
2010-10-15,55.942,55.964,55.8,51.150002,9200,46.823208
2010-10-18,56.008,56.106,56.008,51.34,5900,46.997124
2010-10-19,56.019,56.193,56.019,51.419998,17400,47.07037
2010-10-20,56.106,56.248,56.106,51.450001,3600,47.097809
2010-10-21,56.095,56.106,56.019,51.279999,9700,46.942188
2010-10-22,55.964,56.019,55.953,51.240002,11600,46.90559
2010-10-25,56.139,56.15,55.953,51.23,15400,46.896412
2010-10-26,55.822,55.833,55.713,51.02,6200,46.704205
2010-10-27,55.593,55.604,55.462,50.77,29300,46.475349
2010-10-28,55.669,55.767,55.647,51.029999,8600,46.713352
2010-10-29,55.844,55.975,55.844,51.220001,29200,46.887272
2010-11-01,55.967,55.967,55.771,51.169998,15600,46.893688
2010-11-02,55.858,55.934,55.858,51.240002,18100,46.957825
2010-11-03,55.989,56.087,55.651,51.400002,16700,47.104477
2010-11-04,56.295,56.382,56.262,51.650002,18300,47.333572
2010-11-05,56.305,56.316,56.164,51.470001,9300,47.168613
2010-11-08,56.175,56.207,56.076,51.43,16400,47.131958
