"Date","SCHX.Open","SCHX.High","SCHX.Low","SCHX.Close","SCHX.Volume","SCHX.Adjusted"
2014-12-12,50.052,50.269,49.596,47.93,473000,46.310066
2014-12-15,NA,NA,NA,0,NA,0
2014-12-16,49.006,49.907,48.83,47.18,479500,45.585407
2014-12-17,NA,NA,NA,0,NA,0
2014-12-18,NA,NA,NA,0,NA,0
2014-12-19,NA,NA,NA,0,NA,0
2014-12-22,NA,NA,NA,0,NA,0
2014-12-23,NA,NA,NA,0,NA,0
2014-12-24,NA,NA,NA,0,NA,0
2014-12-26,NA,NA,NA,0,NA,0
2014-12-29,NA,NA,NA,0,NA,0
2014-12-30,NA,NA,NA,0,NA,0
2014-12-31,NA,NA,NA,0,NA,0
2015-01-02,NA,NA,NA,0,NA,0
2015-01-05,NA,NA,NA,0,NA,0
2015-01-06,NA,NA,NA,0,NA,0
2015-01-07,NA,NA,NA,0,NA,0
2015-01-08,NA,NA,NA,0,NA,0
2015-01-09,50.983,50.983,50.331,48.790001,424800,47.140999
2015-01-12,NA,NA,NA,0,NA,0
2015-01-13,NA,NA,NA,0,NA,0
2015-01-14,NA,NA,NA,0,NA,0
2015-01-15,NA,NA,NA,0,NA,0
2015-01-16,NA,NA,NA,0,NA,0
2015-01-20,NA,NA,NA,0,NA,0
2015-01-21,NA,NA,NA,0,NA,0
2015-01-22,NA,NA,NA,0,NA,0
2015-01-23,NA,NA,NA,0,NA,0
2015-01-26,NA,NA,NA,0,NA,0
2015-01-27,NA,NA,NA,0,NA,0
2015-01-28,NA,NA,NA,0,NA,0
2015-01-29,NA,NA,NA,0,NA,0
2015-01-30,NA,NA,NA,0,NA,0
2015-02-02,NA,NA,NA,0,NA,0
2015-02-03,NA,NA,NA,0,NA,0
2015-02-04,NA,NA,NA,0,NA,0
2015-02-05,NA,NA,NA,0,NA,0
2015-02-06,NA,NA,NA,0,NA,0
2015-02-09,NA,NA,NA,0,NA,0
2015-02-10,NA,NA,NA,0,NA,0
