"Date","SHYG.Open","SHYG.High","SHYG.Low","SHYG.Close","SHYG.Volume","SHYG.Adjusted"
2013-10-17,59.101,59.196,59.101,49.93,12700,42.114357
2013-10-18,59.338,59.457,59.338,50.119999,178300,42.274609
2013-10-21,59.35,59.409,59.338,50.049999,2100,42.215576
2013-10-22,59.445,59.469,59.445,50.16,22800,42.308353
2013-10-23,59.398,59.469,59.386,50.09,5500,42.249302
2013-10-24,59.433,59.481,59.398,50.099998,5900,42.257744
2013-10-25,59.457,59.481,59.445,50.139999,7300,42.291485
2013-10-28,59.481,59.481,59.445,50.150002,11200,42.299923
2013-10-29,59.469,59.528,59.457,50.200001,9000,42.342091
2013-10-30,59.54,59.54,59.504,50.189999,2700,42.333652
2013-10-31,59.433,59.611,59.433,50.23,216000,42.36739
2013-11-01,59.528,59.575,59.457,50.240002,37600,42.375839
2013-11-04,59.623,59.635,59.516,50.279999,25000,42.409569
2013-11-05,59.599,59.599,59.587,50.259998,10500,42.392696
2013-11-06,59.658,59.67,59.635,50.330002,11800,42.451759
2013-11-07,59.67,59.67,59.623,50.330002,4200,42.451759
2013-11-08,59.564,59.575,59.516,50.240002,3000,42.375839
2013-11-11,59.599,59.611,59.587,50.27,2900,42.401134
2013-11-12,59.54,59.54,59.481,50.189999,6900,42.333652
2013-11-13,59.504,59.504,59.504,50.189999,1000,42.333652
2013-11-14,59.587,59.623,59.564,50.290001,44800,42.418003
2013-11-15,59.587,59.635,59.54,50.299999,9100,42.426426
2013-11-18,59.694,59.694,59.67,50.34,3400,42.460178
2013-11-19,59.658,59.67,59.623,50.290001,4400,42.418003
2013-11-20,59.658,59.682,59.564,50.240002,24300,42.375839
2013-11-21,59.623,59.682,59.611,50.299999,17400,42.426426
2013-11-22,59.647,59.706,59.647,50.360001,300,42.477051
2013-11-25,59.753,59.753,59.718,50.380001,9500,42.493919
2013-11-26,59.789,59.789,59.765,50.41,8200,42.519215
2013-11-27,59.848,59.848,59.813,50.48,3300,42.578259
2013-11-29,59.848,59.848,59.836,50.470001,1200,42.569839
2013-12-02,59.539,59.539,59.539,50.470001,0,42.782597
2013-12-03,59.22,59.267,59.22,50.220001,3900,42.570683
2013-12-04,59.267,59.315,59.232,50.259998,17400,42.604584
2013-12-05,59.338,59.338,59.291,50.259998,2400,42.604584
2013-12-06,59.362,59.539,59.291,50.470001,72000,42.782597
2013-12-09,59.574,59.574,59.456,50.48,1200,42.79108
2013-12-10,59.562,59.621,59.539,50.509998,45100,42.816502
2013-12-11,59.609,59.609,59.586,50.509998,400,42.816502
2013-12-12,59.598,59.598,59.456,50.470001,27700,42.782597
2013-12-13,59.527,59.609,59.503,50.529999,7600,42.833466
2013-12-16,59.645,59.704,59.633,50.59,10700,42.884315
2013-12-17,59.621,59.633,59.515,50.549999,3400,42.850414
2013-12-18,59.692,59.692,59.562,50.529999,9300,42.833466
2013-12-19,59.657,59.657,59.551,50.560001,2400,42.858887
2013-12-20,59.692,59.692,59.645,50.580002,5900,42.875843
2013-12-23,59.68,59.704,59.633,50.599998,2400,42.892792
2013-12-24,59.716,59.727,59.716,50.630001,1400,42.918232
2013-12-26,59.305,59.328,59.305,50.459999,13500,42.925873
2013-12-27,59.246,59.316,59.164,50.450001,23200,42.917374
2013-12-30,59.316,59.316,59.293,50.459999,2000,42.925873
2013-12-31,59.363,59.375,59.328,50.490002,4700,42.951405
2014-01-02,59.363,59.41,59.34,50.540001,42700,42.993946
2014-01-03,59.446,59.469,59.363,50.560001,9000,43.010952
2014-01-06,59.469,59.469,59.422,50.57,8100,43.019455
2014-01-07,59.528,59.528,59.481,50.639999,17000,43.079002
2014-01-08,59.563,59.563,59.505,50.66,31300,43.096031
2014-01-09,59.552,59.575,59.528,50.639999,15600,43.079002
2014-01-10,59.599,59.622,59.575,50.720001,6100,43.147064
2014-01-13,59.634,59.657,59.599,50.709999,3400,43.13855
2014-01-14,59.587,59.646,59.587,50.73,3700,43.155567
2014-01-15,59.681,59.704,59.61,50.779999,5600,43.198101
2014-01-16,59.693,59.716,59.681,50.790001,5400,43.206604
2014-01-17,59.716,59.728,59.669,50.799999,17000,43.215126
2014-01-21,59.751,59.751,59.493,50.759998,47900,43.181095
2014-01-22,59.763,59.763,59.704,50.82,3900,43.232128
2014-01-23,59.751,59.751,59.669,50.799999,1700,43.215126
2014-01-24,59.669,59.669,59.516,50.639999,7500,43.079002
2014-01-27,59.363,59.563,59.305,50.650002,9300,43.087505
2014-01-28,59.552,59.563,59.411,50.619999,1200,43.061996
2014-01-29,59.54,59.54,59.434,50.619999,19700,43.061996
2014-01-30,59.528,59.552,59.422,50.66,2100,43.096031
2014-01-31,59.528,59.552,59.493,50.630001,4300,43.070499
2014-02-03,59.156,59.156,58.886,50.400002,11700,43.016727
2014-02-04,59.039,59.097,58.875,50.43,9100,43.042328
2014-02-05,59.086,59.097,58.945,50.43,8000,43.042328
2014-02-06,59.097,59.156,59.097,50.490002,1500,43.093552
2014-02-07,59.191,59.238,59.133,50.549999,13100,43.144756
2014-02-10,59.226,59.261,59.215,50.57,16400,43.161831
2014-02-11,59.285,59.332,59.261,50.630001,19400,43.213036
2014-02-12,59.226,59.367,59.226,50.650002,25900,43.230103
2014-02-13,59.285,59.437,59.285,50.73,212500,43.298397
2014-02-14,59.414,59.414,59.273,50.709999,5000,43.281311
2014-02-18,59.215,59.461,59.215,50.75,27100,43.315468
2014-02-19,59.32,59.425,59.308,50.619999,7300,43.204498
2014-02-20,59.414,59.496,59.355,50.720001,16500,43.289852
2014-02-21,59.531,59.531,59.496,50.779999,2600,43.341057
2014-02-24,59.554,59.554,59.519,50.799999,13100,43.358139
2014-02-25,59.496,59.578,59.449,50.740002,19400,43.306919
2014-02-26,59.484,59.554,59.484,50.779999,10600,43.341057
2014-02-27,59.507,59.613,59.496,50.799999,9600,43.358139
2014-02-28,59.543,59.613,59.507,50.880001,22400,43.426411
2014-03-03,59.193,59.193,59.111,50.610001,10200,43.331371
2014-03-04,59.146,59.216,59.146,50.68,7900,43.391308
2014-03-05,59.251,59.251,59.193,50.720001,5300,43.42556
2014-03-06,59.216,59.228,59.205,50.689999,5400,43.39986
2014-03-07,59.193,59.193,59.111,50.619999,8300,43.339943
2014-03-10,59.111,59.123,59.041,50.619999,11400,43.339943
2014-03-11,59.123,59.158,59.065,50.639999,10600,43.357063
2014-03-12,59.181,59.181,59.076,50.650002,14000,43.365635
2014-03-13,59.146,59.146,59.088,50.59,4900,43.314255
2014-03-14,59.065,59.065,58.994,50.52,10000,43.254322
2014-03-17,59.158,59.17,59.088,50.66,9500,43.374191
2014-03-18,59.228,59.228,59.158,50.700001,1500,43.408428
2014-03-19,59.24,59.251,59.135,50.630001,3600,43.348499
2014-03-20,59.181,59.216,59.181,50.689999,4500,43.39986
2014-03-21,59.251,59.251,59.158,50.700001,7100,43.408428
2014-03-24,59.286,59.286,59.193,50.720001,7900,43.42556
2014-03-25,59.251,59.286,59.193,50.740002,14700,43.442707
2014-03-26,59.31,59.31,59.263,50.740002,11700,43.442707
2014-03-27,59.286,59.321,59.251,50.77,6800,43.468365
2014-03-28,59.357,59.357,59.251,50.77,8100,43.468365
2014-03-31,59.345,59.403,59.321,50.849998,33600,43.536865
2014-04-01,59.068,59.08,58.987,50.66,15500,43.499943
2014-04-02,59.022,59.022,58.975,50.66,42400,43.499943
2014-04-03,58.999,58.999,58.987,50.66,31800,43.499943
2014-04-04,59.115,59.115,58.987,50.66,15800,43.499943
2014-04-07,59.138,59.138,58.975,50.639999,2500,43.482769
2014-04-08,59.127,59.127,58.952,50.619999,1300,43.465599
2014-04-09,59.15,59.15,59.057,50.75,3200,43.577213
2014-04-10,59.22,59.22,59.022,50.720001,14200,43.551464
2014-04-11,59.15,59.15,58.929,50.740002,11000,43.56863
2014-04-14,59.08,59.08,59.022,50.700001,2600,43.534279
2014-04-15,59.22,59.22,58.999,50.720001,8900,43.551464
2014-04-16,59.22,59.22,59.115,50.759998,2400,43.5858
2014-04-17,59.103,59.115,58.975,50.740002,14300,43.56863
2014-04-21,59.034,59.103,59.022,50.73,1900,43.560047
2014-04-22,59.068,59.08,59.068,50.73,11900,43.560047
2014-04-23,59.243,59.243,59.092,50.77,6500,43.594391
2014-04-24,59.301,59.301,59.15,50.810001,5900,43.628746
2014-04-25,59.22,59.22,59.103,50.799999,9400,43.620152
2014-04-28,59.127,59.243,59.127,50.869999,4800,43.68026
2014-04-29,59.266,59.278,59.197,50.889999,5500,43.697426
2014-04-30,59.313,59.313,59.115,50.84,3200,43.654495
2014-05-01,58.823,58.928,58.707,50.759998,8300,43.724277
2014-05-02,59.102,59.102,58.835,50.689999,18900,43.663967
2014-05-05,58.963,58.963,58.742,50.669998,11700,43.646763
2014-05-06,58.847,58.858,58.754,50.700001,4800,43.672596
2014-05-07,58.963,58.963,58.847,50.740002,12200,43.707035
2014-05-08,58.881,58.881,58.847,50.700001,11300,43.672596
2014-05-09,58.835,58.858,58.754,50.68,23600,43.655357
2014-05-12,58.974,58.974,58.812,50.700001,4300,43.672596
2014-05-13,58.87,58.939,58.765,50.700001,36600,43.672596
2014-05-14,58.858,58.858,58.823,50.700001,21400,43.672596
2014-05-15,59.032,59.032,58.789,50.700001,11100,43.672596
2014-05-16,58.916,58.916,58.8,50.73,5800,43.698429
2014-05-19,58.939,58.939,58.8,50.73,13000,43.698429
2014-05-20,58.893,58.893,58.789,50.68,1900,43.655357
2014-05-21,58.823,58.893,58.823,50.720001,4400,43.689816
2014-05-22,58.8,58.916,58.8,50.650002,2600,43.629524
2014-05-23,58.812,58.986,58.812,50.799999,5200,43.75872
2014-05-27,59.056,59.056,58.881,50.799999,28900,43.75872
2014-05-28,58.951,59.032,58.87,50.810001,6300,43.767353
2014-05-29,59.079,59.079,58.905,50.799999,4500,43.75872
2014-05-30,59.079,59.079,58.87,50.709999,19800,43.681213
2014-06-02,58.419,58.523,58.419,50.540001,5400,43.680344
2014-06-03,58.535,58.535,58.523,50.59,5500,43.723549
2014-06-04,58.546,58.546,58.535,50.599998,700,43.732197
2014-06-05,58.569,58.604,58.512,50.650002,6100,43.775414
2014-06-06,58.512,58.662,58.512,50.700001,13300,43.818626
2014-06-09,58.581,58.685,58.569,50.709999,2700,43.827259
2014-06-10,58.674,58.778,58.604,50.799999,28500,43.905041
2014-06-11,58.755,58.824,58.755,50.82,2700,43.922337
2014-06-12,58.812,58.812,58.778,50.810001,11200,43.913685
2014-06-13,58.836,58.836,58.731,50.82,4500,43.922337
2014-06-16,58.778,58.836,58.731,50.82,5300,43.922337
2014-06-17,58.847,58.847,58.836,50.849998,1400,43.948261
2014-06-18,58.882,58.882,58.847,50.889999,10500,43.982822
2014-06-19,58.882,58.893,58.801,50.84,9500,43.939617
2014-06-20,58.812,58.928,58.812,50.860001,4500,43.956905
2014-06-23,58.928,58.94,58.836,50.93,13900,44.017406
2014-06-24,58.905,58.963,58.824,50.84,14000,43.939617
2014-06-25,58.836,58.951,58.836,50.849998,6100,43.948261
2014-06-26,58.824,58.836,58.789,50.84,45400,43.939617
2014-06-27,58.882,58.917,58.87,50.919998,16000,44.008762
2014-06-30,58.87,58.905,58.836,50.860001,68300,43.956905
2014-07-01,58.426,58.483,58.426,50.720001,6100,43.995937
2014-07-02,58.495,58.495,58.437,50.720001,5600,43.995937
2014-07-03,58.414,58.483,58.414,50.73,1800,44.004612
2014-07-07,58.518,58.518,58.472,50.73,24600,44.004612
2014-07-08,58.495,58.506,58.391,50.709999,2500,43.98727
2014-07-09,58.483,58.495,58.46,50.740002,7600,44.013283
2014-07-10,58.356,58.414,58.356,50.66,5400,43.943901
2014-07-11,58.437,58.437,58.368,50.66,9700,43.943901
2014-07-14,58.391,58.403,58.333,50.650002,12000,43.935219
2014-07-15,58.333,58.426,58.276,50.549999,8300,43.848476
2014-07-16,58.287,58.379,58.287,50.630001,15100,43.917877
2014-07-17,58.31,58.31,58.137,50.450001,9800,43.761719
2014-07-18,58.184,58.218,58.137,50.470001,24800,43.779079
2014-07-21,58.16,58.172,58.114,50.41,27400,43.727032
2014-07-22,58.126,58.218,58.068,50.439999,68100,43.753052
2014-07-23,58.241,58.264,58.091,50.450001,67300,43.761719
2014-07-24,58.091,58.16,58.091,50.41,9400,43.727032
2014-07-25,58.137,58.241,58.103,50.509998,68800,43.813774
2014-07-28,58.253,58.253,58.149,50.439999,41200,43.753052
2014-07-29,58.137,58.184,58.103,50.439999,12000,43.753052
2014-07-30,58.172,58.172,58.045,50.41,5600,43.727032
2014-07-31,57.988,57.999,57.757,50.119999,32500,43.475491
2014-08-01,57.291,57.337,57.096,49.700001,24400,43.262222
2014-08-04,56.992,57.119,56.935,49.720001,16800,43.279621
2014-08-05,57.176,57.222,57.176,49.790001,16200,43.340576
2014-08-06,57.038,57.188,57.038,49.779999,4400,43.33186
2014-08-07,57.05,57.222,57.05,49.799999,1600,43.349266
2014-08-08,57.153,57.337,57.142,49.91,15100,43.445015
2014-08-11,57.417,57.417,57.222,49.939999,8300,43.471134
2014-08-12,57.463,57.544,57.383,50.060001,17200,43.575588
2014-08-13,57.475,57.624,57.463,50.16,16500,43.662643
2014-08-14,57.751,57.751,57.567,50.209999,22700,43.70615
2014-08-15,57.705,57.728,57.682,50.209999,1800,43.70615
2014-08-18,57.785,57.831,57.774,50.34,3200,43.819317
2014-08-19,57.888,57.888,57.739,50.380001,2200,43.854141
2014-08-20,57.934,57.934,57.739,50.419998,15100,43.88895
2014-08-21,57.923,57.969,57.751,50.419998,13000,43.88895
2014-08-22,57.969,57.969,57.785,50.389999,16600,43.862835
2014-08-25,57.797,58.038,57.797,50.5,31500,43.958603
2014-08-26,58.038,58.038,58.026,50.52,4000,43.976006
2014-08-27,57.9,58.038,57.9,50.509998,5100,43.967308
2014-08-28,57.865,58.038,57.865,50.509998,8500,43.967308
2014-08-29,58.038,58.038,57.785,50.509998,22800,43.967308
2014-09-02,57.488,57.556,57.488,50.23,2200,43.88866
2014-09-03,57.545,57.579,57.51,50.259998,5800,43.914875
2014-09-04,57.579,57.602,57.453,50.209999,3800,43.871181
2014-09-05,57.545,57.545,57.453,50.240002,4600,43.8974
2014-09-08,57.51,57.533,57.453,50.240002,6400,43.8974
2014-09-09,57.499,57.499,57.293,50.099998,10000,43.775074
2014-09-10,57.362,57.362,57.247,50.110001,2800,43.783821
2014-09-11,57.236,57.236,57.144,49.93,2100,43.626534
2014-09-12,57.236,57.259,57.179,49.959999,3500,43.652756
2014-09-15,57.121,57.144,57.076,49.91,6000,43.609062
