"Date","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted"
2007-01-03,114.465,114.956,113.114,113.757355,94807600,141.369995
2007-01-04,113.645,114.305,113.146,113.998749,69620600,141.669998
2007-01-05,113.725,113.782,112.961,113.089493,76645300,140.539993
2007-01-08,113.315,113.79,112.856,113.61248,71655000,141.190002
2007-01-09,113.709,113.942,112.977,113.515953,75680100,141.070007
2007-01-10,113.122,113.918,112.896,113.894112,72428000,141.539993
2007-01-11,113.926,114.763,113.862,114.393036,54476800,142.160004
2007-01-12,114.385,115.262,114.353,115.262115,55370600,143.240005
2007-01-16,115.125,115.423,114.852,115.036781,44871300,142.960007
2007-01-17,114.948,115.439,114.852,115.085052,50241400,143.020004
2007-01-18,115.206,115.278,114.514,114.69883,68177300,142.539993
2007-01-19,114.699,115.149,114.634,114.924088,56973000,142.820007
2007-01-22,115.125,115.149,114.208,114.57003,60253600,142.380005
2007-01-23,114.473,115.133,114.313,114.908005,54064400,142.800003
2007-01-24,115.045,115.858,114.997,115.83342,55834700,143.949997
2007-01-25,115.761,115.809,114.272,114.473503,73583800,142.259995
2007-01-26,114.723,114.787,113.926,114.368874,67255600,142.130005
2007-01-29,114.417,114.908,114.055,114.304497,66114600,142.050003
2007-01-30,114.546,114.956,114.313,114.899918,70407600,142.789993
2007-01-31,114.771,115.978,114.586,115.672493,91868600,143.75
2007-02-01,115.994,116.405,115.801,116.36451,69312400,144.610001
2007-02-02,116.461,116.638,116.179,116.525398,49607000,144.809998
2007-02-05,116.437,116.63,116.147,116.557617,45705300,144.850006
2007-02-06,116.654,116.702,116.139,116.589813,57081300,144.889999
2007-02-07,116.775,116.968,116.332,116.847336,55669700,145.210007
2007-02-08,116.501,116.775,116.091,116.694397,70641000,145.020004
2007-02-09,116.727,116.944,115.383,115.825363,79084400,143.940002
2007-02-12,115.825,115.906,115.222,115.431053,65657000,143.449997
2007-02-13,115.689,116.598,115.681,116.404739,64081800,144.660004
2007-02-14,116.517,117.403,116.501,117.169197,66039400,145.610001
2007-02-15,117.217,117.443,117.024,117.32209,38715200,145.800003
2007-02-16,117.032,117.29,116.863,117.265724,39841800,145.729996
2007-02-20,117.129,117.644,116.678,117.515205,56911800,146.039993
2007-02-21,117.169,117.539,116.96,117.466843,63971600,145.979996
2007-02-22,117.523,117.821,116.815,117.378418,79067400,145.869995
2007-02-23,117.274,117.314,116.702,116.919701,71966200,145.300003
2007-02-26,117.346,117.443,116.477,116.815102,69192800,145.169998
2007-02-27,115.777,116.035,111.85,112.252579,274466500,139.5
2007-02-28,112.969,114.248,112.494,113.403259,177536300,140.929993
2007-03-01,112.124,113.661,111.086,113.065315,212828600,140.509995
2007-03-02,112.695,113.186,111.577,111.584732,162574000,138.669998
2007-03-05,110.989,112.317,110.506,110.52256,143750400,137.350006
2007-03-06,111.673,112.752,110.82,112.413544,143333300,139.699997
2007-03-07,112.325,113.025,112.172,112.30085,115144900,139.559998
2007-03-08,113.089,113.588,112.711,113.25042,117891600,140.740005
2007-03-09,113.709,113.798,112.719,113.282578,107765100,140.779999
2007-03-12,112.993,113.733,112.784,113.451546,80366900,140.990005
2007-03-13,112.8,113.275,111.078,111.24675,190605200,138.25
2007-03-14,111.392,112.14,110.04,112.075569,231853800,139.279999
2007-03-15,111.826,112.647,111.689,112.228462,132435900,139.470001
2007-03-16,112.544,112.803,111.583,111.914192,121531600,138.529999
2007-03-19,112.504,113.368,112.415,113.263313,96161200,140.199997
2007-03-20,113.166,113.95,113.069,113.885353,82147400,140.970001
2007-03-21,113.99,116.05,113.764,115.759628,152368700,143.289993
2007-03-22,115.913,116.075,115.356,115.670769,118942200,143.179993
2007-03-23,115.752,116.18,115.647,115.840416,74416800,143.389999
2007-03-26,115.929,116.05,114.79,115.686913,113787500,143.199997
2007-03-27,115.622,115.655,115.033,115.412315,99864600,142.860001
2007-03-28,114.831,115.097,114.12,114.57206,152907900,141.820007
2007-03-29,115.154,115.21,114.063,114.693199,139432700,141.970001
2007-03-30,114.911,115.396,113.554,114.717506,128194100,142
2007-04-02,114.847,115.089,114.297,114.846756,79416400,142.160004
2007-04-03,115.501,116.317,115.453,116.082771,82417800,143.690002
2007-04-04,116.083,116.293,115.655,116.212074,63995200,143.850006
2007-04-05,116.067,116.689,116.018,116.5271,46822800,144.240005
2007-04-09,116.858,116.979,116.454,116.688652,50967400,144.440002
2007-04-10,116.6,117.02,116.551,116.826019,56620000,144.610001
2007-04-11,116.996,117.028,115.962,116.349403,106365700,144.020004
2007-04-12,116.123,117.076,115.8,116.866417,115534400,144.660004
2007-04-13,117.06,117.4,116.624,117.399643,84287000,145.320007
2007-04-16,117.812,118.644,117.804,118.514465,83064600,146.699997
2007-04-17,118.733,119.08,118.474,118.829544,108424100,147.089996
2007-04-18,118.434,119.322,118.409,118.974983,88345300,147.270004
2007-04-19,118.393,119.08,118.24,118.942703,102947700,147.229996
2007-04-20,119.742,120.066,118.789,120.065582,124114100,148.619995
2007-04-23,119.864,120.154,119.54,119.613197,77270800,148.059998
2007-04-24,119.751,119.888,119.015,119.661659,114471000,148.119995
2007-04-25,120.154,120.906,119.581,120.76033,108418800,149.479996
2007-04-26,120.768,121.019,120.453,120.897675,88741600,149.649994
2007-04-27,120.445,120.97,120.243,120.800758,108191100,149.529999
2007-04-30,120.89,120.97,119.734,119.798973,100874100,148.289993
2007-05-01,119.904,120.752,119.298,120.105942,134342700,148.669998
2007-05-02,120.292,121.14,120.171,120.808823,87129800,149.539993
2007-05-03,121.156,121.504,120.962,121.463173,86569700,150.350006
2007-05-04,121.786,122.085,121.358,121.923683,96409000,150.919998
2007-05-07,121.891,122.15,121.835,121.947899,63461400,150.949997
2007-05-08,121.649,121.924,121.286,121.786377,80584000,150.75
2007-05-09,121.697,123.459,121.479,122.117577,102070100,151.160004
2007-05-10,121.77,122.005,120.591,120.841194,153617800,149.580002
2007-05-11,120.978,121.932,120.954,121.875229,113408900,150.860001
2007-05-14,121.875,122.231,121.011,121.608589,108027500,150.529999
2007-05-15,121.746,122.522,121.334,121.640976,180673300,150.570007
2007-05-16,121.827,122.497,121.487,122.473038,114166500,151.600006
2007-05-17,122.295,122.764,122.077,122.230675,101132800,151.300003
2007-05-18,122.804,123.297,122.643,123.297089,99182000,152.619995
2007-05-21,123.265,123.79,123.2,123.232468,174664600,152.539993
2007-05-22,123.362,123.733,123.103,123.135452,82148800,152.419998
2007-05-23,123.564,124.008,123.087,123.151649,133786600,152.440002
2007-05-24,123.224,123.774,121.778,122.036804,187593000,151.059998
2007-05-25,122.392,122.812,122.134,122.545753,83309200,151.690002
2007-05-29,122.748,123.2,122.352,122.990089,82020000,152.240005
2007-05-30,122.36,124.04,122.263,123.991852,129013600,153.479996
2007-05-31,124.145,124.323,123.701,123.862633,114866700,153.320007
2007-06-01,124.315,124.735,124.016,124.476532,107771700,154.080002
2007-06-04,124.04,124.727,123.992,124.492729,78008800,154.100006
2007-06-05,124.202,124.331,123.491,123.999878,126917900,153.490005
2007-06-06,123.491,123.564,122.594,122.666946,164096800,151.839996
2007-06-07,122.441,123.2,120.421,120.453392,232414600,149.100006
2007-06-08,120.841,122.142,120.445,122.020622,175886000,151.039993
2007-06-11,121.932,122.756,121.746,122.230675,102015600,151.300003
2007-06-12,121.722,122.425,120.817,120.897675,233898000,149.649994
2007-06-13,121.584,122.853,120.954,122.707336,193208200,151.889999
2007-06-14,122.845,123.701,122.82,123.490913,146396500,152.860001
2007-06-15,124.25,124.672,124.08,124.193588,154030800,153.070007
2007-06-18,124.445,124.453,123.861,124.047592,88537500,152.889999
2007-06-19,123.772,124.445,123.618,124.35585,110851700,153.270004
2007-06-20,124.607,124.607,122.482,122.62767,177119700,151.139999
2007-06-21,122.579,123.415,121.906,123.309204,205262000,151.979996
2007-06-22,122.936,123.139,121.581,122.149017,204964700,150.550003
2007-06-25,121.897,122.717,120.908,121.564812,232014400,149.830002
2007-06-26,121.873,122.076,120.307,120.315292,198445700,148.289993
2007-06-27,120.186,122.165,120.129,122.027298,213638000,150.399994
2007-06-28,122.011,122.847,121.435,122.011108,157705000,150.380005
2007-06-29,122.433,123.041,121.013,122.051613,199701800,150.429993
2007-07-02,122.409,123.261,122.327,123.155052,103357000,151.789993
2007-07-03,123.472,123.731,123.317,123.601341,54048400,152.339996
2007-07-05,123.65,123.78,123.025,123.471504,89279000,152.179993
2007-07-06,123.634,124.275,123.269,124.120621,81109000,152.979996
2007-07-09,124.267,124.429,123.828,124.217941,72348100,153.100006
2007-07-10,123.561,123.82,122.328,122.449211,180362600,150.919998
2007-07-11,122.311,123.366,122.125,123.317337,175607600,151.990005
2007-07-12,123.626,125.557,123.601,125.264595,133882500,154.389999
2007-07-13,125.411,126.133,125.265,125.637817,111794300,154.850006
2007-07-16,125.751,126.19,125.419,125.62159,98378700,154.830002
2007-07-17,125.703,126.149,125.5,125.556656,126201300,154.75
2007-07-18,125.135,125.597,124.38,125.329491,237887400,154.470001
2007-07-19,125.922,126.19,125.557,125.816307,145212700,155.070007
2007-07-20,125.67,125.751,123.999,124.542473,245502500,153.5
2007-07-23,125.094,125.532,124.38,124.92382,121183900,153.970001
2007-07-24,124.234,125.175,122.319,122.757507,256732400,151.300003
2007-07-25,123.342,123.642,121.906,123.009026,265214500,151.610001
2007-07-26,121.857,122.352,118.774,120.096291,467592500,148.020004
2007-07-27,120.25,120.786,117.687,117.735222,422987600,145.110001
2007-07-30,118.401,119.926,117.881,119.576988,283017500,147.380005
2007-07-31,120.348,121.265,117.678,118.230148,316976700,145.720001
2007-08-01,117.792,119.277,116.794,118.806229,467670000,146.429993
2007-08-02,119.074,119.885,117.857,119.755493,294758400,147.600006
2007-08-03,119.496,119.739,116.186,116.672348,359398200,143.800003
2007-08-06,117.005,119.131,115.642,118.627762,324980000,146.210007
2007-08-07,118.409,120.891,117.833,119.893417,232568700,147.770004
2007-08-08,120.413,122.181,119.545,121.564812,274930600,149.830002
2007-08-09,119.618,120.851,117.881,117.96241,357622100,145.389999
2007-08-10,117.151,118.863,116.121,117.410713,411018400,144.710007
2007-08-13,118.863,119.179,117.662,117.832596,181917200,145.229996
2007-08-14,118.214,118.506,115.796,116.031387,264134500,143.009995
2007-08-15,115.796,117.208,114.092,114.433029,323834000,141.039993
2007-08-16,113.419,115.975,111.155,115.293022,546743700,142.100006
2007-08-17,118.052,118.303,114.717,117.410713,388218100,144.710007
2007-08-20,117.784,118.027,116.259,117.353912,187320400,144.639999
2007-08-21,117.321,118.433,116.948,117.589195,157066400,144.929993
2007-08-22,118.465,119.106,117.914,118.984734,173156700,146.649994
2007-08-23,119.545,119.796,118.141,118.879295,203915300,146.520004
2007-08-24,118.847,120.348,118.685,120.347824,128901900,148.330002
2007-08-27,119.958,120.348,119.05,119.228149,113024300,146.949997
2007-08-28,118.587,118.66,116.397,116.607468,219790700,143.720001
2007-08-29,117.135,119.058,116.802,118.895477,207654200,146.539993
2007-08-30,118.011,119.423,117.897,118.579025,191817300,146.149994
2007-08-31,119.796,120.486,119.131,119.747375,185477500,147.589996
2007-09-04,119.634,121.686,119.593,120.956284,120062000,149.080002
2007-09-05,120.242,120.372,119.269,119.909637,166261800,147.789993
2007-09-06,120.039,120.575,119.366,120.185547,127878400,148.130005
2007-09-07,118.847,119.179,117.857,118.514114,235447600,146.070007
2007-09-10,118.879,119.042,117.102,118.286949,192305900,145.789993
2007-09-11,118.652,119.837,118.563,119.666267,162081900,147.490005
2007-09-12,119.504,120.437,119.252,119.974548,149554600,147.869995
2007-09-13,120.526,121.256,120.242,120.818359,154079000,148.910004
2007-09-14,120.048,120.964,119.869,120.810272,121911000,148.899994
2007-09-17,120.332,120.607,119.78,120.161194,109870800,148.100006
2007-09-18,120.753,123.731,120.186,123.698669,263759500,152.460007
2007-09-19,124.469,125.265,123.902,124.428886,193779900,153.360001
2007-09-20,124.413,124.486,123.415,123.55262,175186800,152.279999
2007-09-21,124.489,124.824,123.699,123.886063,141457500,151.970001
2007-09-24,124.253,124.579,123.389,123.657768,139450200,151.690002
2007-09-25,122.94,123.633,122.663,123.413239,142289900,151.389999
2007-09-26,124.114,124.538,123.413,124.065376,135547000,152.190002
2007-09-27,124.652,124.807,124.065,124.799065,102713300,153.089996
2007-09-28,124.603,124.881,123.894,124.383339,133372100,152.580002
2007-10-01,124.4,126.152,124.318,125.785469,148162300,154.300003
2007-10-02,126.038,126.071,125.386,125.614281,112978800,154.089996
2007-10-03,125.386,125.875,124.734,125.361565,119055900,153.779999
2007-10-04,125.631,125.753,125.207,125.557213,76864400,154.020004
2007-10-05,126.381,127.253,126.054,127.049004,134579700,155.850006
2007-10-08,126.674,126.756,126.169,126.372414,71280400,155.020004
2007-10-09,126.845,127.579,126.381,127.562561,94054300,156.479996
2007-10-10,127.204,127.53,126.69,127.350655,101711100,156.220001
2007-10-11,127.929,128.41,125.981,126.739227,233529100,155.470001
2007-10-12,126.731,127.457,126.576,127.440323,124546700,156.330002
2007-10-15,127.391,127.465,125.492,126.36425,161151900,155.009995
2007-10-16,125.875,125.965,125.109,125.361565,166525700,153.779999
2007-10-17,126.34,126.429,124.294,125.744675,216687300,154.25
2007-10-18,125.093,125.696,124.791,125.288185,148367500,153.690002
2007-10-19,124.799,127.563,122.003,122.011124,297169900,149.669998
2007-10-22,121.351,122.9,121.188,122.720345,261989800,150.539993
2007-10-23,123.47,123.87,122.484,123.714836,180085100,151.759995
2007-10-24,123.266,123.699,121.334,123.486595,326694200,151.479996
2007-10-25,123.625,124.147,122.182,123.78009,237374500,151.839996
2007-10-26,124.775,125.231,123.829,125.231087,176484000,153.619995
2007-10-29,125.484,125.9,125.174,125.646851,106841000,154.130005
2007-10-30,125.093,125.337,124.62,124.774628,132981600,153.059998
2007-10-31,125.525,126.576,124.595,126.070816,220954400,154.649994
2007-11-01,124.962,125.06,122.761,123.119736,333040800,151.029999
2007-11-02,123.527,123.911,121.636,123.258347,331228200,151.199997
2007-11-05,121.987,123.226,121.44,122.320869,226841000,150.050003
2007-11-06,122.981,124,122.199,123.96756,177800500,152.070007
2007-11-07,122.639,123.201,120.283,120.57634,306639700,147.910004
2007-11-08,120.642,120.976,118.261,119.964958,374509900,147.160004
2007-11-09,118.767,120.275,118.114,118.31823,277745100,145.139999
2007-11-12,118.375,119.517,117.144,117.144341,243087800,143.699997
2007-11-13,118.506,120.902,118.383,120.714905,191117400,148.080002
2007-11-14,121.644,121.791,119.655,120.380646,230558800,147.669998
2007-11-15,119.484,120.234,117.813,118.644287,263111100,145.539993
2007-11-16,119.272,119.402,117.854,118.848122,308770600,145.789993
2007-11-19,118.432,118.498,116.729,117.193245,267746000,143.759995
2007-11-20,117.405,118.636,115.848,117.910614,414767500,144.639999
2007-11-21,116.639,117.316,115.489,115.497612,259012400,141.679993
2007-11-23,116.631,117.666,116.329,117.494865,77688400,144.130005
2007-11-26,117.739,118.106,114.666,114.902542,214232000,140.949997
2007-11-27,115.547,116.761,114.903,116.223183,293897900,142.570007
2007-11-28,117.544,120.218,117.503,119.94046,258596900,147.130005
2007-11-29,119.525,120.421,119.101,119.981186,199409900,147.179993
2007-11-30,121.497,122.174,120.103,121.187691,222908000,148.660004
2007-12-03,120.805,121.017,120.071,120.388809,146430400,147.679993
2007-12-04,119.557,120.275,119.272,119.312775,136533900,146.360001
2007-12-05,120.593,121.628,120.511,121.309975,171130000,148.809998
2007-12-06,121.163,123.267,121.114,123.046394,154457400,150.940002
2007-12-07,123.438,123.503,122.728,123.021896,148980100,150.910004
2007-12-10,123.324,124.114,122.981,123.975708,123914300,152.080002
2007-12-11,124.025,124.636,120.511,120.57634,250346400,147.910004
2007-12-12,123.144,123.723,119.997,121.766457,322435600,149.369995
2007-12-13,120.911,121.783,120.079,121.513817,237551300,149.059998
2007-12-14,120.593,121.546,119.916,119.973106,159152900,147.169998
2007-12-17,119.517,119.728,118.09,118.261116,177269400,145.070007
2007-12-18,119.101,119.411,117.356,118.921486,245569300,145.880005
2007-12-19,118.97,119.745,118.155,118.921486,198917200,145.880005
2007-12-20,119.704,119.72,118.351,119.671463,214813800,146.800003
2007-12-21,120.774,121.634,120.544,121.396614,146084400,148.130005
2007-12-24,121.962,122.503,121.683,122.298042,45601400,149.229996
2007-12-26,121.823,122.667,121.7,122.560265,67093100,149.550003
2007-12-27,122.126,122.134,120.733,121.019562,122981700,147.669998
2007-12-28,121.733,121.79,120.389,120.71637,116398100,147.300003
2007-12-31,120.552,120.97,119.7,119.82309,108126800,146.210007
2008-01-02,120.085,120.462,117.914,118.774048,204935600,144.929993
2008-01-03,118.758,119.233,118.069,118.716728,125133300,144.860001
2008-01-04,117.471,117.553,115.48,115.807358,232330900,141.309998
2008-01-07,116.217,116.561,114.816,115.70903,234991000,141.190002
2008-01-08,116.438,117.11,113.455,113.840546,326365700,138.910004
2008-01-09,113.988,115.381,112.849,115.037018,301824900,140.369995
2008-01-10,114.472,117.028,114.218,115.790993,335701200,141.289993
2008-01-11,115.373,116.291,113.914,114.856728,267076600,140.149994
2008-01-14,115.684,116.258,115.062,115.782837,170365500,141.279999
2008-01-15,114.562,115.955,113.013,113.234062,239940100,138.169998
2008-01-16,112.57,114.013,111.685,112.258827,378802600,136.979996
2008-01-17,112.939,112.996,108.94,109.34951,397892600,133.429993
2008-01-18,110.423,110.653,107.44,108.226761,348561500,132.059998
2008-01-22,104.252,108.53,103.26,107.128586,435923700,130.720001
2008-01-23,104.154,109.972,103.949,109.701912,511913000,133.860001
2008-01-24,110.21,111.013,109.251,110.627991,259949300,134.990005
2008-01-25,111.874,112.079,108.669,109.0299,269603900,133.039993
2008-01-28,109.21,111.062,108.227,110.83284,217934600,135.240005
2008-01-29,111.538,111.824,110.538,111.381943,168968300,135.910004
2008-01-30,111.111,113.537,110.308,110.562408,334939200,134.910004
2008-01-31,109.325,113.537,109.161,112.578438,343680800,137.369995
2008-02-01,113.046,114.414,112.701,114.389626,206843600,139.580002
2008-02-04,114.086,114.16,112.8,112.947266,124694300,137.820007
2008-02-05,111.407,111.661,109.546,109.923172,286882500,134.130005
2008-02-06,110.292,110.841,108.514,109.038086,250792900,133.050003
2008-02-07,108.014,110.464,107.956,109.759254,297368100,133.929993
2008-02-08,109.071,109.997,108.26,109.05452,221643500,133.070007
2008-02-11,109.079,110.005,108.21,109.611755,188576300,133.75
2008-02-12,110.562,111.71,109.8,110.627991,256654400,134.990005
2008-02-13,111.464,112.324,110.751,111.758934,181967800,136.369995
2008-02-14,112.234,112.275,110.464,110.775513,215207200,135.169998
