"Date","STIP.Open","STIP.High","STIP.Low","STIP.Close","STIP.Volume","STIP.Adjusted"
2015-08-24,100.466,100.517,100.294,99.029999,255400,97.723022
2015-08-25,NA,NA,NA,0,NA,0
2015-08-26,NA,NA,NA,0,NA,0
2015-08-27,NA,NA,NA,0,NA,0
2015-08-28,NA,NA,NA,0,NA,0
2015-08-31,NA,NA,NA,0,NA,0
2015-09-01,NA,NA,NA,0,NA,0
2015-09-02,NA,NA,NA,0,NA,0
2015-09-03,NA,NA,NA,0,NA,0
2015-09-04,NA,NA,NA,0,NA,0
2015-09-08,NA,NA,NA,0,NA,0
2015-09-09,NA,NA,NA,0,NA,0
2015-09-10,NA,NA,NA,0,NA,0
2015-09-11,NA,NA,NA,0,NA,0
2015-09-14,NA,NA,NA,0,NA,0
2015-09-15,NA,NA,NA,0,NA,0
2015-09-16,NA,NA,NA,0,NA,0
2015-09-17,NA,NA,NA,0,NA,0
2015-09-18,NA,NA,NA,0,NA,0
2015-09-21,NA,NA,NA,0,NA,0
2015-09-22,NA,NA,NA,0,NA,0
2015-09-23,NA,NA,NA,0,NA,0
2015-09-24,NA,NA,NA,0,NA,0
2015-09-25,NA,NA,NA,0,NA,0
2015-09-28,NA,NA,NA,0,NA,0
2015-09-29,NA,NA,NA,0,NA,0
2015-09-30,NA,NA,NA,0,NA,0
2015-10-01,NA,NA,NA,0,NA,0
2015-10-02,NA,NA,NA,0,NA,0
2015-10-05,NA,NA,NA,0,NA,0
2015-10-06,NA,NA,NA,0,NA,0
2015-10-07,NA,NA,NA,0,NA,0
2015-10-08,NA,NA,NA,0,NA,0
2015-10-09,NA,NA,NA,0,NA,0
2015-10-12,NA,NA,NA,0,NA,0
2015-10-13,NA,NA,NA,0,NA,0
2015-10-14,NA,NA,NA,0,NA,0
2015-10-15,NA,NA,NA,0,NA,0
2015-10-16,NA,NA,NA,0,NA,0
2015-10-19,NA,NA,NA,0,NA,0
2015-10-20,NA,NA,NA,0,NA,0
2015-10-21,NA,NA,NA,0,NA,0
2015-10-22,NA,NA,NA,0,NA,0
2015-10-23,NA,NA,NA,0,NA,0
2015-10-26,100.729,100.76,100.669,99.379997,26100,98.068413
2015-10-27,100.81,100.821,100.76,99.43,19400,98.117752
2015-10-28,100.78,100.78,100.537,99.209999,12400,97.90065
2015-10-29,100.456,100.577,100.456,99.209999,15200,97.90065
2015-10-30,100.618,100.648,100.537,99.269997,25400,97.959862
2015-11-02,100.547,100.588,100.517,99.220001,18900,97.910522
2015-11-03,100.638,100.669,100.567,99.309998,18100,97.999336
2015-11-04,100.618,100.618,100.405,99.160004,35700,97.851318
2015-11-05,100.466,100.466,100.334,99.050003,14800,97.742767
2015-11-06,100.223,100.263,100.162,98.910004,18700,97.604622
2015-11-09,100.273,100.324,100.243,98.919998,26700,97.614479
2015-11-10,100.294,100.385,100.253,98.93,16700,97.624344
