"Date","TFI.Open","TFI.High","TFI.Low","TFI.Close","TFI.Volume","TFI.Adjusted"
2007-09-13,30.179,30.179,30.152,22.200001,21000,32.660702
2007-09-14,30.207,30.22,30.207,22.23,16800,32.704811
2007-09-17,30.22,30.234,30.193,22.23,46500,32.704811
2007-09-18,30.22,30.247,30.098,22.200001,91500,32.660702
2007-09-19,30.057,30.071,29.907,22.07,16200,32.469448
2007-09-20,29.975,29.975,29.676,21.85,15400,32.145763
2007-09-21,29.812,29.948,29.812,22.030001,9000,32.410599
2007-09-24,29.908,29.908,29.84,21.99,19400,32.351738
2007-09-25,29.962,29.975,29.948,22.030001,39300,32.410599
2007-09-26,29.975,30.003,29.948,22.049999,23600,32.440002
2007-09-27,29.989,30.003,29.908,22.049999,8600,32.440002
2007-09-28,29.975,30.003,29.921,22.040001,23700,32.425285
2007-10-01,29.886,29.94,29.886,22.059999,28100,32.507813
2007-10-02,29.913,29.954,29.886,22.030001,32200,32.463608
2007-10-03,29.954,29.981,29.872,22.049999,25900,32.493099
2007-10-04,29.981,29.994,29.954,22.09,55100,32.552044
2007-10-05,29.981,29.981,29.642,22.059999,17900,32.507813
2007-10-08,29.859,29.954,29.859,22.049999,45800,32.493099
2007-10-09,29.981,29.994,29.927,22.08,17100,32.537289
2007-10-10,29.94,29.967,29.94,22.07,29000,32.522572
2007-10-11,29.913,29.913,29.818,22.040001,24100,32.478363
2007-10-12,29.927,29.981,29.913,22.049999,32000,32.493099
2007-10-15,29.913,29.913,29.859,22.01,15000,32.434155
2007-10-16,29.967,30.076,29.628,22.02,35700,32.448875
2007-10-17,29.981,30.035,29.899,22.120001,18700,32.596245
2007-10-18,30.062,30.062,30.049,22.139999,118300,32.625721
2007-10-19,30.076,30.157,30.076,22.209999,20400,32.72887
2007-10-22,30.225,30.239,30.117,22.23,26000,32.758331
2007-10-23,30.266,30.266,30.157,22.23,6200,32.758331
2007-10-24,30.374,30.374,30.157,22.23,13000,32.758331
2007-10-25,30.117,30.157,30.076,22.16,15000,32.655182
2007-10-26,30.103,30.13,30.049,22.18,14600,32.684643
2007-10-29,30.089,30.103,30.062,22.18,10700,32.684643
2007-10-30,30.103,30.103,30.062,22.18,21900,32.684643
2007-10-31,29.994,30.361,29.954,22.09,16600,32.552044
2007-11-01,29.883,29.964,29.856,22.07,12800,32.62891
2007-11-02,29.815,29.964,29.815,22.15,8300,32.747162
2007-11-05,29.964,29.964,29.842,22.09,20500,32.658489
2007-11-06,29.924,29.924,29.721,22.09,11800,32.658489
2007-11-07,29.924,30.072,29.707,22.030001,14900,32.569778
