"Date","TLT.Open","TLT.High","TLT.Low","TLT.Close","TLT.Volume","TLT.Adjusted"
2007-01-03,62.686,62.855,62.292,62.57349,1870400,89.059998
2007-01-04,62.686,62.988,62.686,62.952843,1697000,89.599998
2007-01-05,62.391,62.812,62.356,62.678894,1298400,89.209999
2007-01-08,62.616,62.791,62.566,62.79126,414200,89.370003
2007-01-09,62.869,62.869,62.686,62.79126,481500,89.370003
2007-01-10,62.581,62.623,62.447,62.510262,519600,88.970001
2007-01-11,62.384,62.391,62.011,62.144886,1293500,88.449997
2007-01-12,61.934,62.419,61.758,61.856819,846300,88.040001
2007-01-16,61.99,61.997,61.85,61.990341,702800,88.230003
2007-01-17,61.976,62.018,61.702,61.800598,724200,87.959999
2007-01-18,61.787,62.025,61.674,61.990341,918300,88.230003
2007-01-19,61.934,61.934,61.737,61.82169,882500,87.989998
2007-01-22,61.934,62.061,61.913,61.969231,432000,88.199997
2007-01-23,61.843,61.864,61.527,61.561691,1096800,87.620003
2007-01-24,61.59,61.618,61.477,61.554703,463700,87.610001
2007-01-25,61.442,61.456,61.042,61.112099,1397000,86.980003
2007-01-26,60.972,61.182,60.88,61.062859,1576800,86.910004
2007-01-29,61.168,61.196,60.845,60.929405,1015300,86.720001
2007-01-30,61.049,61.063,60.957,60.999641,1295100,86.82
2007-01-31,60.915,61.555,60.915,61.51252,2078000,87.550003
2007-02-01,61.834,61.911,61.375,61.438446,986200,87.089996
2007-02-02,61.431,61.65,61.431,61.516079,814700,87.199997
2007-02-05,61.657,61.699,61.488,61.600697,395500,87.32
2007-02-06,61.516,61.961,61.488,61.939362,770500,87.800003
2007-02-07,62.01,62.165,61.968,62.122787,836200,88.059998
2007-02-08,62.073,62.299,62.017,62.172203,980200,88.129997
2007-02-09,62.003,62.024,61.763,61.819408,878300,87.629997
2007-02-12,61.721,61.834,61.608,61.67831,467600,87.43
2007-02-13,61.721,61.721,61.516,61.544277,1310600,87.239998
2007-02-14,61.742,62.215,61.742,62.129845,2262500,88.07
2007-02-15,62.454,62.49,62.313,62.313267,893800,88.330002
2007-02-16,62.497,62.588,62.419,62.531967,1476700,88.639999
2007-02-20,62.433,62.68,62.433,62.673027,847400,88.839996
2007-02-21,62.454,62.574,62.419,62.567207,379800,88.690002
2007-02-22,62.37,62.398,62.144,62.228539,485200,88.209999
2007-02-23,62.454,62.744,62.426,62.673027,735700,88.839996
2007-02-26,62.892,63.096,62.864,63.089287,763400,89.43
2007-02-27,63.308,64.38,63.209,63.886402,3243200,90.559998
2007-02-28,63.604,63.823,63.414,63.597206,1701900,90.150002
2007-03-01,63.932,64.038,63.486,63.556824,2423900,89.75
2007-03-02,63.706,64.074,63.5,63.875507,1619800,90.199997
2007-03-05,64.074,64.088,63.776,63.981716,1505200,90.349998
2007-03-06,63.776,63.989,63.727,63.790508,837400,90.080002
2007-03-07,63.791,64.088,63.72,64.038353,915400,90.43
2007-03-08,63.939,64.031,63.812,63.981716,574700,90.349998
2007-03-09,63.295,63.663,63.16,63.308945,1534700,89.400002
2007-03-12,63.543,63.72,63.507,63.556824,594400,89.75
2007-03-13,63.897,63.975,63.72,63.93924,553800,90.290001
2007-03-14,63.84,64.116,63.621,63.648869,1698100,89.879997
2007-03-15,63.564,63.706,63.5,63.641788,394900,89.870003
2007-03-16,63.5,63.677,63.486,63.62764,623800,89.849998
2007-03-19,63.436,63.521,63.394,63.493084,693900,89.660004
2007-03-20,63.67,63.698,63.514,63.528488,768400,89.709999
2007-03-21,63.295,63.798,62.806,63.556824,1513400,89.75
2007-03-22,63.366,63.366,62.905,63.054043,1484300,89.040001
2007-03-23,63.16,63.167,62.87,62.876995,1679700,88.790001
2007-03-26,62.757,63.217,62.672,62.954899,763600,88.900002
2007-03-27,62.771,62.891,62.714,62.848621,619800,88.75
2007-03-28,62.962,63.104,62.608,62.72118,816900,88.57
2007-03-29,62.7,62.792,62.544,62.636219,823000,88.449997
2007-03-30,62.778,62.969,62.473,62.515816,2015100,88.279999
2007-04-02,62.627,62.705,62.556,62.619629,579600,88.099998
2007-04-03,62.563,62.669,62.534,62.541443,617000,87.989998
2007-04-04,62.669,62.79,62.477,62.605404,576900,88.080002
2007-04-05,62.62,62.634,62.342,62.370834,436400,87.75
2007-04-09,62.037,62.058,61.93,61.958599,1283900,87.169998
2007-04-10,62.115,62.229,62.058,62.143398,674400,87.43
2007-04-11,62.172,62.25,62.037,62.100758,476200,87.370003
2007-04-12,62.193,62.243,62.037,62.114944,495100,87.389999
2007-04-13,62.129,62.172,61.845,61.923054,557800,87.120003
2007-04-16,62.122,62.321,62.122,62.264214,833600,87.599998
2007-04-17,62.47,62.662,62.435,62.612503,1254200,88.089996
2007-04-18,62.812,62.947,62.804,62.925259,450800,88.529999
2007-04-19,63.018,63.053,62.691,62.818584,1305900,88.379997
2007-04-20,62.868,62.868,62.591,62.655144,664500,88.150002
2007-04-23,62.648,62.968,62.577,62.88258,419000,88.470001
2007-04-24,62.868,63.131,62.868,63.117165,881300,88.800003
2007-04-25,62.954,63.11,62.627,62.89682,569000,88.489998
2007-04-26,62.854,62.854,62.442,62.441887,2048400,87.849998
2007-04-27,62.556,62.584,62.392,62.427734,428700,87.830002
2007-04-30,62.783,63.082,62.726,63.081615,485700,88.75
2007-05-01,63.191,63.234,62.856,63.127251,487200,88.489998
2007-05-02,63.092,63.12,62.985,63.091602,443900,88.440002
