"Date","VB.Open","VB.High","VB.Low","VB.Close","VB.Volume","VB.Adjusted"
2007-01-03,80.034,80.466,78.972,68.190002,97800,58.405312
2007-01-04,79.509,79.824,78.995,68.290001,358300,58.490982
2007-01-05,79.485,83.128,78.423,67.169998,66600,57.531685
2007-01-08,78.598,78.878,77.956,67.410004,61000,57.737247
2007-01-09,78.82,79.007,78.049,67.599998,64100,57.899998
2007-01-10,78.575,79.1,78.365,67.610001,29200,57.90855
2007-01-11,79.275,80.139,79.182,68.459999,48300,58.636581
2007-01-12,80.046,80.653,79.929,69.080002,33800,59.167606
2007-01-16,80.816,80.968,80.128,68.769997,49700,58.902088
2007-01-17,80.081,80.548,80.046,68.639999,39300,58.790756
2007-01-18,79.976,80.058,79.1,67.870003,50900,58.131233
2007-01-19,79.159,79.894,79.018,68.43,27400,58.610886
2007-01-22,79.777,79.777,79.089,67.879997,38200,58.139805
2007-01-23,79.334,80.314,79.252,68.489998,42300,58.662281
2007-01-24,80.151,80.875,80.116,69.269997,36600,59.330338
2007-01-25,81.027,81.027,79.754,68.470001,41900,58.64513
2007-01-26,80.209,80.384,79.602,68.739998,42600,58.876396
2007-01-29,80.396,80.91,80.268,69.089996,47900,59.176186
2007-01-30,80.91,81.237,80.665,69.550003,33200,59.57016
2007-01-31,81.178,81.774,80.735,69.800003,47500,59.784306
2007-02-01,81.762,82.299,81.657,70.480003,32100,60.366718
2007-02-02,82.591,82.591,82.194,70.629997,36200,60.495193
2007-02-05,82.451,82.626,82.124,70.419998,47700,60.31535
2007-02-06,82.544,82.685,82.124,70.82,54800,60.657936
2007-02-07,82.813,83.187,82.603,71.230003,40700,61.009113
2007-02-08,83.245,83.315,82.778,71.309998,49800,61.077641
2007-02-09,83.303,83.373,81.984,70.690002,32700,60.546604
2007-02-12,82.638,82.638,81.867,70.400002,103600,60.298206
2007-02-13,82.369,82.86,82.369,70.970001,102800,60.786427
2007-02-14,83.07,83.443,82.801,71.139999,58000,60.932014
2007-02-15,83.093,83.537,82.906,71.360001,99400,61.120457
2007-02-16,83.303,83.595,82.93,71.559998,233600,61.291748
2007-02-20,83.467,84.389,83.058,72.169998,39200,61.81422
2007-02-21,84.051,84.471,83.945,72.330002,30500,61.951263
2007-02-22,84.646,84.739,84.062,72.550003,59700,62.139709
2007-02-23,84.646,84.646,84.062,72.279999,39100,61.908455
2007-02-26,84.763,84.763,83.677,72.120003,52400,61.7714
2007-02-27,82.883,83.478,80.688,69.110001,100700,59.19331
2007-02-28,81.027,81.821,80.338,69.75,87700,59.741474
2007-03-01,80.174,81.68,79.392,69.440002,66400,59.475964
2007-03-02,80.758,81.015,79.485,68.279999,147800,58.482414
2007-03-05,78.692,79.789,77.991,66.800003,68600,57.214779
2007-03-06,78.668,80.093,78.668,68.470001,33300,58.64513
2007-03-07,79.917,80.303,79.579,68.25,35700,58.456703
