"Date","VCIT.Open","VCIT.High","VCIT.Low","VCIT.Close","VCIT.Volume","VCIT.Adjusted"
2009-11-23,99.251,99.409,99.251,75.160004,2300,56.825863
2009-11-24,99.767,99.859,99.595,75.5,5000,57.082912
2009-11-25,99.819,100.177,99.674,75.599998,6000,57.158508
2009-11-27,101.102,101.102,100.097,75.730003,1900,57.256802
2009-11-30,100.137,100.441,100.137,75.940002,8400,57.415573
2009-12-01,100.362,100.481,100.084,75.669998,9700,57.211452
2009-12-02,100.097,100.11,99.991,75.599998,1900,57.158508
2009-12-03,99.991,100.11,99.819,75.690002,51100,57.226582
2009-12-04,99.753,99.819,99.581,75.400002,9200,57.007305
2009-12-07,99.859,99.938,99.846,75.550003,6100,57.120758
2009-12-08,100.349,100.52,100.071,75.769997,28500,57.287048
2009-12-09,100.468,100.468,100.005,75.699997,6300,57.234119
2009-12-10,99.952,100.229,99.859,75.760002,5200,57.279476
2009-12-11,100.084,100.229,99.7,75.559998,7300,57.1283
2009-12-14,99.965,100.163,99.912,75.650002,11600,57.196327
2009-12-15,100.005,100.124,99.793,75.639999,28600,57.188774
2009-12-16,100.811,100.811,100.124,75.870003,29800,57.362679
2009-12-17,101.063,101.063,100.229,76.019997,10100,57.476063
2009-12-18,100.6,100.653,100.428,75.949997,6500,57.423157
2009-12-21,100.415,100.415,99.806,75.529999,16700,57.105595
2009-12-22,99.621,99.7,99.621,75.370003,7400,56.984627
2009-12-23,99.965,99.991,99.661,75.43,5400,57.030018
2009-12-24,98.66,98.739,98.542,74.910004,7100,56.945614
2009-12-28,98.449,98.449,98.055,74.540001,14700,56.66433
2009-12-29,98.384,98.397,97.476,74.779999,17100,56.84679
2009-12-30,98.647,98.66,98.344,74.879997,21800,56.922813
2009-12-31,98.305,98.555,98.173,74.889999,107800,56.930424
2010-01-04,98.936,98.936,98.528,75.160004,83000,57.135654
2010-01-05,99.16,99.554,99.12,75.660004,58300,57.515774
2010-01-06,99.712,99.739,99.318,75.5,15100,57.394138
2010-01-07,99.712,99.791,99.41,75.739998,8900,57.576576
2010-01-08,99.66,99.923,99.449,75.82,28400,57.637398
2010-01-11,99.896,99.91,99.594,75.790001,22800,57.614597
2010-01-12,100.712,100.712,100.041,76.169998,8900,57.903469
2010-01-13,100.239,100.317,99.857,75.940002,35000,57.728592
2010-01-14,99.989,100.146,99.883,76.099998,37400,57.85022
