"Date","VEA.Open","VEA.High","VEA.Low","VEA.Close","VEA.Volume","VEA.Adjusted"
2007-07-26,65.922,66.18,64.589,47.900002,101000,35.226604
2007-07-27,64.97,65.323,64.113,47.169998,579000,34.689751
2007-07-30,65.092,65.459,64.807,47.959999,298400,35.270737
2007-07-31,65.962,66.18,65.133,47.900002,210400,35.226604
2007-08-01,64.834,66.629,64.235,48.099998,353900,35.37368
2007-08-02,65.16,65.459,64.807,47.959999,251800,35.270737
2007-08-03,65.024,65.024,64.099,47.169998,309600,34.689751
2007-08-06,64.303,65.133,64.249,47.889999,232100,35.219246
2007-08-07,64.453,65.595,64.453,47.959999,181800,35.270737
2007-08-08,65.813,66.493,65.786,48.68,135700,35.800236
2007-08-09,64.535,65.065,64.181,47.220001,195800,34.726524
2007-08-10,64.249,64.249,62.808,46.59,291300,34.26321
2007-08-13,63.95,64.059,63.46,46.669998,133700,34.322044
2007-08-14,63.787,63.787,62.617,46.07,64200,33.880787
2007-08-15,61.856,62.536,61.149,44.98,345800,33.079178
2007-08-16,60.822,60.904,59.408,44.77,552000,32.924744
2007-08-17,62.141,62.141,61.026,45.400002,403200,33.388069
2007-08-20,62.046,62.046,61.19,45.459999,672200,33.432175
2007-08-21,61.638,62.046,61.638,45.450001,41200,33.424831
2007-08-22,62.794,63.352,62.794,46.59,96800,34.26321
2007-08-23,63.841,63.923,63.229,46.790001,329600,34.410294
2007-08-24,63.651,64.643,63.624,47.540001,112700,34.961849
2007-08-27,64.317,64.317,64.004,47.07,111200,34.616203
2007-08-28,63.583,63.583,62.413,45.919998,256100,33.770473
2007-08-29,63.297,64.113,63.052,47.139999,177400,34.667686
2007-08-30,63.134,64.086,63.134,46.799999,173300,34.417645
2007-08-31,64.942,65.242,64.63,47.860001,684900,35.197208
2007-09-04,64.752,65.514,64.548,48.09,136700,35.366333
2007-09-05,64.385,64.467,64.086,47.259998,90600,34.755943
2007-09-06,64.439,64.807,64.167,47.540001,278000,34.961849
2007-09-07,63.923,64.004,63.556,46.880001,197200,34.476482
2007-09-10,63.909,63.963,63.039,46.689999,176800,34.336746
2007-09-11,64.127,64.643,64.127,47.529999,685900,34.954502
2007-09-12,64.317,64.82,64.249,47.490002,56200,34.925098
2007-09-13,64.902,65.146,64.793,47.75,137700,35.116306
2007-09-14,64.29,64.766,64.222,47.529999,164700,34.954502
2007-09-17,64.086,64.167,63.501,46.860001,99400,34.461788
2007-09-18,64.072,65.922,63.991,48.349998,147200,35.557552
2007-09-19,66.397,66.805,66.316,48.860001,115100,35.932617
2007-09-20,66.479,66.765,66.275,48.759998,378600,35.859066
2007-09-21,66.805,66.996,66.615,49.110001,212800,36.116474
2007-09-24,67.091,67.091,66.642,49.060001,165400,36.079689
2007-09-25,66.547,67.037,66.479,49.299999,56100,36.256199
2007-09-26,67.363,67.431,67.091,49.48,94000,36.388573
2007-09-27,68.07,68.097,67.757,50.07,191900,36.822464
2007-09-28,68.179,68.41,67.839,50.139999,258000,36.873962
2007-10-01,68.179,69.226,68.179,50.860001,640000,37.40345
2007-10-02,69.035,69.049,68.641,50.700001,375000,37.285778
2007-10-03,68.831,68.872,68.519,50.419998,581100,37.079861
2007-10-04,68.845,68.967,68.559,50.639999,815600,37.241653
2007-10-05,69.158,69.688,69.144,51.130001,405800,37.602016
2007-10-08,69.063,69.076,68.736,50.639999,245200,37.241653
2007-10-09,69.022,69.715,69.022,51.27,183200,37.704971
2007-10-10,69.403,69.606,69.239,51.119999,202700,37.594666
2007-10-11,70.273,70.599,69.729,51.369999,154000,37.778519
2007-10-12,69.756,70.205,69.647,51.52,180400,37.888836
2007-10-15,70.042,70.055,69.267,51.080002,299500,37.565239
2007-10-16,68.763,68.831,68.41,50.380001,476200,37.05043
2007-10-17,69.403,69.443,68.763,50.900002,266400,37.432877
2007-10-18,69.144,69.511,69.063,51.02,165100,37.521122
2007-10-19,68.995,69.008,67.88,49.950001,365600,36.734219
2007-10-22,67.376,67.716,67.159,49.779999,493200,36.609192
2007-10-23,68.627,68.818,68.22,50.599998,408300,37.212238
2007-10-24,68.505,68.614,67.621,50.439999,197500,37.094578
2007-10-25,68.641,68.899,68.355,50.619999,513000,37.226959
2007-10-26,69.702,70.191,69.607,51.57,79500,37.925591
2007-10-29,70.3,70.776,70.3,52.040001,135500,38.271244
2007-10-30,70.259,70.45,70.218,51.66,126000,37.991791
2007-10-31,70.613,71.524,70.436,52.360001,247300,38.506584
2007-11-01,70.096,70.096,69.416,51.049999,514500,37.543175
2007-11-02,69.498,69.906,69.158,51.349998,390400,37.763802
2007-11-05,68.709,69.158,68.627,50.759998,268000,37.32991
2007-11-06,69.742,70.001,69.416,51.48,191100,37.859413
2007-11-07,69.579,69.797,68.573,50.490002,634900,37.131351
2007-11-08,69.022,69.212,68.26,50.830002,358900,37.381393
2007-11-09,68.872,68.872,67.363,49.639999,221900,36.506245
2007-11-12,66.941,67.336,66.343,48.849998,254500,35.925255
2007-11-13,67.553,68.41,67.526,50.290001,346200,36.984272
2007-11-14,69.375,69.375,67.988,50.110001,118900,36.851883
2007-11-15,67.308,67.553,66.479,49.200001,363100,36.182655
2007-11-16,67.349,67.349,66.629,49.389999,518900,36.32238
2007-11-19,67.308,67.308,65.16,48.150002,341900,35.410473
2007-11-20,66.493,67.037,66.112,49.139999,321100,36.138519
2007-11-21,66.792,66.792,65.01,48.139999,212800,35.403111
2007-11-23,65.718,69.321,65.663,49.18,137500,36.167946
2007-11-26,67.472,67.472,65.854,48.43,352100,35.616375
2007-11-27,66.601,66.982,66.221,49.25,254800,36.219421
2007-11-28,67.173,68.804,67.173,50.529999,280400,37.160759
2007-11-29,68.206,68.559,67.907,50.209999,177000,36.925426
2007-11-30,68.559,69.593,68.288,50.389999,346200,37.0578
2007-12-03,68.6,68.6,68.233,50.200001,245800,36.918068
2007-12-04,68.26,68.641,67.744,49.849998,319400,36.660683
2007-12-05,68.478,68.94,68.451,50.549999,214700,37.175468
2007-12-06,68.043,69.375,68.043,51.02,375500,37.521122
2007-12-07,69.158,69.212,68.967,50.82,533500,37.37402
2007-12-10,69.403,69.824,69.389,51.310001,230500,37.734398
2007-12-11,69.783,69.878,67.893,50.060001,212500,36.815125
2007-12-12,70.069,70.069,68.668,50.849998,511500,37.396099
2007-12-13,67.961,68.26,67.295,49.990002,512600,36.763634
2007-12-14,67.948,67.948,66.085,48.639999,399900,35.770817
2007-12-17,66.397,66.397,64.684,47.59,349100,34.998623
2007-12-18,65.718,65.758,64.589,48.110001,462100,35.381039
2007-12-19,65.881,65.881,64.589,47.779999,387800,35.138359
2007-12-20,65.269,65.337,64.847,47.939999,284100,35.25602
2007-12-21,65.949,66.261,65.881,48.73,743100,35.837002
2007-12-24,65.612,65.612,63.51,47.950001,307400,36.04372
2007-12-26,64.202,65.186,63.696,48.220001,219900,36.246681
2007-12-27,67.049,67.049,63.55,47.779999,387000,35.915932
2007-12-28,64.295,64.335,64.015,48.290001,388500,36.299297
2007-12-31,64.361,64.388,63.523,47.919998,528900,36.021168
2008-01-02,64.215,64.375,62.778,47.810001,688200,35.93848
2008-01-03,63.723,63.882,63.55,47.889999,225300,35.998615
2008-01-04,63.244,63.257,62.14,46.84,411100,35.209339
2008-01-07,62.525,62.565,62.02,46.900002,759900,35.254448
2008-01-08,63.018,63.191,61.834,46.52,368600,34.9688
2008-01-09,62.326,62.432,61.581,46.82,229400,35.194305
2008-01-10,62.126,63.763,61.541,46.77,388200,35.156719
2008-01-11,62.047,62.047,60.929,45.959999,207700,34.547848
2008-01-14,62.206,62.233,61.794,46.700001,172700,35.104103
2008-01-15,61.78,61.78,60.064,45.23,322000,33.999115
2008-01-16,59.958,60.051,57.484,44.299999,545800,33.300034
2008-01-17,59.772,59.772,57.75,43.549999,484400,32.736275
2008-01-18,59.12,59.279,57.829,43.709999,428600,32.856533
2008-01-22,55.874,74.645,54.464,42.470001,461800,31.924448
2008-01-23,54.663,56.991,53.413,42.380001,708800,31.856783
2008-01-24,56.938,58.056,56.925,43.560001,365500,32.74379
2008-01-25,61.568,65.253,57.297,43.369999,508200,32.600967
2008-01-28,57.803,58.175,56.805,43.709999,311600,32.856533
2008-01-29,59.053,59.053,58.002,44.02,433300,33.089565
2008-01-30,58.987,59.479,57.776,43.73,192900,32.871574
2008-01-31,57.63,59.346,57.244,44.380001,348100,33.360176
2008-02-01,60.397,60.397,59.173,45,451700,33.826225
2008-02-04,59.426,59.705,59.24,44.540001,241700,33.480453
2008-02-05,58.787,59.572,56.725,42.759998,494000,32.142429
2008-02-06,57.47,57.523,56.659,42.650002,724600,32.059742
2008-02-07,56.659,56.699,55.834,42.349998,761900,31.834232
2008-02-08,56.699,56.699,55.408,41.939999,254200,31.526045
2008-02-11,55.355,56.153,55.355,42.09,329100,31.6388
2008-02-12,56.885,57.643,56.778,42.91,280400,32.255188
2008-02-13,57.816,57.816,56.898,43.16,212900,32.4431
2008-02-14,58.774,58.774,57.271,43.119999,360800,32.413044
2008-02-15,57.43,57.483,57.018,43.18,220800,32.458149
2008-02-19,58.747,58.787,57.896,43.790001,426900,32.916679
2008-02-20,58.069,58.069,56.925,43.389999,315100,32.615993
2008-02-21,58.295,58.455,57.696,43.459999,291000,32.668617
2008-02-22,58.335,58.428,57.457,43.919998,338800,33.014404
2008-02-25,58.761,59.359,58.335,44.57,469100,33.502995
2008-02-26,59.692,60.53,59.253,45.330002,385800,34.074276
2008-02-27,60.33,60.716,59.852,45.400002,414500,34.126892
2008-02-28,60.051,60.237,59.665,45.040001,371700,33.856297
2008-02-29,59.639,59.639,58.282,43.93,408000,33.021912
2008-03-03,58.428,58.548,58.002,43.939999,504400,33.029427
2008-03-04,57.577,57.949,57.005,43.369999,306900,32.600967
2008-03-05,58.228,58.721,57.869,43.810001,280100,32.931705
2008-03-06,58.428,58.495,57.51,43.360001,411400,32.593449
2008-03-07,57.191,57.617,56.645,42.779999,501600,32.157467
2008-03-10,57.271,57.271,56.246,42.360001,411700,31.841742
2008-03-11,57.257,58.175,57.138,43.720001,303700,32.864063
2008-03-12,58.54,58.633,58.034,43.75,366300,32.898651
2008-03-13,57.675,58.553,56.518,43.790001,341900,32.928726
2008-03-14,58.447,58.46,56.545,42.830002,406900,32.206833
2008-03-17,56.372,56.532,55.295,42.16,608000,31.70302
2008-03-18,57.064,57.782,56.917,43.450001,164700,32.673054
2008-03-19,57.157,57.516,55.654,41.849998,300700,31.46991
2008-03-20,55.96,56.492,55.202,42.279999,382400,31.793251
2008-03-24,57.196,57.649,56.837,43.130001,405300,32.43243
2008-03-25,58.22,58.447,57.649,43.869999,255700,32.98888
2008-03-26,58.752,58.766,58.087,43.830002,244700,32.958817
2008-03-27,59.67,59.75,58.327,43.900002,175300,33.011444
2008-03-28,58.739,58.845,58.194,43.810001,180200,32.943779
2008-03-31,60.042,60.042,58.274,44.080002,818100,33.146797
2008-04-01,59.005,60.335,59.005,45.360001,250300,34.109322
2008-04-02,60.8,60.827,60.042,45.509998,251100,34.222111
2008-04-03,59.843,60.854,59.763,45.630001,190200,34.312355
2008-04-04,60.893,61.146,60.508,45.84,340900,34.470268
2008-04-07,61.944,61.944,61.173,46.02,172100,34.605618
2008-04-08,60.867,60.867,60.322,45.619999,170000,34.304825
2008-04-09,60.574,60.681,60.056,45.330002,715200,34.086769
2008-04-10,59.989,60.468,59.617,45.139999,155200,33.943897
2008-04-11,59.311,59.83,59.138,44.549999,240000,33.500221
2008-04-14,60.002,60.002,59.111,44.580002,103900,33.522781
2008-04-15,59.75,59.75,59.324,44.84,185300,33.718292
2008-04-16,60.747,61.678,60.654,46.380001,473200,34.87632
2008-04-17,61.186,61.186,60.548,45.889999,245100,34.507854
2008-04-18,62.383,62.383,61.106,46.169998,300500,34.718414
2008-04-21,61.758,61.878,61.359,46.529999,210000,34.989113
2008-04-22,61.997,61.997,60.893,46.009998,526200,34.598095
2008-04-23,61.346,61.612,60.88,46.18,399700,34.725937
2008-04-24,61.864,61.864,60.574,45.950001,370900,34.552986
2008-04-25,61.971,61.971,61.492,46.470001,429600,34.944012
2008-04-28,62.702,62.702,61.957,46.66,478200,35.08688
2008-04-29,62.263,62.263,61.399,46.220001,764300,34.756012
2008-04-30,63.207,63.207,61.651,46.450001,495000,34.928967
2008-05-01,61.917,62.263,61.332,46.82,206200,35.207184
2008-05-02,62.755,62.755,62.117,46.939999,547800,35.297424
2008-05-05,62.888,62.888,62.356,47.009998,417100,35.35006
2008-05-06,62.742,62.941,62.17,47.189999,290900,35.485413
2008-05-07,62.569,62.596,61.625,46.439999,329400,34.921452
2008-05-08,62.277,62.569,62.117,46.720001,184400,35.131989
2008-05-09,61.864,62.037,61.625,46.560001,208100,35.011681
2008-05-12,61.811,62.556,61.811,47,201300,35.342545
2008-05-13,62.569,62.569,62.011,46.830002,288600,35.21471
