"Date","VGIT.Open","VGIT.High","VGIT.Low","VGIT.Close","VGIT.Volume","VGIT.Adjusted"
2009-11-23,69.826,69.872,69.826,60.029999,1500,51.582733
2009-11-24,69.942,69.942,69.942,60.099998,300,51.64286
2009-11-25,70.268,70.268,70.105,60.240002,10200,51.763172
2009-11-27,70.524,70.547,70.524,60.619999,800,52.089695
2009-11-30,70.442,70.501,70.442,60.57,15100,52.046753
2009-12-01,70.466,70.466,70.419,60.509998,800,51.995167
2009-12-02,70.314,70.314,70.28,60.389999,3800,51.892082
2009-12-03,70.105,70.105,70.105,60.240002,1000,51.763172
2009-12-04,69.663,69.721,69.663,59.91,2700,51.479614
2009-12-07,69.861,69.954,69.861,60.110001,3800,51.651478
2009-12-08,70.186,70.186,70.14,60.27,1100,51.788952
2009-12-09,70.186,70.186,70.07,60.209999,800,51.737411
2009-12-10,69.872,69.872,69.872,60.040001,200,51.591312
2009-12-11,69.628,69.756,69.628,59.939999,1800,51.50539
2009-12-14,69.698,69.721,69.686,59.91,2200,51.479614
2009-12-15,69.383,69.488,69.383,59.709999,1200,51.307766
2009-12-16,69.628,69.628,69.477,59.700001,1400,51.299168
2009-12-17,69.477,69.477,69.477,59.700001,0,51.299168
2009-12-18,69.779,69.779,69.709,59.900002,4200,51.471012
2009-12-21,69.255,69.279,69.255,59.529999,700,51.153088
2009-12-22,69.081,69.093,69.058,59.34,4300,50.98983
2009-12-23,69.069,69.081,69.069,59.360001,1000,51.007011
2009-12-24,68.593,68.593,68.523,59.040001,400,50.869144
2009-12-28,68.442,68.442,68.338,58.900002,1400,50.748531
2009-12-29,68.396,68.407,68.396,58.939999,400,50.782993
2009-12-30,68.465,68.488,68.465,59.009998,3700,50.843315
2009-12-31,68.245,68.245,68.117,58.689999,1500,50.5676
2010-01-04,68.349,68.465,68.349,58.900002,3000,50.748531
2010-01-05,68.697,68.709,68.674,59.200001,1100,51.007011
2010-01-06,68.558,68.558,68.558,59.07,200,50.895008
2010-01-07,68.605,68.605,68.57,59.080002,52600,50.903622
2010-01-08,68.628,68.651,68.593,59.150002,2900,50.963921
2010-01-11,68.674,68.686,68.674,59.169998,3300,50.981167
2010-01-12,68.953,68.988,68.941,59.400002,1800,51.179329
2010-01-13,68.883,68.906,68.779,59.259998,10500,51.058708
2010-01-14,68.93,68.988,68.871,59.419998,54800,51.196552
2010-01-15,69.173,69.185,69.173,59.599998,3100,51.35165
2010-01-19,69.092,69.092,69.022,59.509998,3200,51.274097
2010-01-20,69.196,69.196,69.173,59.599998,800,51.35165
2010-01-21,69.115,69.429,69.115,59.82,30800,51.54121
2010-01-22,69.394,69.44,69.394,59.830002,4100,51.549824
2010-01-25,69.347,69.429,69.347,59.779999,5500,51.506741
2010-01-26,69.498,69.498,69.405,59.799999,400,51.523983
2010-01-27,69.533,69.556,69.463,59.849998,10000,51.567047
2010-01-28,69.347,69.347,69.289,59.75,5400,51.480896
2010-01-29,68.991,69.351,68.991,59.830002,1600,51.616337
2010-02-01,69.27,69.27,69.212,59.709999,1100,51.512806
2010-02-02,69.246,69.246,69.235,59.73,800,51.530067
2010-02-03,69.165,69.165,69.084,59.610001,7600,51.426533
2010-02-04,69.293,69.443,69.293,59.82,600,51.607719
2010-02-05,69.49,69.71,69.49,60.080002,2700,51.832016
2010-02-08,69.583,69.583,69.536,59.990002,1400,51.754372
2010-02-09,69.583,69.583,69.374,59.869999,7600,51.650845
2010-02-10,69.42,69.42,69.177,59.68,900,51.486931
2010-02-11,69.096,69.165,69.096,59.669998,4700,51.478291
2010-02-12,69.374,69.374,69.304,59.830002,1100,51.616337
2010-02-16,69.235,69.443,69.235,59.91,8400,51.685352
2010-02-17,69.328,69.328,69.154,59.66,80200,51.469681
2010-02-18,69.142,69.142,68.968,59.509998,24700,51.340282
2010-02-19,68.887,68.968,68.887,59.5,700,51.33165
2010-02-22,68.968,68.968,68.968,59.5,0,51.33165
2010-02-23,69.084,69.397,69.084,59.84,3700,51.624973
2010-02-24,69.316,69.756,69.304,59.810001,27200,51.599087
2010-02-25,69.548,70.406,69.49,60.009998,7700,51.771622
2010-02-26,69.954,69.954,69.375,60.029999,2900,51.865788
2010-03-01,69.41,69.699,69.41,60.189999,3500,52.00404
2010-03-02,69.479,69.502,69.479,60.049999,400,51.883076
2010-03-03,69.56,69.63,69.329,60.16,4600,51.978119
2010-03-04,69.572,69.618,69.317,60.150002,7700,51.969475
2010-03-05,69.364,69.387,69.248,59.950001,500,51.796684
2010-03-08,69.248,69.364,69.132,59.73,4200,51.606609
2010-03-09,69.375,69.41,69.375,59.939999,1200,51.788055
2010-03-10,69.329,69.329,69.271,59.889999,1000,51.74485
2010-03-11,69.144,69.144,68.982,59.639999,1400,51.528835
2010-03-12,69.051,69.445,69.051,59.869999,6900,51.727581
2010-03-15,69.051,69.051,68.982,59.599998,2300,51.494289
2010-03-16,69.364,69.364,69.352,59.919998,300,51.770763
2010-03-17,69.283,69.283,69.283,59.860001,200,51.718922
2010-03-18,69.445,69.445,69.329,59.900002,8000,51.753498
2010-03-19,69.306,69.306,69.306,59.880001,400,51.736195
2010-03-22,69.387,69.41,69.178,59.84,3500,51.701653
2010-03-23,69.491,69.514,69.41,60,31400,51.839905
2010-03-24,69.109,69.167,69.039,59.650002,1300,51.537498
2010-03-25,68.785,68.785,68.658,59.34,3100,51.269657
2010-03-26,68.681,68.854,68.519,59.48,9800,51.39061
2010-03-29,68.773,68.831,68.773,59.459999,800,51.373322
2010-03-30,68.843,68.866,68.843,59.5,1400,51.407887
2010-03-31,69.508,69.543,68.769,59.540001,5000,51.506516
2010-04-01,68.85,68.85,68.722,59.450001,900,51.428642
2010-04-05,68.422,68.422,68.168,59.07,2500,51.09993
2010-04-06,68.272,68.306,68.272,59.09,2900,51.117199
2010-04-07,68.387,68.457,68.387,59.200001,2500,51.212391
2010-04-08,68.63,68.642,68.584,59.380001,1100,51.368099
2010-04-09,68.561,68.607,68.364,59.349998,1000,51.342144
2010-04-12,68.746,68.826,68.734,59.540001,4100,51.506516
2010-04-13,68.873,68.919,68.803,59.52,7500,51.489212
2010-04-14,68.665,68.896,68.665,59.580002,4400,51.541107
2010-04-15,68.838,68.896,68.757,59.599998,3100,51.558407
2010-04-16,69.011,69.277,69.011,59.860001,3600,51.783329
2010-04-19,69.139,69.139,69.069,59.75,9300,51.688179
2010-04-20,69.023,69.023,68.931,59.700001,1800,51.644913
