"Date","VMBS.Open","VMBS.High","VMBS.Low","VMBS.Close","VMBS.Volume","VMBS.Adjusted"
2009-11-23,59.06,59.107,59.048,50.150002,2000,42.55035
2009-11-24,59.154,59.201,59.142,50.220001,11400,42.609753
2009-11-25,59.225,59.225,59.189,50.23,15600,42.61824
2009-11-27,59.272,59.296,59.272,50.310001,600,42.686123
2009-11-30,59.307,59.39,59.307,50.389999,2400,42.753971
2009-12-01,59.378,59.378,59.284,50.299999,4400,42.677612
2009-12-02,59.248,59.284,59.225,50.25,4900,42.635193
2009-12-03,59.166,59.296,59.154,50.200001,57400,42.592781
2009-12-04,59.06,59.107,59.001,50.150002,2500,42.55035
2009-12-07,59.154,59.225,59.154,50.25,3700,42.635193
2009-12-08,59.248,59.272,59.237,50.290001,24900,42.66914
2009-12-09,59.237,59.284,59.237,50.259998,27200,42.643677
2009-12-10,59.166,59.213,59.166,50.220001,2000,42.609753
2009-12-11,59.107,59.154,59.107,50.189999,700,42.584282
2009-12-14,59.142,59.178,59.131,50.169998,2300,42.56731
2009-12-15,59.036,59.06,58.942,50.09,6100,42.499443
2009-12-16,59.083,59.083,59.001,50.119999,5000,42.524899
2009-12-17,59.178,59.26,59.178,50.279999,2900,42.660656
2009-12-18,59.095,59.107,59.095,50.150002,16200,42.55035
2009-12-21,59.189,59.189,58.871,49.950001,7900,42.380669
2009-12-22,58.777,58.801,58.706,49.810001,5500,42.26189
2009-12-23,58.706,58.789,58.706,49.880001,1400,42.321255
2009-12-24,58.473,58.485,58.403,49.689999,3300,42.24305
2009-12-28,58.45,58.45,58.297,49.57,400,42.14106
2009-12-29,58.403,58.414,58.403,49.66,900,42.217567
2009-12-30,58.426,58.438,58.426,49.68,400,42.234543
2009-12-31,58.309,58.332,58.285,49.549999,3000,42.12402
2010-01-04,58.45,58.462,58.45,49.700001,800,42.251556
2010-01-05,58.567,58.591,58.544,49.810001,800,42.34507
2010-01-06,58.673,58.673,58.567,49.810001,32500,42.34507
2010-01-07,58.638,58.661,58.603,49.830002,92400,42.36208
2010-01-08,58.614,58.614,58.614,49.830002,0,42.36208
2010-01-11,58.614,58.709,58.614,49.869999,4400,42.396091
2010-01-12,58.791,58.85,58.779,50.02,54400,42.523582
2010-01-13,58.697,58.803,58.697,49.970001,54400,42.481075
2010-01-14,58.732,58.767,58.732,49.950001,1000,42.464085
