"Date","VNQ.Open","VNQ.High","VNQ.Low","VNQ.Close","VNQ.Volume","VNQ.Adjusted"
2007-01-03,122.295,122.88,120.809,77.120003,525700,48.771053
2007-01-04,122.121,122.169,121.172,77.220001,166100,48.834293
2007-01-05,121.916,121.916,119.781,75.790001,143700,47.929947
2007-01-08,120.176,120.176,119.275,75.900002,87000,47.999531
2007-01-09,119.749,121.694,119.749,76.860001,136300,48.606617
2007-01-10,121.315,123.181,121.046,77.849998,138600,49.232708
2007-01-11,123.497,125.442,123.497,78.860001,186800,49.871433
2007-01-12,124.841,125.363,124.62,79.110001,185900,50.029545
2007-01-16,126.106,127.039,125.379,80.230003,161800,50.737827
2007-01-17,126.881,127.292,125.426,80.199997,120000,50.718872
2007-01-18,126.897,127.276,126.201,80.099998,85200,50.655632
2007-01-19,126.406,127.924,125.885,80.900002,81800,51.161552
2007-01-22,128.003,128.003,126.644,80.220001,76000,50.731525
2007-01-23,127.071,127.956,126.928,80.599998,114300,50.971813
2007-01-24,127.608,129.11,127.45,81.650002,97500,51.635845
2007-01-25,129.917,130.85,129.474,82.150002,174500,51.952053
2007-01-26,130.375,130.407,129.189,82.419998,117000,52.122807
2007-01-29,130.613,130.929,129.964,82.690002,145600,52.293556
2007-01-30,130.96,131.403,130.059,83.099998,87400,52.552826
2007-01-31,131.561,132.731,130.707,83.760002,139800,52.970222
2007-02-01,132.558,133,131.466,84.089996,885600,53.178898
2007-02-02,133.048,133.206,132.32,84.239998,130900,53.273777
2007-02-05,133.459,133.475,133.064,84.239998,168400,53.273777
2007-02-06,134.012,135.167,133.807,85.480003,139400,54.057957
2007-02-07,135.246,137.997,134.487,87.269997,254600,55.189968
2007-02-08,137.396,138.266,136.7,86.599998,172600,54.766247
2007-02-09,137.175,137.38,132.399,85.599998,285800,54.133846
2007-02-12,135.356,135.356,132.368,84.050003,274400,53.153618
2007-02-13,132.589,135.483,131.846,85.68,199300,54.184452
2007-02-14,135.673,135.941,134.076,85.07,291800,53.798672
2007-02-15,134.803,136.131,134.281,85.699997,175700,54.197086
2007-02-16,135.261,135.435,133.459,85.480003,130500,54.057957
2007-02-20,134.945,136.432,133.633,86.139999,106900,54.475349
2007-02-21,135.894,135.894,134.645,85.860001,129900,54.298256
2007-02-22,135.91,135.91,134.534,85.400002,96900,54.007366
2007-02-23,134.803,134.898,132.51,83.910004,166700,53.065094
2007-02-26,132.921,133.301,129.759,83.489998,230500,52.799477
2007-02-27,129.885,130.518,126.628,80.900002,302000,51.161552
2007-02-28,127.94,130.043,127.893,81.5,949600,51.540989
2007-03-01,127.134,129.348,123.339,80.68,332600,51.0224
2007-03-02,126.944,127.482,125.284,79.400002,251600,50.212921
2007-03-05,124.035,124.145,120.651,76.309998,300100,48.258801
2007-03-06,121.916,125.363,121.916,79.110001,163300,50.029545
2007-03-07,124.414,125.173,123.165,78,95000,49.327579
2007-03-08,123.497,126.201,123.497,79.25,137100,50.118069
2007-03-09,126.817,127.07,125.821,80.300003,132200,50.782112
2007-03-12,126.96,128.035,126.074,80.699997,103800,51.035065
2007-03-13,127.292,127.608,124.161,78.800003,129500,49.833488
2007-03-14,123.971,125.363,122.548,79.18,111900,50.073822
2007-03-15,125.663,126.343,125.426,79.889999,118300,50.522831
2007-03-16,126.312,126.312,124.825,79,131400,49.959976
2007-03-19,126.106,126.707,125.458,79.790001,140300,50.459576
2007-03-20,126.185,126.928,125.537,80.110001,67800,50.661934
2007-03-21,126.422,128.541,125.711,81.080002,82300,51.275383
2007-03-22,128.225,128.715,127.482,81.160004,178900,51.325985
2007-03-23,128.478,129.158,128.162,81.209999,222000,51.357594
2007-03-26,127.016,127.047,124.516,79.449997,469400,50.535152
2007-03-27,124.327,124.563,123.023,78.620003,103300,50.007229
2007-03-28,122.865,123.903,121.655,78.099998,104800,49.676476
2007-03-29,123.887,123.919,122.268,78.230003,115900,49.759159
2007-03-30,122.708,124.752,122.708,79.349998,231300,50.471546
2007-04-02,124.673,125.695,124.044,79.849998,151100,50.789585
2007-04-03,126.293,127.016,125.915,80.550003,186400,51.234825
2007-04-04,126.638,126.638,125.224,80.150002,88500,50.980412
2007-04-05,125.774,126.34,125.774,80.07,66900,50.92952
2007-04-09,125.931,126.324,125.774,80.220001,97800,51.024933
2007-04-10,125.664,127.126,125.664,80.550003,82500,51.234825
2007-04-11,126.686,126.686,124.154,79.349998,137800,50.471546
2007-04-12,124.5,124.5,123.384,78.809998,71600,50.128075
2007-04-13,123.73,125.302,123.337,79.699997,82700,50.694168
2007-04-16,125.617,125.758,124.783,79.800003,160900,50.757778
2007-04-17,125.428,127.157,125.428,80.839996,95200,51.419296
2007-04-18,126.387,126.906,126.167,80.339996,75300,51.10125
2007-04-19,125.271,125.821,124.862,79.800003,66700,50.757778
2007-04-20,126.088,126.481,125.805,80.400002,139200,51.139439
2007-04-23,126.403,128.006,126.088,81.300003,182400,51.711876
2007-04-24,128.525,128.525,126.214,80.75,74800,51.362045
2007-04-25,127.236,127.833,125.664,80.699997,152000,51.330254
2007-04-26,127.173,127.33,126.167,80.75,57800,51.362045
2007-04-27,126.403,126.953,126.135,80.550003,56500,51.234825
2007-04-30,126.843,126.843,124.39,79.25,152300,50.407936
2007-05-01,124.988,124.988,122.299,78.559998,171500,49.969074
2007-05-02,122.865,124.626,122.865,79.18,90800,50.363426
2007-05-03,124.956,125.161,124.28,79.389999,48800,50.497002
2007-05-04,124.689,124.752,123.148,78.699997,87500,50.058105
2007-05-07,123.636,124.327,123.101,78.919998,164000,50.198048
2007-05-08,123.164,123.651,123.007,78.400002,81900,49.86731
2007-05-09,122.85,125.129,122.85,79.25,76800,50.407936
2007-05-10,124.265,124.265,122.661,78.190002,103300,49.73373
2007-05-11,123.18,124.595,123.148,79.25,65600,50.407936
2007-05-14,124.485,124.941,123.557,78.800003,82500,50.121716
2007-05-15,124.044,124.375,121.623,77.599998,422900,49.358456
2007-05-16,121.781,122.189,119.8,76.639999,136700,48.747822
2007-05-17,119.548,119.737,118.023,75.309998,154700,47.901875
2007-05-18,118.117,118.4,116.356,74.550003,373200,47.418465
2007-05-21,116.954,119.155,116.577,74.849998,597400,47.609268
2007-05-22,118.07,120.02,117.819,75.959999,179700,48.315304
2007-05-23,119.485,120.586,118.196,75.379997,193000,47.9464
2007-05-24,117.96,118.275,115.083,74.120003,208700,47.144958
2007-05-25,117.095,118.62,116.545,74.540001,158400,47.41209
2007-05-29,118.542,122.346,117.913,77.199997,164500,49.104023
2007-05-30,120.821,124.626,120.821,79.269997,574700,50.420662
2007-05-31,125.098,125.507,123.306,78.949997,198100,50.21711
2007-06-01,124.579,124.972,123.416,79.059998,128100,50.287083
2007-06-04,123.887,125.381,123.573,79.379997,222700,50.490627
2007-06-05,124.359,124.375,122.629,78.120003,126300,49.689198
2007-06-06,122.236,122.802,121.309,77.589996,74000,49.352074
2007-06-07,120.932,121.152,117.866,75.150002,206300,47.800098
2007-06-08,117.992,119.768,117.441,76.050003,160900,48.372536
2007-06-11,119.124,119.124,117.693,74.910004,172200,47.647442
2007-06-12,117.646,117.646,115.618,73.610001,273900,46.820549
2007-06-13,116.545,118.479,116.262,75.239998,105100,47.857338
2007-06-14,118.62,118.62,116.812,74.43,71600,47.342133
2007-06-15,118.102,119.076,117.96,75.25,178100,47.863697
2007-06-18,118.149,118.227,116.404,74.089996,154200,47.125866
2007-06-19,115.791,116.797,115.272,74.230003,175900,47.214912
2007-06-20,116.702,116.765,113.196,72,73500,45.796501
2007-06-21,113.589,114.108,112.017,72.400002,346500,46.050915
2007-06-22,113.511,113.7,112.505,72.129997,110800,45.879181
2007-06-25,110.29,110.772,108.458,70.07,381600,45.126968
2007-06-26,109.048,109.561,108.07,69.800003,210800,44.953083
2007-06-27,107.775,111.517,107.356,71.589996,196400,46.105896
2007-06-28,111.113,112.185,110.523,71.220001,117100,45.867596
2007-06-29,110.617,112.138,109.266,70.949997,195300,45.693699
2007-07-02,110.57,112.852,110.353,72.589996,217100,46.749912
2007-07-03,112.821,113.256,112.076,72.389999,92000,46.621105
2007-07-05,113.334,115.383,113.334,73.480003,129100,47.323101
2007-07-06,114.297,114.685,113.085,73.389999,110800,47.26511
2007-07-09,114.141,114.141,113.116,73.339996,64600,47.232929
2007-07-10,113.008,113.132,110.849,71.480003,119300,46.035046
2007-07-11,110.71,111.144,109.592,71.339996,138700,45.944885
2007-07-12,111.02,112.2,110.632,72.260002,92000,46.537384
2007-07-13,111.734,113.411,111.703,72.949997,107200,46.98175
2007-07-16,113.21,114.685,112.325,72.339996,88200,46.588898
2007-07-17,112.728,113.132,111.843,72.080002,123700,46.421459
2007-07-18,111.564,111.688,109.763,71.919998,136500,46.318405
2007-07-19,111.983,112.713,111.952,72.190002,76900,46.492302
2007-07-20,111.797,111.921,109.468,70.93,157100,45.680817
2007-07-23,110.554,110.554,108.225,69.699997,134300,44.888664
2007-07-24,107.511,108.474,105.632,68.290001,128900,43.980595
2007-07-25,106.828,107.558,104.173,67.550003,262800,43.504017
2007-07-26,105.011,105.011,101.424,66.309998,317500,42.705418
2007-07-27,102.791,104.033,99.546,64.110001,252000,41.288567
2007-07-30,100.865,101.906,99.732,65.349998,197200,42.087154
2007-07-31,102.635,104.095,100.943,65.089996,552700,41.919712
