"Date","VNQI.Open","VNQI.High","VNQI.Low","VNQI.Close","VNQI.Volume","VNQI.Adjusted"
2010-11-01,64.962,65.026,64.356,50.23,19200,38.962624
2010-11-02,65.529,65.568,65.297,50.830002,41200,39.428032
2010-11-03,65.761,66.213,65.31,51.360001,76500,39.839142
2010-11-04,67.721,69.848,66.522,52.34,90700,40.599308
2010-11-05,67.218,67.386,67.038,52.209999,89500,40.498466
2010-11-08,67.141,67.695,66.612,51.919998,92600,40.273521
2010-11-09,67.154,67.154,65.748,51,70100,39.559891
2010-11-10,65.98,66.058,65.246,51.169998,66500,39.691757
2010-11-11,65.336,65.336,64.859,50.529999,26500,39.195328
2010-11-12,65.065,65.065,64.137,49.959999,44200,38.753178
2010-11-15,64.73,64.782,64.137,49.75,29000,38.590286
2010-11-16,63.84,63.84,62.525,48.77,78400,37.830116
2010-11-17,63.041,63.286,62.925,48.880001,37500,37.915443
2010-11-18,63.892,64.098,63.75,49.639999,25000,38.504971
2010-11-19,63.299,63.441,62.874,49.200001,20200,38.163658
2010-11-22,62.912,63.157,62.203,48.810001,32800,37.861141
2010-11-23,61.92,61.92,61.21,47.66,44600,36.969105
2010-11-24,62.345,62.422,62.074,48.41,39300,37.550869
2010-11-26,61.533,61.687,61.404,47.709999,14400,37.007893
2010-11-29,61.391,61.662,60.953,47.810001,40400,37.085461
2010-11-30,60.94,61.494,60.811,47.459999,18200,36.813965
2010-12-01,62.564,62.835,62.242,48.669998,19100,37.752552
2010-12-02,62.822,63.763,62.822,49.450001,25900,38.357586
2010-12-03,63.479,64.021,63.363,49.610001,10700,38.481689
2010-12-06,63.505,63.815,63.363,49.48,29900,38.380852
2010-12-07,64.446,64.446,63.531,49.279999,35000,38.225723
2010-12-08,63.544,63.699,63.131,49.25,20600,38.202446
2010-12-09,63.673,63.673,63.183,49.220001,16400,38.179173
2010-12-10,63.505,63.711,63.325,49.419998,44700,38.334316
2010-12-13,64.085,64.421,63.866,49.66,74600,38.520473
2010-12-14,64.962,65.13,64.227,49.900002,30300,38.706638
2010-12-15,64.188,64.279,63.492,49.330002,27300,38.264507
2010-12-16,63.763,63.763,63.273,49.419998,15100,38.334316
2010-12-17,63.583,63.583,63.131,49.029999,10300,38.031796
2010-12-20,63.712,63.712,63.144,49.200001,134400,38.163658
2010-12-21,64.227,64.227,63.853,49.619999,16000,38.489445
2010-12-22,63.342,63.393,63.24,49.619999,11000,38.839329
2010-12-23,64.096,64.096,63.291,49.689999,270200,38.894123
2010-12-27,63.483,63.623,63.201,49.790001,40200,38.972393
2010-12-28,63.802,63.802,63.419,49.700001,22500,38.901958
2010-12-29,64.338,64.338,64.006,50.240002,30200,39.324635
2010-12-30,64.211,64.236,64.006,50.279999,20400,39.355938
2010-12-31,64.236,64.658,64.109,50.599998,14900,39.606407
2011-01-03,65.45,65.45,64.85,50.91,73100,39.849056
2011-01-04,65.616,65.616,64.837,51.080002,37200,39.982117
2011-01-05,65.207,65.591,65.156,51.299999,24200,40.15432
2011-01-06,65.501,65.501,64.62,50.759998,25300,39.731659
2011-01-07,65.22,65.22,64.198,50.59,24300,39.598591
2011-01-10,64.441,64.441,63.879,50.380001,33900,39.434212
2011-01-11,64.862,64.862,64.466,50.560001,25200,39.5751
2011-01-12,65.527,65.629,65.156,51.34,26200,40.185638
2011-01-13,66.485,66.485,65.514,51.349998,23300,40.193462
2011-01-14,65.476,65.795,65.335,51.450001,25000,40.271732
2011-01-18,66.025,66.025,65.463,51.419998,40800,40.248253
2011-01-19,66.204,66.204,65.182,51.200001,56000,40.076057
2011-01-20,65.156,65.156,64.313,50.650002,20700,39.645542
2011-01-21,65.207,65.207,64.517,50.59,16400,39.598591
2011-01-24,64.849,65.169,64.517,50.919998,36400,39.856884
2011-01-25,64.901,65.028,64.505,50.900002,23400,39.841232
2011-01-26,65.399,65.399,65.028,51.119999,14800,40.013432
2011-01-27,65.131,65.131,64.683,50.84,132700,39.794266
2011-01-28,64.952,64.952,63.483,49.82,46600,38.995869
2011-01-31,64.735,64.735,63.751,50.080002,12500,39.199383
2011-02-01,64.696,65.118,64.338,50.860001,54100,39.809914
2011-02-02,65.424,65.424,64.683,50.82,16200,39.77861
2011-02-03,65.271,65.271,64.658,50.990002,28600,39.911678
2011-02-04,65.424,65.424,64.645,51,24500,39.919514
2011-02-07,65.795,65.795,64.735,51.5,22500,40.310875
2011-02-08,65.642,65.642,64.517,50.880001,17700,39.825581
2011-02-09,64.926,64.926,63.764,50.130001,26100,39.238522
2011-02-10,64.121,64.338,62.882,49.689999,21400,38.894123
2011-02-11,64.223,64.223,62.601,49.650002,15800,38.862816
2011-02-14,64.006,64.006,63.636,49.970001,18300,39.113293
2011-02-15,63.597,63.623,63.291,49.599998,23700,38.823673
2011-02-16,63.406,64.198,63.406,50.16,24000,39.262009
2011-02-17,64.198,64.581,64.045,50.5,14000,39.528133
2011-02-18,64.747,64.773,64.39,50.610001,8500,39.614246
2011-02-22,63.738,63.738,62.729,49.189999,26400,38.502747
2011-02-23,62.844,63.278,62.601,49.380001,14600,38.651474
2011-02-24,63.342,63.342,62.473,49.360001,12800,38.635818
2011-02-25,63.827,64.121,63.725,50.18,18300,39.277664
