"Date","VOO.Open","VOO.High","VOO.Low","VOO.Close","VOO.Volume","VOO.Adjusted"
2010-09-09,58.836,58.836,58.055,50.66,26500,88.256111
2010-09-10,58.365,58.469,58.147,50.889999,8600,88.656784
2010-09-13,59.1,59.204,58.836,51.529999,33700,89.771744
2010-09-14,59.031,59.399,58.767,51.52,59400,89.754333
2010-09-15,58.905,59.341,58.779,51.650002,9200,89.980812
2010-09-16,59.135,59.307,58.951,51.630001,59500,89.945961
2010-09-17,59.628,59.628,59.135,51.68,49300,90.033081
2010-09-20,59.548,60.294,59.387,52.52,19000,91.496445
2010-09-21,60.283,60.524,59.858,52.360001,19200,91.217728
2010-09-22,60.019,60.294,59.674,52.080002,18100,90.729912
2010-09-23,59.307,59.892,59.192,51.650002,33300,89.980812
2010-09-24,59.34,59.889,59.295,52.419998,24100,91.818199
2010-09-27,59.934,59.934,59.569,52.169998,15000,91.38031
2010-09-28,59.557,59.957,59.044,52.509998,49800,91.975861
2010-09-29,59.706,59.9,59.5,52.259998,15900,91.537949
2010-09-30,60.06,60.334,59.352,52.18,44700,91.397842
2010-10-01,59.991,60.037,59.466,52.360001,17100,91.71312
2010-10-04,60.094,60.094,59.089,51.919998,88700,90.942406
2010-10-05,59.957,60.631,59.843,53.060001,19800,92.939255
2010-10-06,60.585,60.676,60.3,52.970001,276900,92.781609
2010-10-07,60.802,60.802,60.128,52.939999,49900,92.729057
2010-10-08,60.528,60.939,60.322,53.34,61500,93.429665
2010-10-11,60.928,60.996,60.676,53.25,14200,93.272049
2010-10-12,60.733,61.224,60.368,53.560001,42000,93.815033
2010-10-13,61.419,61.818,61.224,53.880001,74400,94.375549
2010-10-14,61.487,61.556,60.973,53.68,19100,94.025238
2010-10-15,61.681,61.704,60.928,53.779999,54900,94.200363
2010-10-18,61.441,61.91,61.339,54.169998,22800,94.883492
2010-10-19,61.167,61.476,60.528,53.310001,38500,93.377144
2010-10-20,61.053,61.75,61.053,53.880001,22800,94.375549
2010-10-21,61.807,62.092,61.259,53.959999,29400,94.515648
2010-10-22,61.75,61.773,61.624,54.09,24800,94.743378
