"Date","VSS.Open","VSS.High","VSS.Low","VSS.Close","VSS.Volume","VSS.Adjusted"
2009-04-06,65.678,66.042,64.988,52.619999,17100,41.925846
2009-04-07,64.724,64.95,64.36,51.41,11500,40.96175
2009-04-08,65.226,68.778,64.837,52.09,8800,41.503548
2009-04-09,67.247,67.523,66.519,53.799999,16200,42.866028
2009-04-13,67.134,72.292,67.071,54.73,31500,43.607025
2009-04-14,68.339,68.828,68.125,54.330002,19900,43.288303
2009-04-15,68.489,69.694,68.489,55.529999,12500,44.244434
2009-04-16,69.707,72.518,69.029,55.779999,16100,44.443623
2009-04-17,69.443,69.594,69.042,55.369999,30700,44.116947
2009-04-20,67.51,67.586,66.331,52.889999,18000,42.140961
2009-04-21,66.569,68.238,66.569,54.369999,10100,43.320183
2009-04-22,67.423,69.23,67.423,54.189999,19300,43.176754
2009-04-23,69.167,69.87,69.004,55.490002,12800,44.212559
2009-04-24,70.849,73.924,70.748,56.740002,15300,45.208527
2009-04-27,69.958,71.276,69.029,55.490002,79000,44.212559
2009-04-28,68.15,69.519,68.15,55.029999,21600,43.846046
2009-04-29,70.447,71.803,70.447,56.73,26700,45.20055
2009-04-30,72.104,72.468,71.238,57.029999,10700,45.439571
2009-05-01,72.204,72.92,71.966,58.080002,7400,46.276192
2009-05-04,75.543,83.588,73.008,60.700001,53300,48.363712
2009-05-05,75.078,76.133,73.284,60.419998,36600,48.140617
2009-05-06,77.137,77.689,76.346,61.830002,360800,49.264057
2009-05-07,77.953,78.116,75.468,60.540001,103000,48.236221
2009-05-08,77.488,79.019,77.313,62.889999,50500,50.108624
2009-05-11,77.676,77.676,76.447,60.990002,50700,48.594772
2009-05-12,77.789,77.928,76.698,61.82,43800,49.256088
2009-05-13,76.334,76.334,74.652,59.650002,51400,47.527103
2009-05-14,75.342,76.647,75.066,60.689999,23700,48.355743
2009-05-15,76.396,76.873,75.229,60.419998,67100,48.140617
2009-05-18,77.087,79.044,77.087,62.950001,56600,50.156445
2009-05-19,78.793,79.885,78.63,63.220001,37400,50.371571
2009-05-20,80.789,81.504,80.375,64.099998,32800,51.072716
2009-05-21,79.534,80.249,79.296,63.799999,49400,50.833679
2009-05-22,81.241,81.442,80.739,64.519997,44500,51.407356
2009-05-26,79.785,82.032,79.597,65.190002,49200,51.941193
2009-05-27,82.082,82.082,80.463,64.230003,26200,51.176292
2009-05-28,81.53,82.157,80.877,65.360001,22800,52.076649
2009-05-29,83.186,83.575,82.709,66.589996,62100,53.056664
2009-06-01,84.83,85.747,84.83,67.910004,89600,54.108402
2009-06-02,85.609,86.562,85.533,68.800003,51400,54.817524
2009-06-03,85.094,85.094,83.098,66.82,24700,53.239925
2009-06-04,84.165,84.881,83.839,67.550003,40700,53.821552
2009-06-05,84.793,84.793,83.249,66.660004,30700,53.112446
2009-06-08,82.634,83.638,79.747,66.370003,24500,52.881378
2009-06-09,83.738,84.404,83.45,66.919998,29000,53.319603
2009-06-10,85.044,87.14,83.124,67.07,45300,53.43911
2009-06-11,84.906,86.424,84.178,68.18,32200,54.323517
2009-06-12,84.554,85.044,84.316,67.760002,42200,53.988888
2009-06-15,83.613,83.613,81.931,65.760002,102000,52.395344
2009-06-16,82.973,82.973,81.366,64.940002,80800,51.742004
2009-06-17,81.304,81.555,80.325,64.690002,22700,51.542816
2009-06-18,81.078,81.655,80.777,64.620003,25500,51.487038
2009-06-19,81.442,81.63,80.952,64.800003,19400,51.630463
2009-06-22,80.438,80.488,78.781,62.779999,42700,50.020977
2009-06-23,79.609,80.162,79.019,63.779999,31100,50.817753
2009-06-24,81.216,81.843,80.35,64.279999,20500,51.216133
2009-06-25,81.253,82.634,81.115,65.760002,11500,52.395344
2009-06-26,82.872,83.199,82.621,66.209999,16300,52.753899
2009-06-29,83.236,83.475,82.709,66.459999,26400,52.953083
2009-06-30,83.299,83.462,81.956,65.790001,28800,52.419254
2009-07-01,83.764,84.215,83.525,66.599998,30700,53.064629
2009-07-02,82.546,82.634,81.906,65.459999,25400,52.156319
2009-07-06,82.195,82.195,80.777,65.209999,18500,51.957134
2009-07-07,81.655,81.655,80.325,64.080002,13100,51.056782
2009-07-08,80.538,80.538,78.869,63.459999,36500,50.562786
2009-07-09,80.726,81.103,80.387,64.290001,19300,51.22411
2009-07-10,79.66,80.689,79.157,63.73,14800,50.777912
2009-07-13,79.584,80.864,78.919,64.330002,36500,51.255978
2009-07-14,81.14,81.504,80.827,64.860001,33100,51.678253
2009-07-15,84.918,84.918,83.111,67.139999,23700,53.494888
2009-07-16,83.663,84.667,83.362,67.25,59000,53.582523
2009-07-17,83.989,84.391,83.764,67.18,11900,53.526764
2009-07-20,85.722,86.249,85.395,68.639999,26800,54.690037
2009-07-21,86.813,86.813,85.47,68.699997,31600,54.737843
2009-07-22,85.872,86.914,85.872,68.989998,19000,54.968895
2009-07-23,86.424,88.42,86.424,70.040001,26300,55.805515
2009-07-24,87.767,88.345,87.441,70.389999,23500,56.08437
2009-07-27,88.006,88.483,87.629,70.5,22600,56.172024
2009-07-28,87.629,87.792,86.738,69.779999,16000,55.598354
2009-07-29,87.328,87.328,86.5,69.440002,21600,55.327461
2009-07-30,88.332,89.098,88.043,70.5,37400,56.172024
2009-07-31,88.997,90.152,88.796,71.540001,46900,57.000671
2009-08-03,92.436,92.725,91.043,73.709999,38400,58.729641
2009-08-04,91.495,92.499,91.495,73.519997,33900,58.578247
2009-08-05,92.273,92.662,91.131,73.599998,33900,58.641998
2009-08-06,92.486,92.486,91.143,73.059998,20700,58.211746
2009-08-07,92.06,92.235,91.507,73.059998,47600,58.211746
2009-08-10,92.26,92.26,90.415,72.559998,37800,57.81337
2009-08-11,90.905,90.905,90.039,72.150002,23600,57.486691
2009-08-12,90.654,92.135,90.654,72.959999,27200,58.132061
2009-08-13,92.825,94.733,92.286,74.290001,13400,59.191776
2009-08-14,93.704,93.704,92.173,74.010002,22100,58.96867
