"Date","VTEB.Open","VTEB.High","VTEB.Low","VTEB.Close","VTEB.Volume","VTEB.Adjusted"
2015-08-25,51.078,51.211,51.017,50.07,27900,49.022968
2015-08-26,51.088,51.374,51.068,50,115500,48.954445
2015-08-27,NA,NA,NA,0,NA,0
2015-08-28,NA,NA,NA,0,NA,0
2015-08-31,NA,NA,NA,0,NA,0
2015-09-01,NA,NA,NA,0,NA,0
2015-09-02,NA,NA,NA,0,NA,0
2015-09-03,NA,NA,NA,0,NA,0
2015-09-04,NA,NA,NA,0,NA,0
2015-09-08,NA,NA,NA,0,NA,0
2015-09-09,NA,NA,NA,0,NA,0
2015-09-10,NA,NA,NA,0,NA,0
2015-09-11,NA,NA,NA,0,NA,0
2015-09-14,NA,NA,NA,0,NA,0
2015-09-15,NA,NA,NA,0,NA,0
2015-09-16,NA,NA,NA,0,NA,0
2015-09-17,NA,NA,NA,0,NA,0
2015-09-18,NA,NA,NA,0,NA,0
2015-09-21,NA,NA,NA,0,NA,0
2015-09-22,NA,NA,NA,0,NA,0
2015-09-23,NA,NA,NA,0,NA,0
2015-09-24,NA,NA,NA,0,NA,0
2015-09-25,NA,NA,NA,0,NA,0
2015-09-28,NA,NA,NA,0,NA,0
2015-09-29,NA,NA,NA,0,NA,0
2015-09-30,NA,NA,NA,0,NA,0
2015-10-01,NA,NA,NA,0,NA,0
2015-10-02,NA,NA,NA,0,NA,0
2015-10-05,NA,NA,NA,0,NA,0
2015-10-06,NA,NA,NA,0,NA,0
2015-10-07,NA,NA,NA,0,NA,0
2015-10-08,NA,NA,NA,0,NA,0
2015-10-09,NA,NA,NA,0,NA,0
2015-10-12,NA,NA,NA,0,NA,0
2015-10-13,NA,NA,NA,0,NA,0
2015-10-14,NA,NA,NA,0,NA,0
2015-10-15,NA,NA,NA,0,NA,0
2015-10-16,NA,NA,NA,0,NA,0
2015-10-19,NA,NA,NA,0,NA,0
2015-10-20,NA,NA,NA,0,NA,0
2015-10-21,NA,NA,NA,0,NA,0
2015-10-22,NA,NA,NA,0,NA,0
2015-10-23,NA,NA,NA,0,NA,0
2015-10-26,51.476,51.476,51.446,50.389999,34600,49.336281
2015-10-27,51.497,51.517,51.466,50.41,21300,49.355862
2015-10-28,51.538,51.538,51.425,50.360001,23400,49.306911
2015-10-29,51.507,51.507,51.385,50.34,42500,49.287315
2015-10-30,51.466,51.497,51.456,50.419998,46000,49.365658
2015-11-02,51.296,51.326,51.265,50.259998,34000,49.274475
2015-11-03,51.306,51.306,51.214,50.23,26000,49.24506
2015-11-04,51.265,51.316,51.133,50.27,91500,49.284275
2015-11-05,51.306,51.306,51.224,50.259998,24000,49.274475
2015-11-06,51.02,51.184,51,50.080002,67300,49.097996
2015-11-09,51.122,51.143,51.031,50.099998,91400,49.117611
2015-11-10,51.122,51.194,51.061,50.130001,41600,49.147022
2015-11-11,51.102,51.122,51.061,50.110001,37300,49.127415
2015-11-12,51.143,51.194,51.082,50.139999,36300,49.156822
2015-11-13,51.214,51.214,51.122,50.200001,19200,49.215649
2015-11-16,51.275,51.286,51.194,50.25,36100,49.264668
2015-11-17,51.245,51.296,51.194,50.25,45800,49.264668
2015-11-18,51.306,51.306,51.245,50.25,57300,49.264668
2015-11-19,51.326,51.326,51.286,50.290001,38600,49.303883
2015-11-20,51.449,51.449,51.367,50.389999,41300,49.40192
2015-11-23,51.53,51.53,51.398,50.41,95800,49.421532
2015-11-24,51.459,51.49,51.408,50.470001,49000,49.480358
2015-11-25,51.5,51.561,51.5,50.5,62600,49.509762
2015-11-27,51.571,51.571,51.53,50.52,37100,49.529373
2015-11-30,51.541,51.561,51.5,50.529999,49600,49.539173
2015-12-01,51.508,51.62,51.488,50.59,81400,49.629433
2015-12-02,51.549,51.59,51.488,50.580002,24400,49.619629
