"Date","VWOB.Open","VWOB.High","VWOB.Low","VWOB.Close","VWOB.Volume","VWOB.Adjusted"
2013-06-04,95.611,95.611,95.241,79.870003,12300,66.954292
2013-06-05,95.265,95.265,94.633,79.330002,25400,66.50164
2013-06-06,94.919,94.919,93.762,78.910004,56800,66.149559
2013-06-07,94.239,94.239,93.225,78.519997,45900,65.822601
2013-06-10,93.929,93.929,92.355,77.75,81000,65.177124
2013-06-11,92.164,92.164,90.911,76.5,33500,64.129272
2013-06-12,93.416,93.416,92.45,77.5,7300,64.96756
2013-06-13,93.035,93.333,92.629,78.239998,108500,65.587883
2013-06-14,93.81,94.597,93.81,79.160004,31100,66.359108
2013-06-17,95.134,95.134,93.905,78.720001,14500,65.990273
2013-06-18,93.75,93.75,93.178,78.110001,9600,65.478928
2013-06-19,93.476,93.547,91.865,77.209999,11300,64.724449
2013-06-20,92.45,92.45,89.885,75.489998,21400,63.282589
2013-06-21,91.615,91.615,89.348,75.220001,57800,63.056255
2013-06-24,90.362,90.362,87.666,74.459999,30200,62.419155
2013-06-25,89.11,89.468,88.871,74.589996,5300,62.528114
2013-06-26,89.706,89.706,89.36,74.910004,4100,62.796364
2013-06-27,90.649,90.661,90.231,75.870003,10700,63.601143
2013-06-28,89.814,90.708,89.814,76.029999,26400,63.735237
2013-07-01,90.388,90.911,90.388,76.400002,11500,64.205063
2013-07-02,91.506,91.506,91.078,76.540001,14900,64.322678
2013-07-03,91.768,91.768,90.995,76.540001,8600,64.322678
2013-07-05,91.09,91.09,89.888,75.68,13400,63.599972
2013-07-08,90.412,90.412,89.852,75.849998,25000,63.742809
2013-07-09,90.709,90.911,90.435,76.300003,2800,64.121002
2013-07-10,91.018,91.018,90.281,75.870003,15100,63.759636
2013-07-11,90.435,91.375,90.435,76.639999,149000,64.406723
2013-07-12,91.566,91.566,90.197,76.25,17000,64.078964
2013-07-15,91.839,91.839,90.995,76.620003,21800,64.389923
2013-07-16,91.792,92.22,91.399,76.879997,8300,64.608421
2013-07-17,91.935,91.935,91.637,77.239998,12000,64.910942
2013-07-18,92.458,92.589,92.268,77.75,7800,65.339561
2013-07-19,92.565,92.589,92.458,77.790001,9200,65.373184
2013-07-22,92.875,93.053,92.577,77.940002,151700,65.499222
2013-07-23,92.779,92.791,92.458,77.779999,27700,65.364761
2013-07-24,92.482,92.482,92.03,77.339996,9400,64.994987
2013-07-25,91.994,91.994,91.637,77.230003,5800,64.902557
2013-07-26,92.22,92.22,91.78,77.269997,46500,64.936165
2013-07-29,92.161,92.161,91.78,77.129997,7000,64.818542
2013-07-30,91.506,91.923,91.471,77.120003,8200,64.810089
2013-07-31,92.042,92.042,91.197,76.68,10000,64.440331
2013-08-01,90.792,91.052,90.744,76.519997,3600,64.525528
2013-08-02,91.017,91.112,90.744,76.699997,10100,64.677277
2013-08-05,90.732,91.076,90.685,76.739998,11400,64.711037
2013-08-06,90.91,90.91,90.661,76.599998,5900,64.592972
2013-08-07,91.041,91.041,90.495,76.459999,13100,64.474922
2013-08-08,90.78,90.993,90.72,76.730003,5400,64.702591
2013-08-09,90.839,91.064,90.839,76.790001,16200,64.753212
2013-08-12,91.064,91.064,90.981,76.790001,3100,64.753212
2013-08-13,90.803,90.886,90.685,76.470001,6000,64.483345
2013-08-14,90.839,90.839,90.732,76.57,6100,64.567673
2013-08-15,90.424,90.424,90.365,76.220001,7600,64.272545
2013-08-16,90.459,90.459,90.009,76.050003,10400,64.129189
2013-08-19,89.831,89.831,88.918,74.980003,43600,63.226921
2013-08-20,89.262,89.357,88.87,75.050003,6100,63.285934
2013-08-21,88.882,89.262,88.527,74.860001,9100,63.12569
2013-08-22,89.452,89.452,88.681,74.779999,4300,63.058239
2013-08-23,88.847,89.309,88.847,75.309998,1800,63.50518
2013-08-26,89.416,89.582,89.309,75.529999,3200,63.690689
2013-08-27,89.297,89.297,88.942,75.269997,7500,63.471432
2013-08-28,88.918,89.072,88.87,74.959999,3800,63.210045
2013-08-29,88.704,89.036,88.704,75.07,6200,63.302807
2013-08-30,89.119,89.119,88.764,74.849998,5200,63.117287
2013-09-03,87.983,87.983,87.746,74.32,3700,62.888824
2013-09-04,87.77,87.876,87.77,74.309998,6300,62.880329
2013-09-05,87.746,87.746,87.51,74.129997,6000,62.728031
2013-09-06,87.924,88.207,87.924,74.43,8800,62.981892
2013-09-09,88.834,88.834,88.254,74.720001,7700,63.227291
2013-09-10,88.16,88.266,87.817,74.68,12700,63.193443
2013-09-11,88.278,88.633,88.278,74.959999,9200,63.43037
2013-09-12,88.987,89.058,88.893,75.220001,15500,63.650394
2013-09-13,88.763,89.023,88.763,75.300003,11500,63.718094
2013-09-16,89.188,89.862,89.188,75.949997,6900,64.268089
2013-09-17,90.098,90.098,89.743,76.169998,15400,64.454254
2013-09-18,90.015,90.405,90.015,76.5,5800,64.73349
