"Date","VYM.Open","VYM.High","VYM.Low","VYM.Close","VYM.Volume","VYM.Adjusted"
2007-01-03,71.788,71.967,71.111,51.720001,35000,37.434971
2007-01-04,71.014,71.429,71,51.59,11400,37.34087
2007-01-05,71.152,71.152,70.682,51.23,10500,37.080307
2007-01-08,70.724,70.862,70.461,51.240002,21800,37.087551
2007-01-09,70.793,70.862,70.503,51.200001,34400,37.058586
2007-01-10,70.655,70.71,70.365,51.139999,7600,37.015167
2007-01-11,70.821,71.125,70.821,51.330002,49600,37.152691
2007-01-12,70.986,71.18,70.876,51.5,54100,37.27573
2007-01-16,71.152,71.332,71.014,51.5,10900,37.27573
2007-01-17,71.235,71.401,71.111,51.529999,16600,37.29744
2007-01-18,71.401,71.401,71.18,51.540001,8200,37.304684
2007-01-19,71.346,71.498,71.29,51.720001,10400,37.434971
2007-01-22,71.553,71.553,71.111,51.540001,23100,37.304684
2007-01-23,71.138,71.498,71.097,51.669998,10600,37.398777
2007-01-24,71.636,71.954,71.567,52.080002,9900,37.69553
2007-01-25,71.926,71.926,71.125,51.509998,11200,37.282974
2007-01-26,71.332,71.332,70.876,51.450001,3700,37.239536
2007-01-29,71.207,71.373,71.083,51.48,4600,37.261261
2007-01-30,71.277,71.373,71.152,51.66,9600,37.391541
2007-01-31,71.429,72.479,71.29,52,31000,37.637623
2007-02-01,71.995,72.313,71.94,52.34,20000,37.883728
2007-02-02,72.257,72.423,72.188,52.419998,6100,37.941635
2007-02-05,72.354,72.451,72.161,52.380001,15900,37.912674
2007-02-06,72.534,72.534,72.34,52.439999,14800,37.956108
2007-02-07,72.52,72.548,72.244,52.369999,12400,37.905441
2007-02-08,72.285,72.313,72.023,52.34,23200,37.883728
2007-02-09,72.465,72.465,71.843,52.16,38000,37.753445
2007-02-12,72.078,72.078,71.815,52.049999,11300,37.673832
2007-02-13,72.147,72.465,72.147,52.450001,9600,37.963348
2007-02-14,72.575,72.99,72.575,52.790001,5900,38.209446
2007-02-15,72.921,72.921,72.796,52.740002,109900,38.173244
2007-02-16,72.824,72.824,72.7,52.689999,7200,38.137051
2007-02-20,72.686,73.031,72.63,52.790001,41500,38.209446
2007-02-21,72.769,72.879,72.603,52.639999,14800,38.100868
2007-02-22,72.755,72.769,72.52,52.599998,5400,38.071907
2007-02-23,72.741,72.741,72.313,52.48,8900,37.985062
2007-02-26,73.004,73.004,72.617,52.599998,22100,38.071907
2007-02-27,72.285,72.285,70.323,51.07,43600,36.964489
2007-02-28,70.572,71.249,70.461,51.189999,119100,37.051346
2007-03-01,69.881,70.793,69.881,51.07,18900,36.964489
2007-03-02,70.434,70.461,69.702,50.450001,10300,36.515736
2007-03-05,69.508,69.867,69.08,50,19400,36.190041
2007-03-06,69.715,70.185,69.494,50.740002,10700,36.725643
2007-03-07,70.019,70.268,69.881,50.580002,13400,36.60984
2007-03-08,70.489,70.572,70.392,50.950001,9100,36.877644
2007-03-09,70.655,70.655,70.296,51.040001,5100,36.942787
2007-03-12,70.434,70.641,70.268,51.029999,6500,36.935547
2007-03-13,70.24,70.379,69.301,50.16,10800,36.305832
2007-03-14,69.619,69.619,68.831,50.360001,10100,36.4506
2007-03-15,69.674,70.047,69.674,50.610001,4900,36.631546
2007-03-16,69.881,70.116,69.48,50.380001,8900,36.465073
2007-03-19,69.895,70.351,69.881,50.869999,6100,36.819744
2007-03-20,70.365,70.862,70.351,51.290001,4600,37.123737
2007-03-21,70.876,71.774,70.848,51.950001,16900,37.601433
2007-03-22,72.119,72.244,71.995,52.16,8100,37.753445
2007-03-23,72.05,72.257,72.023,52.27,12600,37.833057
2007-03-26,71.213,71.53,70.911,52.040001,13800,37.860699
2007-03-27,71.282,71.282,71.09,51.82,8000,37.700657
