"Date","ZMLP.Open","ZMLP.High","ZMLP.Low","ZMLP.Close","ZMLP.Volume","ZMLP.Adjusted"
2014-01-24,49.129,49.129,49.129,39.939999,1000,32.46973
2014-01-27,49.129,49.129,49.129,39.939999,0,32.46973
2014-01-28,48.821,48.821,48.821,39.689999,900,32.266479
2014-01-29,48.92,48.92,48.92,39.77,1600,32.331524
2014-01-30,48.92,48.92,48.92,39.77,0,32.331524
2014-01-31,49.018,49.24,49.018,40.029999,2800,32.542896
2014-02-03,49.203,49.203,48.44,39.380001,2400,32.014465
2014-02-04,48.379,48.379,48.354,39.310001,200,31.957567
2014-02-05,48.465,48.465,47.948,39.130001,1600,31.811234
2014-02-06,48.821,48.821,48.772,39.650002,2100,32.233971
2014-02-07,49.129,49.141,49.129,39.950001,3200,32.477859
2014-02-10,48.465,48.465,48.465,39.400002,3300,32.030727
2014-02-11,48.465,48.465,48.465,39.400002,0,32.030727
2014-02-12,48.465,48.686,48.465,39.580002,1300,32.177067
2014-02-13,48.686,48.686,48.686,39.580002,0,32.177067
2014-02-14,49.031,49.031,48.809,39.73,2300,32.299004
2014-02-18,49.19,49.19,48.944,39.799999,1500,32.355915
2014-02-19,49.19,49.19,48.502,39.43,2800,32.055115
2014-02-20,48.551,48.551,48.391,39.43,10800,32.055115
2014-02-21,48.588,48.735,48.526,39.529999,12600,32.136417
2014-02-24,49.449,49.449,48.391,39.529999,21500,32.136417
2014-02-25,48.625,48.674,48.268,39.41,14000,32.03886
2014-02-26,48.403,48.858,48.28,39.709999,6600,32.282745
2014-02-27,48.846,48.846,48.489,39.52,8300,32.128277
2014-02-28,48.539,48.539,48.416,39.439999,24000,32.063251
2014-03-03,48.342,48.514,48.28,39.439999,25700,32.063251
2014-03-04,48.6,48.637,48.6,39.509998,900,32.120155
2014-03-05,48.6,48.649,48.379,39.549999,8000,32.152668
2014-03-06,48.957,49.08,48.944,39.869999,7900,32.412823
2014-03-07,49.018,49.092,48.944,39.91,4900,32.445343
2014-03-10,49.129,49.129,48.981,39.82,3200,32.372177
2014-03-11,48.981,48.981,48.981,39.82,0,32.372177
2014-03-12,49.129,49.129,48.871,39.779999,6400,32.339653
2014-03-13,49.227,50.088,48.563,39.48,4400,32.095768
2014-03-14,48.871,49.203,48.846,40,19800,32.518509
2014-03-17,49.264,49.436,49.24,40.040001,10700,32.551029
2014-03-18,50.334,50.334,49.387,40.32,6500,32.778656
2014-03-19,49.449,49.449,49.117,40,9200,32.518509
2014-03-20,49.264,49.412,49.104,40.169998,61400,32.656712
2014-03-21,49.424,49.523,49.35,40.119999,2800,32.616066
2014-03-24,49.19,49.277,49.018,39.959999,7500,32.485989
2014-03-25,48.016,48.016,47.822,39.419998,18500,32.494232
2014-03-26,48.016,49.848,47.773,39.470001,41000,32.53545
2014-03-27,47.883,48.004,47.798,39.57,13800,32.617878
2014-03-28,47.992,48.162,47.931,39.639999,13700,32.675583
2014-03-31,47.943,48.513,47.943,39.950001,16300,32.931118
2014-04-01,48.453,48.732,48.319,40.16,14600,33.104229
2014-04-02,48.914,49.096,48.78,40.459999,16800,33.351509
2014-04-03,49.132,49.205,48.926,40.41,14100,33.310291
2014-04-04,49.435,49.435,49.205,40.630001,5700,33.491653
2014-04-07,49.266,49.338,48.914,40.400002,8100,33.302059
2014-04-08,49.035,49.156,48.999,40.389999,12800,33.293808
2014-04-09,49.375,49.375,49.047,40.619999,22200,33.483398
2014-04-10,50.309,50.309,48.95,40.389999,11400,33.293808
2014-04-11,48.877,49.108,48.877,40.450001,3900,33.343266
2014-04-14,49.399,49.411,49.278,40.619999,2300,33.483398
2014-04-15,49.314,49.399,49.181,40.580002,1000,33.450436
2014-04-16,49.35,49.46,49.326,40.73,9500,33.574074
2014-04-17,49.472,49.666,49.472,40.939999,2800,33.747181
2014-04-21,49.532,49.884,48.38,41.119999,2400,33.895554
2014-04-22,49.933,50.103,49.909,41.189999,5700,33.953262
2014-04-23,49.969,50.018,49.884,41.119999,3300,33.895554
2014-04-24,49.981,49.981,49.787,41.150002,6500,33.920288
2014-04-25,49.86,49.884,49.69,41.07,15800,33.854343
2014-04-28,49.86,49.981,49.836,41.200001,3700,33.961502
2014-04-29,50.078,50.285,50.078,41.43,3300,34.151089
2014-04-30,50.224,50.26,50.188,41.400002,1100,34.126369
2014-05-01,50.406,50.406,50.297,41.470001,17100,34.184063
2014-05-02,50.467,50.467,50.345,41.560001,2300,34.258255
2014-05-05,50.479,50.503,50.479,41.630001,2400,34.315956
2014-05-06,50.576,50.576,50.418,41.560001,3800,34.258255
2014-05-07,50.467,50.551,50.406,41.57,7300,34.266491
2014-05-08,50.382,50.382,50.127,41.360001,6600,34.093391
2014-05-09,50.054,50.066,49.957,41.27,2300,34.019203
2014-05-12,50.297,50.418,50.26,41.540001,1100,34.241768
2014-05-13,50.357,50.406,50.345,41.540001,3200,34.241768
2014-05-14,50.406,50.527,50.321,41.619999,15200,34.307705
2014-05-15,50.175,50.515,50.163,41.599998,8200,34.291229
2014-05-16,50.418,50.624,50.418,41.700001,8600,34.373661
2014-05-19,50.6,50.697,50.503,41.66,5600,34.340683
2014-05-20,50.527,50.636,50.527,41.720001,6500,34.390141
2014-05-21,50.624,50.673,50.491,41.650002,35700,34.332447
2014-05-22,50.649,50.661,50.551,41.73,16600,34.398384
2014-05-23,50.624,50.661,50.564,41.689999,18200,34.365414
2014-05-27,50.649,50.649,50.479,41.650002,3100,34.332447
2014-05-28,50.6,50.77,50.588,41.849998,19500,34.497307
2014-05-29,51.012,51.037,50.83,42.07,11400,34.67865
2014-05-30,51.012,51.061,50.928,42.09,27300,34.695133
2014-06-02,51.134,51.134,50.976,42.09,4600,34.695133
2014-06-03,51.146,51.146,50.976,42.110001,37400,34.71162
2014-06-04,51.073,51.194,51.061,42.200001,22000,34.785809
2014-06-05,51.231,51.328,51.194,42.310001,19000,34.876488
2014-06-06,51.995,51.995,51.328,42.43,28000,34.975395
2014-06-09,51.534,51.619,51.534,42.52,7300,35.049591
2014-06-10,51.631,51.631,51.461,42.439999,7900,34.983643
2014-06-11,51.389,51.389,51.316,42.32,3800,34.884727
2014-06-12,51.316,51.777,51.231,42.330002,14100,34.892967
2014-06-13,51.413,51.486,51.376,42.439999,4300,34.983643
2014-06-16,51.716,51.765,51.595,42.66,25200,35.164989
2014-06-17,51.801,51.874,51.789,42.689999,14600,35.18972
2014-06-18,51.752,51.752,51.619,42.580002,12400,35.099049
2014-06-19,51.728,51.922,51.728,42.759998,11300,35.247421
2014-06-20,51.85,51.995,51.85,42.860001,6900,35.329853
2014-06-23,52.092,52.298,51.983,43.110001,15000,35.535927
2014-06-24,50.471,50.673,50.363,42.380001,21800,35.561104
2014-06-25,50.363,50.435,50.22,42.290001,19500,35.485588
2014-06-26,50.423,50.435,50.28,42.27,12200,35.468807
2014-06-27,50.447,50.638,50.352,42.470001,15500,35.636623
2014-06-30,50.566,50.721,50.566,42.560001,10700,35.712143
2014-07-01,50.649,50.804,50.649,42.610001,14500,35.754097
2014-07-02,51.639,51.639,50.602,42.540001,5800,35.695358
2014-07-03,51.615,51.615,50.614,42.490002,5200,35.653404
2014-07-07,51.007,51.007,50.363,42.349998,4900,35.535923
2014-07-08,50.399,50.435,50.268,42.220001,5200,35.426849
2014-07-09,50.411,50.506,50.328,42.380001,6100,35.561104
2014-07-10,50.161,50.292,50.161,42.189999,18600,35.401676
2014-07-11,50.161,50.22,50.113,42.139999,13200,35.359715
2014-07-14,50.411,50.411,50.232,42.150002,3900,35.368111
2014-07-15,50.292,50.316,50.149,42.220001,3000,35.426849
2014-07-16,50.471,50.626,50.471,42.459999,11800,35.628231
2014-07-17,50.602,50.649,50.518,42.470001,3900,35.636623
2014-07-18,50.709,50.804,50.578,42.509998,21300,35.670185
2014-07-21,50.614,50.733,50.614,42.57,13400,35.720531
2014-07-22,50.828,50.912,50.816,42.720001,8100,35.846397
2014-07-23,50.924,51.257,50.912,42.830002,47600,35.938698
2014-07-24,51.019,51.055,50.9,42.77,12800,35.888351
2014-07-25,50.9,50.971,50.852,42.740002,139600,35.863178
2014-07-28,51.138,51.138,50.781,42.709999,23300,35.838005
2014-07-29,50.947,50.959,50.709,42.549999,59800,35.703754
2014-07-30,50.828,50.828,50.34,42.330002,39200,35.51915
2014-07-31,51.341,51.341,49.315,41.799999,23500,35.074421
2014-08-01,49.708,49.863,49.458,41.610001,19000,34.914993
2014-08-04,49.791,50.042,49.565,41.970001,10300,35.217072
2014-08-05,50.22,50.22,49.458,41.529999,9000,34.84787
2014-08-06,49.267,49.422,49.196,41.419998,9400,34.755562
2014-08-07,49.446,49.517,49.255,41.330002,7600,34.680054
2014-08-08,49.398,49.66,49.303,41.650002,17800,34.948559
2014-08-11,51.078,51.078,50.447,42.52,14700,35.678574
2014-08-12,50.208,50.661,50.208,42.389999,6400,35.569496
2014-08-13,50.483,50.649,50.411,42.5,16200,35.661797
2014-08-14,50.566,50.864,50.566,42.560001,23100,35.712143
2014-08-15,50.721,51.031,50.721,42.779999,22600,35.896751
2014-08-18,51.519,51.519,50.9,42.779999,22600,35.896751
2014-08-19,51.067,51.245,51.067,42.98,10500,36.064564
2014-08-20,51.317,51.4,51.317,43.110001,13100,36.173649
2014-08-21,51.412,51.448,51.317,43.169998,21300,36.223988
2014-08-22,51.293,51.293,51.198,43,10100,36.081348
2014-08-25,51.198,51.436,51.198,43.130001,22000,36.19043
